Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2008,1,Daytona,1.0,12.0,30.0,Todd Bodine,Lumber Liquidators (Germain Racing),Toyota,100.0,96850.0,running,49.0,170.0
2008,1,Daytona,2.0,21.0,51.0,Kyle Busch,NOS Energy Drink (Billy Ballew),Toyota,100.0,58450.0,running,0.0,170.0
2008,1,Daytona,3.0,35.0,23.0,"Johnny Benson, Jr.",Toyota Certified Used Vehicles (Bill Davis),Toyota,100.0,45570.0,running,1.0,170.0
2008,1,Daytona,4.0,14.0,11.0,David Starr,Red Horse Racing (Tom DeLoach),Toyota,100.0,30310.0,running,0.0,160.0
2008,1,Daytona,5.0,19.0,14.0,Rick Crawford,Power Stroke Diesel by Intl. (Tom Mitchell),Ford,100.0,26735.0,running,0.0,155.0
2008,1,Daytona,6.0,4.0,4.0,Stacy Compton,Potamkin-Rivera Dodge (Bobby Hamilton Racing),Dodge,100.0,22335.0,running,0.0,150.0
2008,1,Daytona,7.0,10.0,8.0,Chad McCumbee,MRD Motorsports (Dave Malcolmson),Chevrolet,100.0,21035.0,running,0.0,146.0
2008,1,Daytona,8.0,8.0,9.0,Justin Marks,Construct Corps (Germain Racing),Toyota,100.0,21035.0,running,0.0,142.0
2008,1,Daytona,9.0,18.0,16.0,Brian Scott,Shark Energy Drink (Joe Scott),Chevrolet,100.0,19035.0,running,0.0,138.0
2008,1,Daytona,10.0,17.0,18.0,Dennis Setzer,Dodge Journey / Melling (Bobby Hamilton Racing),Dodge,100.0,21285.0,running,0.0,134.0
2008,1,Daytona,11.0,15.0,7.0,Andy Lally,Line-X Bedliners (Kevin Buckler),Chevrolet,100.0,17935.0,running,0.0,130.0
2008,1,Daytona,12.0,30.0,22.0,Phillip McGilton,Miccosukee Resorts (Bill Davis),Toyota,100.0,17760.0,running,0.0,127.0
2008,1,Daytona,13.0,25.0,15.0,Marc Mitchell,Hyprene Ergon (Billy Ballew),Chevrolet,100.0,15410.0,running,0.0,124.0
2008,1,Daytona,14.0,23.0,46.0,Erin Crocker,Fone Gear (David Dollar),Chevrolet,100.0,17560.0,running,0.0,121.0
2008,1,Daytona,15.0,20.0,13.0,Shelby Howard,ThorSport (Duke Thorson),Chevrolet,100.0,18810.0,running,0.0,118.0
2008,1,Daytona,16.0,13.0,29.0,Scott Lynch,Jasper Engines (James Lynch),Dodge,100.0,15010.0,running,0.0,115.0
2008,1,Daytona,17.0,34.0,28.0,Wayne Edwards,Kissin' Kuzzins (Jim Rosenblum),Chevrolet,99.0,14905.0,running,0.0,112.0
2008,1,Daytona,18.0,36.0,31.0,Larry Foyt,Kinetico Water Systems (Bob Brevak),Dodge,98.0,14785.0,running,0.0,109.0
2008,1,Daytona,19.0,6.0,2.0,Jack Sprague,American Commercial Lines (Kevin Harvick),Chevrolet,97.0,14685.0,running,0.0,106.0
2008,1,Daytona,20.0,32.0,53.0,Justin Hobgood,Georgia Beef Board (William Bishop),Chevrolet,96.0,15285.0,running,0.0,103.0
2008,1,Daytona,21.0,1.0,99.0,Erik Darnell,Northern Tool + Equipment (Jack Roush),Ford,87.0,18635.0,crash,45.0,105.0
2008,1,Daytona,22.0,27.0,8.0,Jason White,GunBroker.com (Bobby Dotter),Dodge,73.0,16635.0,ignition,2.0,102.0
2008,1,Daytona,23.0,24.0,7.0,Shane Sieg,ASI Limited (Ken Smith),Chevrolet,72.0,16510.0,engine,0.0,94.0
2008,1,Daytona,24.0,7.0,88.0,Matt Crafton,Menards / Peak (Duke Thorson),Chevrolet,60.0,16385.0,running,0.0,91.0
2008,1,Daytona,25.0,5.0,33.0,"Ron Hornaday, Jr.",Camping World (Kevin Harvick),Chevrolet,54.0,17285.0,running,1.0,93.0
2008,1,Daytona,26.0,33.0,20.0,"Scott Lagasse, Jr.",JTG Racing (Tad Geschickter),Ford,53.0,14935.0,crash,0.0,85.0
2008,1,Daytona,27.0,31.0,21.0,Jon Wood,The Barnhill Group (Wood Brothers),Ford,52.0,14810.0,crash,0.0,82.0
2008,1,Daytona,28.0,16.0,59.0,Ted Musgrave,Team ASE / Harris Trucking (James Harris),Toyota,50.0,13710.0,running,0.0,79.0
2008,1,Daytona,29.0,3.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,49.0,13610.0,running,2.0,81.0
2008,1,Daytona,30.0,2.0,60.0,Terry Cook,Wyler.com (Jeff Wyler),Toyota,36.0,13510.0,running,0.0,73.0
2008,1,Daytona,31.0,9.0,6.0,Colin Braun,Con-way Freight (Jack Roush),Ford,24.0,13460.0,crash,0.0,70.0
2008,1,Daytona,32.0,11.0,9.0,Joey Clanton,Zaxby's (Jack Roush),Ford,24.0,13410.0,crash,0.0,67.0
2008,1,Daytona,33.0,26.0,71.0,Mike Bliss,TRG Motorsports (Kevin Buckler),Chevrolet,23.0,13360.0,crash,0.0,64.0
2008,1,Daytona,34.0,28.0,10.0,Brendan Gaughan,International MAXX Force Diesel (Tom Mitchell),Ford,18.0,13310.0,crash,0.0,61.0
2008,1,Daytona,35.0,29.0,63.0,P.J. Jones,Diversified Partners (Mike Mittler),Ford,18.0,13260.0,crash,0.0,58.0
2008,1,Daytona,36.0,22.0,40.0,Chad Chaffin,Key Motorsports (Curtis Key),Chevrolet,18.0,13175.0,crash,0.0,55.0
2008,2,Fontana,1.0,20.0,51.0,Kyle Busch,San Bernardino County (Billy Ballew),Toyota,100.0,62300.0,running,51.0,195.0
2008,2,Fontana,2.0,4.0,30.0,Todd Bodine,Lumber Liquidators (Germain Racing),Toyota,100.0,44550.0,running,25.0,175.0
2008,2,Fontana,3.0,3.0,23.0,"Johnny Benson, Jr.",Toyota Certified Used Vehicles (Bill Davis),Toyota,100.0,30320.0,running,3.0,170.0
2008,2,Fontana,4.0,10.0,60.0,Terry Cook,Wyler.com (Jeff Wyler),Toyota,100.0,21310.0,running,0.0,160.0
2008,2,Fontana,5.0,1.0,33.0,"Ron Hornaday, Jr.",Camping World (Kevin Harvick),Chevrolet,100.0,19110.0,running,15.0,160.0
2008,2,Fontana,6.0,17.0,59.0,Ted Musgrave,Team ASE / Harris Trucking (James Harris),Toyota,100.0,15935.0,running,0.0,150.0
2008,2,Fontana,7.0,22.0,9.0,Travis Kvapil,Zaxby's (Jack Roush),Ford,100.0,16410.0,running,1.0,151.0
2008,2,Fontana,8.0,2.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,100.0,16010.0,running,0.0,142.0
2008,2,Fontana,9.0,6.0,6.0,Colin Braun,Con-way Freight (Jack Roush),Ford,100.0,16410.0,running,0.0,138.0
2008,2,Fontana,10.0,18.0,22.0,Phillip McGilton,Three Wide Life (Bill Davis),Toyota,100.0,16360.0,running,0.0,134.0
2008,2,Fontana,11.0,14.0,99.0,Erik Darnell,Northern Tool + Equipment (Jack Roush),Ford,100.0,14610.0,running,1.0,135.0
2008,2,Fontana,12.0,12.0,10.0,Brendan Gaughan,International MAXX Force Diesel (Tom Mitchell),Ford,100.0,14410.0,running,0.0,127.0
2008,2,Fontana,13.0,8.0,11.0,David Starr,Red Horse Racing (Tom DeLoach),Toyota,100.0,14360.0,running,0.0,124.0
2008,2,Fontana,14.0,5.0,14.0,Rick Crawford,Power Stroke Diesel by Intl. (Tom Mitchell),Ford,100.0,14110.0,running,1.0,126.0
2008,2,Fontana,15.0,9.0,88.0,Matt Crafton,Menards / Quaker State (Duke Thorson),Chevrolet,100.0,15360.0,running,0.0,118.0
2008,2,Fontana,16.0,13.0,18.0,Dennis Setzer,Melling Select (Bobby Hamilton Racing),Dodge,100.0,13735.0,running,3.0,120.0
2008,2,Fontana,17.0,34.0,47.0,A.J. Allmendinger,Morgan-Dollar Motorsports (David Dollar),Chevrolet,100.0,11360.0,running,0.0,0.0
2008,2,Fontana,18.0,27.0,8.0,Chad McCumbee,MRD Motorsports (Dave Malcolmson),Chevrolet,99.0,13585.0,running,0.0,109.0
2008,2,Fontana,19.0,16.0,20.0,"Scott Lagasse, Jr.",JTG Racing (Tad Geschickter),Ford,99.0,13560.0,running,0.0,106.0
2008,2,Fontana,20.0,29.0,15.0,Marc Mitchell,Hyprene Ergon (Billy Ballew),Chevrolet,99.0,11985.0,running,0.0,103.0
2008,2,Fontana,21.0,15.0,4.0,Stacy Compton,Carl Burger's Dodge (Bobby Hamilton Racing),Dodge,99.0,13510.0,running,0.0,100.0
2008,2,Fontana,22.0,30.0,2.0,Jack Sprague,RVs.com (Kevin Harvick),Chevrolet,99.0,11235.0,running,0.0,97.0
2008,2,Fontana,23.0,25.0,16.0,Brian Scott,Shark Energy Drink (Joe Scott),Chevrolet,99.0,12210.0,running,0.0,94.0
2008,2,Fontana,24.0,21.0,7.0,Mike Bliss,ASI Limited (Ken Smith),Chevrolet,99.0,11185.0,running,0.0,91.0
2008,2,Fontana,25.0,19.0,13.0,Shelby Howard,ThorSport Racing (Duke Thorson),Chevrolet,99.0,12160.0,running,0.0,88.0
2008,2,Fontana,26.0,32.0,71.0,Donny Lia,TRG Motorsports (Kevin Buckler),Chevrolet,99.0,11135.0,running,0.0,85.0
2008,2,Fontana,27.0,23.0,46.0,Erin Crocker,foneGear46.com (David Dollar),Chevrolet,97.0,11110.0,running,0.0,82.0
2008,2,Fontana,28.0,26.0,40.0,Chad Chaffin,Key Motorsports (Curtis Key),Chevrolet,97.0,11060.0,running,0.0,79.0
2008,2,Fontana,29.0,24.0,7.0,Andy Lally,TRG Motorsports (Kevin Buckler),Chevrolet,97.0,11035.0,running,0.0,76.0
2008,2,Fontana,30.0,28.0,8.0,Jason White,GunBroker.com (Bobby Dotter),Dodge,97.0,10995.0,running,0.0,73.0
2008,2,Fontana,31.0,31.0,29.0,Scott Lynch,Jasper Engines (James Lynch),Dodge,79.0,10985.0,engine,0.0,70.0
2008,2,Fontana,32.0,11.0,21.0,Jon Wood,U.S. Air Force (Wood Brothers),Ford,73.0,10975.0,running,0.0,67.0
2008,2,Fontana,33.0,7.0,9.0,Justin Marks,Crocs (Germain Racing),Toyota,56.0,10960.0,running,0.0,64.0
2008,2,Fontana,34.0,33.0,44.0,Morgan Shepherd,Key Motorsports (Curtis Key),Chevrolet,7.0,10950.0,handling,0.0,0.0
2008,2,Fontana,35.0,35.0,0.0,Butch Miller,ASI Limited (Gene Christensen),Chevrolet,3.0,10915.0,vibration,0.0,0.0
2008,3,Atlanta,1.0,3.0,51.0,Kyle Busch,Miccosukee Resorts / Red Top Auto (Billy Ballew),Toyota,130.0,56550.0,running,39.0,190.0
2008,3,Atlanta,2.0,1.0,33.0,"Ron Hornaday, Jr.",Camping World (Kevin Harvick),Chevrolet,130.0,40575.0,running,81.0,180.0
2008,3,Atlanta,3.0,12.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,130.0,26145.0,running,1.0,170.0
2008,3,Atlanta,4.0,15.0,88.0,Matt Crafton,Menards / Energizer (Duke Thorson),Chevrolet,130.0,17335.0,running,0.0,160.0
2008,3,Atlanta,5.0,2.0,8.0,Chad McCumbee,Malcolmson Construction (Dave Malcolmson),Chevrolet,130.0,15960.0,running,3.0,160.0
2008,3,Atlanta,6.0,5.0,2.0,Jack Sprague,American Commercial Lines (Kevin Harvick),Chevrolet,130.0,10660.0,running,4.0,155.0
2008,3,Atlanta,7.0,4.0,59.0,Ted Musgrave,Team ASE / Harris Trucking (James Harris),Toyota,130.0,12390.0,running,0.0,146.0
2008,3,Atlanta,8.0,6.0,60.0,Terry Cook,Wyler.com (Jeff Wyler),Toyota,130.0,12290.0,running,0.0,142.0
2008,3,Atlanta,9.0,7.0,30.0,Todd Bodine,Lumber Liquidators (Germain Racing),Toyota,130.0,12160.0,running,0.0,138.0
2008,3,Atlanta,10.0,16.0,21.0,Jon Wood,The Barnhill Group (Wood Brothers),Ford,129.0,15610.0,running,0.0,134.0
2008,3,Atlanta,11.0,19.0,14.0,Rick Crawford,Power Stroke Diesel by Intl. (Tom Mitchell),Ford,129.0,11635.0,running,0.0,130.0
2008,3,Atlanta,12.0,14.0,99.0,Erik Darnell,Northern Tool + Equipment (Jack Roush),Ford,129.0,11435.0,running,1.0,132.0
2008,3,Atlanta,13.0,8.0,18.0,Dennis Setzer,Melling Engine Parts (Bobby Hamilton Racing),Dodge,129.0,11335.0,running,1.0,129.0
2008,3,Atlanta,14.0,11.0,9.0,Justin Marks,Crocs (Germain Racing),Toyota,129.0,12235.0,running,0.0,121.0
2008,3,Atlanta,15.0,24.0,10.0,Brendan Gaughan,International MAXX Force Diesel (Tom Mitchell),Ford,129.0,12485.0,running,0.0,118.0
2008,3,Atlanta,16.0,17.0,22.0,Phillip McGilton,Three Wide Life (Bill Davis),Toyota,129.0,11035.0,running,0.0,115.0
2008,3,Atlanta,17.0,20.0,16.0,Brian Scott,Shark Energy Drink / Albertson's (Joe Scott),Chevrolet,129.0,10985.0,running,0.0,112.0
2008,3,Atlanta,18.0,22.0,9.0,Travis Kvapil,Zaxby's (Jack Roush),Ford,129.0,10860.0,running,0.0,109.0
2008,3,Atlanta,19.0,10.0,4.0,Stacy Compton,Landmark Dodge (Bobby Hamilton Racing),Dodge,129.0,10810.0,running,0.0,106.0
2008,3,Atlanta,20.0,25.0,71.0,Donny Lia,TRG Motorsports (Kevin Buckler),Chevrolet,128.0,9010.0,running,0.0,103.0
2008,3,Atlanta,21.0,21.0,11.0,David Starr,Red Horse Racing (Tom DeLoach),Toyota,128.0,10910.0,running,0.0,100.0
2008,3,Atlanta,22.0,23.0,7.0,Andy Lally,TRG Motorsports / Adobe Road Winery (Kevin Buckler),Chevrolet,128.0,9410.0,running,0.0,97.0
2008,3,Atlanta,23.0,29.0,15.0,Marc Mitchell,Hyprene Ergon (Billy Ballew),Chevrolet,128.0,8360.0,running,0.0,94.0
2008,3,Atlanta,24.0,31.0,8.0,Jason White,GunBroker.com (Bobby Dotter),Dodge,128.0,9335.0,running,0.0,91.0
2008,3,Atlanta,25.0,26.0,40.0,Chad Chaffin,Key Motorsports (Curtis Key),Chevrolet,128.0,8310.0,running,0.0,88.0
2008,3,Atlanta,26.0,18.0,13.0,Shelby Howard,ThorSport Racing (Duke Thorson),Chevrolet,128.0,8260.0,running,0.0,85.0
2008,3,Atlanta,27.0,28.0,46.0,Scott Speed,Red Bull (David Dollar),Chevrolet,127.0,8235.0,running,0.0,82.0
2008,3,Atlanta,28.0,9.0,6.0,Colin Braun,Con-way Freight (Jack Roush),Ford,126.0,8210.0,running,0.0,79.0
2008,3,Atlanta,29.0,27.0,20.0,"Scott Lagasse, Jr.",Nicholson Group (Tad Geschickter),Ford,125.0,8185.0,running,0.0,76.0
2008,3,Atlanta,30.0,13.0,23.0,"Johnny Benson, Jr.",Toyota Certified Used Vehicles (Bill Davis),Toyota,110.0,8160.0,running,0.0,73.0
2008,3,Atlanta,31.0,30.0,7.0,Shane Sieg,ASI Limited (Ken Smith),Chevrolet,76.0,8135.0,engine,0.0,70.0
2008,3,Atlanta,32.0,32.0,0.0,Butch Miller,GunBroker.com (Gene Christensen),Chevrolet,3.0,8110.0,overheating,0.0,67.0
2008,4,Martinsville,1.0,10.0,18.0,Dennis Setzer,Duck Head Footwear / Aqua Duck (Bobby Hamilton Racing),Dodge,253.0,55025.0,running,126.0,195.0
2008,4,Martinsville,2.0,24.0,88.0,Matt Crafton,Menards / Ideal Door (Duke Thorson),Chevrolet,253.0,32550.0,running,0.0,170.0
2008,4,Martinsville,3.0,5.0,14.0,Rick Crawford,Power Stroke Diesel by Intl. (Tom Mitchell),Ford,253.0,22320.0,running,0.0,165.0
2008,4,Martinsville,4.0,28.0,52.0,Ken Schrader,Federated Auto Parts (Ken Schrader),Toyota,253.0,12910.0,running,0.0,160.0
2008,4,Martinsville,5.0,18.0,99.0,Erik Darnell,Northern Tool + Equipment (Jack Roush),Ford,253.0,13085.0,running,0.0,155.0
2008,4,Martinsville,6.0,9.0,11.0,David Starr,Red Horse Racing (Tom DeLoach),Toyota,253.0,13385.0,running,0.0,150.0
2008,4,Martinsville,7.0,14.0,9.0,Travis Kvapil,Zaxby's (Jack Roush),Ford,253.0,11435.0,running,0.0,146.0
2008,4,Martinsville,8.0,3.0,33.0,"Ron Hornaday, Jr.",VFW (Kevin Harvick),Chevrolet,253.0,12385.0,running,3.0,147.0
2008,4,Martinsville,9.0,25.0,71.0,Donny Lia,AutismSpeaks.org (Kevin Buckler),Chevrolet,253.0,10085.0,running,0.0,138.0
2008,4,Martinsville,10.0,17.0,46.0,Scott Speed,Red Bull (David Dollar),Chevrolet,253.0,11835.0,running,0.0,134.0
2008,4,Martinsville,11.0,16.0,10.0,Brendan Gaughan,International MAXX Force Diesel (Tom Mitchell),Ford,253.0,12135.0,running,0.0,130.0
2008,4,Martinsville,12.0,15.0,30.0,Todd Bodine,Lumber Liquidators (Germain Racing),Toyota,253.0,11110.0,running,0.0,127.0
2008,4,Martinsville,13.0,13.0,60.0,Terry Cook,Wyler.com (Jeff Wyler),Toyota,253.0,11060.0,running,0.0,124.0
2008,4,Martinsville,14.0,7.0,6.0,Colin Braun,Con-way Freight (Jack Roush),Ford,253.0,11010.0,running,0.0,121.0
2008,4,Martinsville,15.0,21.0,59.0,Ted Musgrave,Team ASE / Harris Trucking (James Harris),Toyota,253.0,11685.0,running,0.0,118.0
2008,4,Martinsville,16.0,12.0,22.0,Phillip McGilton,Three Wide Life (Bill Davis),Toyota,253.0,11260.0,running,0.0,115.0
2008,4,Martinsville,17.0,19.0,7.0,Ryan Lawler,Deals Auto Auction of Dallas (Ken Smith),Chevrolet,253.0,11010.0,running,0.0,112.0
2008,4,Martinsville,18.0,35.0,3.0,Chrissy Wallace,GEICO / Mobil Delvac Oils (Germain Racing),Toyota,253.0,8510.0,running,0.0,109.0
2008,4,Martinsville,19.0,6.0,47.0,Timothy Peters,Tahoe Smokeless (David Dollar),Chevrolet,253.0,8460.0,running,0.0,106.0
2008,4,Martinsville,20.0,23.0,9.0,Justin Marks,Construct Corps / Crocs (Germain Racing),Toyota,253.0,11335.0,running,0.0,103.0
