Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2024,1,Daytona,1.0,6.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,101.0,running,26.0,42.0,5.0
2024,1,Daytona,2.0,26.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,101.0,running,0.0,37.0,0.0
2024,1,Daytona,3.0,20.0,71.0,Rajah Caruth,HendrickCars.com (Spire Motorsports),Chevrolet,101.0,running,1.0,35.0,0.0
2024,1,Daytona,4.0,19.0,32.0,Bret Holmes,Precision Garage Door (Stacy Holmes),Chevrolet,101.0,running,13.0,38.0,0.0
2024,1,Daytona,5.0,31.0,76.0,Spencer Boyd,Tibbetts Lumber,Chevrolet,101.0,running,0.0,32.0,0.0
2024,1,Daytona,6.0,27.0,75.0,Stefan Parsons,Ballpark Buns and Rolls (Charlie Henderson),Chevrolet,101.0,running,0.0,31.0,0.0
2024,1,Daytona,7.0,11.0,88.0,Matt Crafton,Ideal Door/Menards (Duke Thorson),Ford,101.0,running,0.0,38.0,0.0
2024,1,Daytona,8.0,33.0,56.0,Timmy Hill,Coble Enterprises/UNITS (Timmy Hill),Toyota,101.0,running,0.0,29.0,0.0
2024,1,Daytona,9.0,29.0,28.0,Bryan Dauzat,FDNY Racing/OB Builders (Jim Rosenblum),Chevrolet,101.0,running,0.0,28.0,0.0
2024,1,Daytona,10.0,25.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,101.0,running,1.0,39.0,0.0
2024,1,Daytona,11.0,5.0,18.0,Tyler Ankrum,LiUNA! (Bill McAnally),Chevrolet,101.0,running,16.0,42.0,1.0
2024,1,Daytona,12.0,34.0,22.0,Jason White,powder ventures excavations (Kevin Cywinski),Ford,101.0,running,0.0,25.0,0.0
2024,1,Daytona,13.0,9.0,41.0,Bayley Currey,AutoVentive/Precision (Al Niece),Chevrolet,101.0,running,0.0,32.0,0.0
2024,1,Daytona,14.0,17.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,101.0,running,0.0,23.0,0.0
2024,1,Daytona,15.0,1.0,98.0,Ty Majeski,Road Ranger 50th Store (Mike Curb),Ford,101.0,running,6.0,35.0,0.0
2024,1,Daytona,16.0,8.0,15.0,Tanner Gray,Dead On Tools (David Gilliland),Toyota,101.0,running,1.0,22.0,0.0
2024,1,Daytona,17.0,22.0,9.0,Grant Enfinger,Grant County Mulch (Codie Rohrbaugh),Chevrolet,101.0,running,2.0,23.0,0.0
2024,1,Daytona,18.0,23.0,91.0,Jack Wood,Klotz Synthetics (Bill McAnally),Chevrolet,101.0,running,0.0,23.0,0.0
2024,1,Daytona,19.0,12.0,17.0,Taylor Gray,JBL (David Gilliland),Toyota,100.0,crash,0.0,24.0,0.0
2024,1,Daytona,20.0,3.0,7.0,Corey LaJoie,BlueGreen Vacations (Spire Motorsports),Chevrolet,100.0,crash,5.0,0.0,0.0
2024,1,Daytona,21.0,7.0,43.0,Daniel Dye,Champion Container (Bill McAnally),Chevrolet,100.0,crash,0.0,23.0,0.0
2024,1,Daytona,22.0,30.0,4.0,Cory Roper,Fly Alliance/CarQuest (Roper Racing),Chevrolet,100.0,crash,0.0,15.0,0.0
2024,1,Daytona,23.0,14.0,97.0,Codie Rohrbaugh,Grant County Mulch (Larry Berg),Chevrolet,100.0,crash,0.0,14.0,0.0
2024,1,Daytona,24.0,15.0,5.0,Dean Thompson,David Mancini & Sons (David Gilliland),Toyota,100.0,crash,0.0,15.0,0.0
2024,1,Daytona,25.0,32.0,2.0,Mason Massey,Brunt (Randy Young),Chevrolet,100.0,running,0.0,12.0,0.0
2024,1,Daytona,26.0,4.0,42.0,Matt Mills,J.F. Electric/Utilitra (Al Niece),Chevrolet,99.0,running,0.0,11.0,0.0
2024,1,Daytona,27.0,13.0,1.0,Toni Breidinger,Celsius (David Gilliland),Toyota,97.0,running,0.0,10.0,0.0
2024,1,Daytona,28.0,18.0,77.0,Chase Purdy,Bama Buggies (Spire Motorsports),Chevrolet,93.0,crash,1.0,9.0,0.0
2024,1,Daytona,29.0,2.0,45.0,Johnny Sauter,Niece/IEDA (Al Niece),Chevrolet,79.0,crash,24.0,18.0,1.0
2024,1,Daytona,30.0,24.0,99.0,Ben Rhodes,Ranch Fuel Energy Drink (Duke Thorson),Ford,71.0,crash,5.0,13.0,0.0
2024,1,Daytona,31.0,36.0,27.0,Keith McGee,More Core (Rackley W.A.R.),Ford,44.0,crash,0.0,6.0,0.0
2024,1,Daytona,32.0,35.0,33.0,Lawless Alan,AUTOChargit Mobile (Josh Reaume),Ford,27.0,overheating,0.0,5.0,0.0
2024,1,Daytona,33.0,21.0,38.0,Layne Riggs,Love's RV Stops (Bob Jenkins),Ford,13.0,dvp,0.0,4.0,0.0
2024,1,Daytona,34.0,16.0,13.0,Jake Garcia,Quanta Services (Duke Thorson),Ford,6.0,crash,0.0,3.0,0.0
2024,1,Daytona,35.0,28.0,25.0,Ty Dillon,Rackley Roofing (Rackley W.A.R.),Chevrolet,5.0,crash,0.0,2.0,0.0
