Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2022,1,Daytona,1.0,20.0,38.0,Zane Smith,Love's Travel Stops (Bob Jenkins),Ford,106.0,running,3.0,46.0,5.0
2022,1,Daytona,2.0,27.0,99.0,Ben Rhodes,EXT Extreme Hair Therapy (Duke Thorson),Toyota,106.0,running,6.0,44.0,0.0
2022,1,Daytona,3.0,14.0,98.0,Christian Eckes,AHI Facility Services / Curb Records (Mike Curb),Toyota,106.0,running,9.0,41.0,0.0
2022,1,Daytona,4.0,24.0,15.0,Tanner Gray,Black's Tire (David Gilliland),Ford,106.0,running,0.0,36.0,0.0
2022,1,Daytona,5.0,31.0,75.0,Parker Kligerman,Food Country USA (Charlie Henderson),Chevrolet,106.0,running,0.0,32.0,0.0
2022,1,Daytona,6.0,9.0,2.0,Jesse Little,Shriners Children's Hospitals (Randy Young),Chevrolet,106.0,running,0.0,31.0,0.0
2022,1,Daytona,7.0,1.0,66.0,Ty Majeski,Cincinnati Tools (Duke Thorson),Toyota,106.0,running,21.0,35.0,0.0
2022,1,Daytona,8.0,28.0,20.0,Danny Bohn,North American Motor Car (Randy Young),Chevrolet,106.0,running,0.0,29.0,0.0
2022,1,Daytona,9.0,22.0,42.0,Carson Hocevar,Premier Security Solutions (Al Niece),Chevrolet,106.0,running,0.0,28.0,0.0
2022,1,Daytona,10.0,23.0,25.0,Matt DiBenedetto,Rackley Roofing / WAR Shocks (Rackley W.A.R.),Chevrolet,106.0,running,0.0,27.0,0.0
2022,1,Daytona,11.0,15.0,12.0,Spencer Boyd,Rimtyme (Randy Young),Chevrolet,106.0,running,0.0,26.0,0.0
2022,1,Daytona,12.0,8.0,17.0,Riley Herbst,Mechanix Wear (David Gilliland),Ford,106.0,running,0.0,0.0,0.0
2022,1,Daytona,13.0,16.0,22.0,Austin Wayne Self,AM Technical Solutions / Airbox (Tim Self),Chevrolet,106.0,running,0.0,29.0,0.0
2022,1,Daytona,14.0,35.0,56.0,Timmy Hill,Coble Enterprises (Timmy Hill),Toyota,106.0,running,0.0,23.0,0.0
2022,1,Daytona,15.0,13.0,7.0,Austin Hill,United Rentals (Spire Motorsports),Chevrolet,106.0,running,1.0,0.0,0.0
2022,1,Daytona,16.0,5.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,106.0,running,2.0,29.0,0.0
2022,1,Daytona,17.0,26.0,1.0,Hailie Deegan,Monster Energy (David Gilliland),Ford,106.0,running,0.0,20.0,0.0
2022,1,Daytona,18.0,34.0,43.0,Thad Moffitt,STP (Josh Reaume),Chevrolet,106.0,running,0.0,0.0,0.0
2022,1,Daytona,19.0,12.0,44.0,Kris Wright,F.N.B. Corporation (Al Niece),Chevrolet,106.0,running,0.0,18.0,0.0
2022,1,Daytona,20.0,33.0,33.0,Jason White,Powder Venture Excavations (Josh Reaume),Toyota,105.0,crash,0.0,17.0,0.0
2022,1,Daytona,21.0,3.0,18.0,Chandler Smith,Safelite (Kyle Busch),Toyota,105.0,running,0.0,33.0,0.0
2022,1,Daytona,22.0,32.0,30.0,Tate Fogleman,Rangeline Group (Steven Lane),Toyota,105.0,running,0.0,15.0,0.0
2022,1,Daytona,23.0,25.0,28.0,Bryan Dauzat,FDNY / O.B. Builders (Jim Rosenblum),Chevrolet,105.0,running,0.0,14.0,0.0
2022,1,Daytona,24.0,2.0,4.0,John H. Nemechek,Pye-Barker Fire & Safety (Kyle Busch),Toyota,104.0,running,50.0,33.0,2.0
2022,1,Daytona,25.0,10.0,45.0,Lawless Alan,Auto ParkIt (Al Niece),Chevrolet,103.0,crash,0.0,12.0,0.0
2022,1,Daytona,26.0,30.0,19.0,Derek Kraus,Shockwave (Bill McAnally),Chevrolet,101.0,crash,1.0,14.0,0.0
2022,1,Daytona,27.0,29.0,88.0,Matt Crafton,Mold Armor / Menards (Duke Thorson),Toyota,100.0,crash,0.0,16.0,0.0
2022,1,Daytona,28.0,4.0,16.0,Tyler Ankrum,Liuna (Shigeaki Hattori),Toyota,99.0,crash,4.0,14.0,0.0
2022,1,Daytona,29.0,7.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,99.0,crash,0.0,13.0,0.0
2022,1,Daytona,30.0,18.0,91.0,Colby Howard,Gates Hydraulics (Bill McAnally),Chevrolet,99.0,crash,9.0,0.0,0.0
2022,1,Daytona,31.0,19.0,9.0,Blaine Perkins,Raceline (Codie Rohrbaugh),Chevrolet,99.0,crash,0.0,6.0,0.0
2022,1,Daytona,32.0,6.0,51.0,Corey Heim,JBL (Kyle Busch),Toyota,91.0,crash,0.0,12.0,0.0
2022,1,Daytona,33.0,11.0,24.0,Jack Wood,Make An Impact Foundation (Maury Gallagher),Chevrolet,63.0,crash,0.0,4.0,0.0
2022,1,Daytona,34.0,36.0,47.0,Johnny Sauter,LiftKits4Less.com (G2G Racing),Toyota,60.0,electrical,0.0,3.0,0.0
2022,1,Daytona,35.0,21.0,32.0,Bret Holmes,Southern States Bank (Stacy Holmes),Chevrolet,44.0,clutch,0.0,4.0,0.0
2022,1,Daytona,36.0,17.0,40.0,Dean Thompson,Worldwide Express (Al Niece),Chevrolet,36.0,brakes,0.0,1.0,0.0
2022,2,Las Vegas,1.0,3.0,18.0,Chandler Smith,Safelite Auto Glass (Kyle Busch),Toyota,134.0,running,32.0,54.0,5.0
2022,2,Las Vegas,2.0,2.0,51.0,Kyle Busch,JBL (Kyle Busch),Toyota,134.0,running,31.0,0.0,0.0
2022,2,Las Vegas,3.0,17.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,134.0,running,0.0,36.0,0.0
