Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2010,1,Daytona,1.0,24.0,17.0,Timothy Peters,K&N Filters (Tom DeLoach),Toyota,100.0,85425.0,running,5.0,190.0
2010,1,Daytona,2.0,15.0,30.0,Todd Bodine,GEICO (Germain Racing),Toyota,100.0,57390.0,running,32.0,180.0
2010,1,Daytona,3.0,14.0,46.0,Dennis Setzer,Plane Guts (Danny Gill),Dodge,100.0,36485.0,running,2.0,170.0
2010,1,Daytona,4.0,1.0,23.0,Jason White,GunBroker.com (Steve Urvan),Ford,100.0,28800.0,running,8.0,165.0
2010,1,Daytona,5.0,17.0,88.0,Matt Crafton,Herculiner / Menards (Duke Thorson),Chevrolet,100.0,21975.0,running,0.0,155.0
2010,1,Daytona,6.0,22.0,1.0,"Nelson Piquet, Jr.",Red Horse Racing (Tom DeLoach),Toyota,100.0,16125.0,running,0.0,150.0
2010,1,Daytona,7.0,12.0,60.0,Stacy Compton,SafeAuto Insurance / Wyler.com (Jeff Wyler),Toyota,100.0,19375.0,running,1.0,151.0
2010,1,Daytona,8.0,9.0,95.0,"Johnny Benson, Jr.",Plane Guts (Danny Gill),Ford,100.0,14125.0,running,8.0,147.0
2010,1,Daytona,9.0,32.0,6.0,Donnie Neuenberger,E-Z Slider Cylinder Liners (Rick Ware),Chevrolet,100.0,13125.0,running,0.0,138.0
2010,1,Daytona,10.0,36.0,1.0,J.J. Yeley,Koma Unwind Chillaxation Drink (Daisy Ramirez),Chevrolet,100.0,14075.0,running,1.0,139.0
2010,1,Daytona,11.0,29.0,47.0,Brett Butler,FuelDoctor.com (Rick Ware),Chevrolet,100.0,15275.0,running,1.0,135.0
2010,1,Daytona,12.0,7.0,51.0,Aric Almirola,Graceway Pharmaceuticals (Billy Ballew),Toyota,100.0,14100.0,running,0.0,127.0
2010,1,Daytona,13.0,34.0,7.0,Sean Murphy,Dietz & Watson (Ken Smith),Chevrolet,100.0,14000.0,running,0.0,124.0
2010,1,Daytona,14.0,31.0,0.0,Carlos Contreras,Potenica Blast Energy Shot / Alpina Water (Daisy Ramirez),Chevrolet,100.0,11625.0,running,2.0,126.0
2010,1,Daytona,15.0,27.0,76.0,Ryan Hackett,Sears Sand & Gravel (Ray Hackett),Ford,99.0,12575.0,running,0.0,118.0
2010,1,Daytona,16.0,30.0,39.0,Ryan Sieg,Waste Pro (Rod Sieg),Chevrolet,95.0,13575.0,crash,0.0,115.0
2010,1,Daytona,17.0,6.0,56.0,Tayler Malsam,Toyota / One Eighty (Kyle Busch),Toyota,94.0,13470.0,running,0.0,112.0
2010,1,Daytona,18.0,19.0,7.0,Justin Lofton,visitPIT.com (Tom DeLoach),Toyota,93.0,13350.0,running,0.0,109.0
2010,1,Daytona,19.0,25.0,81.0,David Starr,Zachry (Randy Moss),Toyota,86.0,13250.0,running,0.0,106.0
2010,1,Daytona,20.0,2.0,2.0,Elliott Sadler,Hunt Brothers Pizza (Kevin Harvick),Chevrolet,85.0,13500.0,running,25.0,108.0
2010,1,Daytona,21.0,11.0,9.0,Max Papis,GEICO (Germain Racing),Toyota,84.0,10800.0,crash,4.0,105.0
2010,1,Daytona,22.0,16.0,18.0,Kyle Busch,Heluva Good! (Kyle Busch),Toyota,83.0,10700.0,running,0.0,97.0
2010,1,Daytona,23.0,8.0,12.0,Mario Gosselin,Tiremonkey.com (Mario Gosselin),Chevrolet,73.0,12825.0,crash,0.0,94.0
2010,1,Daytona,24.0,20.0,5.0,Mike Skinner,International Trucks / Monaco RV (Randy Moss),Toyota,61.0,12700.0,crash,11.0,96.0
2010,1,Daytona,25.0,35.0,57.0,Norm Benning,Norm Benning Racing (Norm Benning),Chevrolet,51.0,12600.0,crash,0.0,88.0
2010,1,Daytona,26.0,3.0,3.0,Austin Dillon,Bass Pro Shops / Tracker Boats (Richard Childress),Chevrolet,50.0,12500.0,running,0.0,85.0
2010,1,Daytona,27.0,5.0,33.0,"Ron Hornaday, Jr.",Longhorn Smokeless Tobacco (Kevin Harvick),Chevrolet,48.0,11475.0,running,0.0,82.0
