Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
1998,1,Disney,1.0,2.0,16.0,"Ron Hornaday, Jr.","NAPA Brakes (Dale Earnhardt, Inc.)",Chevrolet,204.0,48625.0,running,35.0,180.0
1998,1,Disney,2.0,15.0,50.0,Joe Ruttman,LCI International (Jack Roush),Ford,204.0,40325.0,running,16.0,170.0
1998,1,Disney,3.0,17.0,6.0,Rick Carelli,RE/MAX International (Marshall Chesrown),Chevrolet,204.0,31875.0,running,0.0,165.0
1998,1,Disney,4.0,3.0,24.0,Jack Sprague,Quaker State (Rick Hendrick),Chevrolet,204.0,22175.0,running,0.0,160.0
1998,1,Disney,5.0,20.0,80.0,Greg Biffle,Grainger (Jack Roush),Ford,204.0,19675.0,running,0.0,155.0
1998,1,Disney,6.0,26.0,87.0,Joe Nemechek,BellSouth Mobility (Joe Nemechek),Chevrolet,204.0,14575.0,running,0.0,150.0
1998,1,Disney,7.0,29.0,3.0,Jay Sauter,GM Goodwrench Service Plus (Richard Childress),Chevrolet,204.0,13085.0,running,0.0,146.0
1998,1,Disney,8.0,23.0,29.0,Bob Keselowski,Mopar Performance (Ron Keselowski),Dodge,204.0,12585.0,running,0.0,142.0
1998,1,Disney,9.0,32.0,18.0,Butch Miller,Dana Corporation (Ron Norick),Dodge,204.0,12335.0,running,0.0,138.0
1998,1,Disney,10.0,28.0,78.0,Rich Bickle,MCI (Dominic Dobson),Dodge,204.0,12235.0,running,0.0,134.0
1998,1,Disney,11.0,8.0,44.0,Boris Said,Federated Auto Parts (Mark Simo),Ford,204.0,11385.0,running,0.0,130.0
1998,1,Disney,12.0,9.0,2.0,Mike Bliss,Team ASE Racing (Jim Smith),Ford,204.0,11185.0,running,2.0,127.0
1998,1,Disney,13.0,22.0,66.0,Bryan Reffner,Carlin Burners & Controls (Dale Phelon),Ford,204.0,10985.0,running,0.0,124.0
1998,1,Disney,14.0,30.0,43.0,Jimmy Hensley,Cummins Engines (Petty Enterprises),Dodge,203.0,10785.0,running,0.0,121.0
1998,1,Disney,15.0,31.0,84.0,Wayne Anderson,Porter-Cable Power Tools (Jim Herrick),Ford,203.0,10185.0,running,0.0,118.0
1998,1,Disney,16.0,11.0,19.0,Tony Raines,Pennzoil (Kurt Roehrig),Ford,203.0,10485.0,running,0.0,115.0
1998,1,Disney,17.0,34.0,51.0,Tammy Jo Kirk,Auto Value (Tammy Jo Kirk),Ford,203.0,10635.0,running,0.0,112.0
1998,1,Disney,18.0,16.0,75.0,Kevin Harvick,Spears Manufacturing (Wayne Spears),Chevrolet,203.0,9285.0,running,0.0,109.0
1998,1,Disney,19.0,5.0,5.0,Mike Skinner,Llumar Window Films (Mike Skinner),Chevrolet,203.0,9185.0,running,0.0,106.0
1998,1,Disney,20.0,33.0,61.0,Randy Tolsma,Dole / IWX Motor Freight (Steve Coulter),Chevrolet,202.0,10460.0,running,0.0,103.0
1998,1,Disney,21.0,27.0,88.0,Terry Cook,Sealmaster / PBA Tour (Duke Thorson),Chevrolet,202.0,8985.0,running,0.0,100.0
1998,1,Disney,22.0,24.0,35.0,"Ron Barfield, Jr.",Ortho Lawn & Garden Products (Charles Hardy),Chevrolet,201.0,8885.0,running,0.0,97.0
1998,1,Disney,23.0,14.0,83.0,Joe Gaita,Lamb & Robinson Drywall (Joe Gaita),Ford,201.0,8785.0,running,0.0,94.0
1998,1,Disney,24.0,4.0,52.0,Mike Wallace,Purolator PureOne Filters (Ken Schrader),Chevrolet,196.0,9435.0,crash,35.0,91.0
1998,1,Disney,25.0,1.0,99.0,Chuck Bown,Exide Batteries (Jack Roush),Ford,182.0,11535.0,running,116.0,88.0
1998,1,Disney,26.0,10.0,37.0,Scot Walters,Red Man (Clarence Brewer),Chevrolet,177.0,8235.0,running,0.0,85.0
