Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2011,1,Daytona,1.0,11.0,15.0,Michael Waltrip,NASCAR Race View / Wounded Warrior Project (Billy Ballew),Toyota,103.0,73275.0,running,1.0,0.0
2011,1,Daytona,2.0,6.0,2.0,Elliott Sadler,OneMain Financial (Kevin Harvick),Chevrolet,103.0,45700.0,running,32.0,0.0
2011,1,Daytona,3.0,19.0,92.0,Clay Rogers,Action Gator Tire / Fleet HQ (Ricky Benton),Chevrolet,103.0,36500.0,running,2.0,42.0
2011,1,Daytona,4.0,14.0,7.0,Miguel Paludo,Stemco / Duroline (Tom DeLoach),Toyota,103.0,28025.0,running,0.0,40.0
2011,1,Daytona,5.0,21.0,18.0,Kyle Busch,Dollar General (Kyle Busch),Toyota,103.0,20225.0,running,0.0,0.0
2011,1,Daytona,6.0,31.0,10.0,Jennifer Jo Cobb,Driven2Honor / LillysCosmetics.com (Jennifer Jo Cobb),Ford,103.0,19400.0,running,0.0,0.0
2011,1,Daytona,7.0,23.0,1.0,Jeffrey Earnhardt,Fuel Doctor Platinum (Rick Ware),Chevrolet,103.0,19500.0,running,0.0,37.0
2011,1,Daytona,8.0,4.0,4.0,Ricky Carmichael,Monster Energy (Steve Turner),Chevrolet,103.0,18400.0,running,1.0,37.0
2011,1,Daytona,9.0,2.0,31.0,James Buescher,Exide Batteries (Steve Turner),Chevrolet,103.0,17200.0,running,55.0,37.0
2011,1,Daytona,10.0,7.0,88.0,Matt Crafton,Menards / Herculiner (Duke Thorson),Chevrolet,103.0,15725.0,running,0.0,34.0
2011,1,Daytona,11.0,18.0,17.0,Timothy Peters,K&N Filters / Crescent Tools (Tom DeLoach),Toyota,103.0,14300.0,running,12.0,34.0
2011,1,Daytona,12.0,36.0,9.0,Max Papis,GEICO (Germain Racing),Toyota,103.0,11875.0,running,0.0,32.0
2011,1,Daytona,13.0,25.0,81.0,David Starr,Zachry (Bobby Dotter),Toyota,103.0,14025.0,running,0.0,31.0
2011,1,Daytona,14.0,33.0,93.0,Cole Whitt,Wyler.com (Rod Sieg),Chevrolet,103.0,13900.0,running,0.0,30.0
