Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2002,1,Daytona,1.0,10.0,18.0,Robert Pressley,Dodge Motorsports (Bobby Hamilton Racing),Dodge,100.0,81635.0,running,50.0,185.0
2002,1,Daytona,2.0,1.0,1.0,Ted Musgrave,Mopar Performance (Jim Smith),Dodge,100.0,54700.0,running,3.0,175.0
2002,1,Daytona,3.0,4.0,4.0,Brian Rose,Sunclear Energy Team (Bobby Hamilton Racing),Dodge,100.0,39640.0,running,3.0,170.0
2002,1,Daytona,4.0,15.0,79.0,Joe Ruttman,Obee's (Rodney Smith),Dodge,100.0,25800.0,running,1.0,165.0
2002,1,Daytona,5.0,12.0,6.0,Rick Carelli,Harvick Motorsports (Kevin Harvick),Chevrolet,100.0,21700.0,running,16.0,160.0
2002,1,Daytona,6.0,20.0,29.0,Terry Cook,Power Stroke Diesel (Bob Keselowski),Ford,100.0,20150.0,running,4.0,55.0
2002,1,Daytona,7.0,13.0,75.0,David Starr,Spears Manufacturing (Wayne Spears),Chevrolet,100.0,19150.0,running,8.0,151.0
2002,1,Daytona,8.0,6.0,43.0,Carlos Contreras,Hot Wheels (Petty Enterprises),Dodge,100.0,18150.0,running,0.0,142.0
2002,1,Daytona,9.0,26.0,7.0,Jason Small,Sunbelt Rentals / Lucas Oil (Gene Christensen),Chevrolet,100.0,17150.0,running,0.0,138.0
2002,1,Daytona,10.0,7.0,90.0,Lance Norick,Express Personnel Services (Ron Norick),Chevrolet,100.0,17450.0,running,0.0,134.0
2002,1,Daytona,11.0,5.0,2.0,Jason Leffler,Team ASE Racing (Jim Smith),Dodge,100.0,16050.0,running,6.0,135.0
2002,1,Daytona,12.0,2.0,24.0,"Ron Hornaday, Jr.",Wolverine Boots (Rick Hendrick),Chevrolet,99.0,15865.0,running,0.0,127.0
2002,1,Daytona,13.0,18.0,62.0,Brendan Gaughan,NAPA Auto Parts (Michael Gaughan),Dodge,99.0,13515.0,running,0.0,124.0
2002,1,Daytona,14.0,32.0,72.0,Randy MacDonald,Greenfield Truck Center (Doc MacDonald),Chevrolet,99.0,17165.0,running,0.0,121.0
2002,1,Daytona,15.0,28.0,54.0,Brian Sockwell,Maddux Supply (Dennis Sockwell),Chevrolet,99.0,13615.0,running,0.0,118.0
