Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2021,1,Daytona,1.0,23.0,99.0,Ben Rhodes,Bombardier LearJet 75 (Duke Thorson),Toyota,101.0,running,7.0,51.0,5.0
2021,1,Daytona,2.0,20.0,3.0,Jordan Anderson,Swann Security (Jordan Anderson),Chevrolet,101.0,running,0.0,0.0,0.0
2021,1,Daytona,3.0,31.0,4.0,Cory Roper,Alliance Aviation (Roper Racing),Ford,101.0,running,0.0,34.0,0.0
2021,1,Daytona,4.0,25.0,40.0,Ryan Truex,Marquis Spas (Al Niece),Chevrolet,101.0,running,0.0,33.0,0.0
2021,1,Daytona,5.0,12.0,42.0,Carson Hocevar,Scott's / GM Parts Now (Al Niece),Chevrolet,101.0,running,0.0,32.0,0.0
2021,1,Daytona,6.0,2.0,2.0,Sheldon Creed,I.B.E.W. (Maury Gallagher),Chevrolet,101.0,running,1.0,47.0,0.0
2021,1,Daytona,7.0,7.0,4.0,John H. Nemechek,Fire Alarm Services (Kyle Busch),Toyota,101.0,running,14.0,47.0,1.0
2021,1,Daytona,8.0,26.0,9.0,Codie Rohrbaugh,Grant County Mulch (Codie Rohrbaugh),Chevrolet,101.0,running,0.0,29.0,0.0
2021,1,Daytona,9.0,6.0,18.0,Chandler Smith,Safelite Auto Glass (Kyle Busch),Toyota,101.0,running,22.0,37.0,0.0
2021,1,Daytona,10.0,17.0,51.0,Drew Dollar,JBL (Kyle Busch),Toyota,101.0,running,0.0,27.0,0.0
2021,1,Daytona,11.0,3.0,98.0,Grant Enfinger,Champion Power Equipment / Curb Records (Mike Curb),Toyota,101.0,running,13.0,36.0,0.0
2021,1,Daytona,12.0,27.0,2.0,Kris Wright,First National Bank (Randy Young),Chevrolet,101.0,running,0.0,25.0,0.0
2021,1,Daytona,13.0,24.0,20.0,Spencer Boyd,American Pavement / Raised On Blacktop (Randy Young),Chevrolet,101.0,running,0.0,24.0,0.0
2021,1,Daytona,14.0,13.0,17.0,David Gilliland,BTS Tire & Wheel Distributors / Black's Tire (David Gilliland),Ford,101.0,running,8.0,26.0,0.0
2021,1,Daytona,15.0,14.0,88.0,Matt Crafton,Mold-Armor / Menards (Duke Thorson),Toyota,101.0,running,0.0,22.0,0.0
2021,1,Daytona,16.0,8.0,21.0,Zane Smith,MRC Contruction (Maury Gallagher),Chevrolet,101.0,running,0.0,21.0,0.0
2021,1,Daytona,17.0,32.0,30.0,Danny Bohn,North American Motor Car (Steven Lane),Toyota,101.0,running,0.0,20.0,0.0
