owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Michael Peck,15,0,0.0,29.0,23,34,27.73,20,33,0.0,0,0,14.67,0.0,132578,9470,15241,7010
Michael Waltrip,8,0,0.0,17.63,2,31,18.88,4,35,0.0,0,0,109.0,,75415,9427,25350,4600
Mike Addington,123,5,0.04065,11.4,1,32,10.93,1,35,4.61,567,117,136.24,,1821073,14805,59665,5545
Mike Affarano,8,0,0.0,28.13,18,33,28.0,24,31,0.13,1,1,4.0,0.0,74608,10658,13072,6564
Mike Albernaz,43,0,0.0,27.65,13,35,25.21,8,36,0.33,14,9,87.79,,313155,7283,12541,4490
Mike Allgaier,1,0,0.0,29.0,29,29,20.0,20,20,0.0,0,0,24.0,,7950,7950,7950,7950
Mike Borkowski,1,0,0.0,29.0,29,29,22.0,22,22,0.0,0,0,97.0,,5870,5870,5870,5870
Mike Clark,6,0,0.0,28.0,19,33,29.17,21,37,0.0,0,0,75.5,,38935,6489,13075,4970
Mike Colabucci,7,0,0.0,19.57,12,26,23.71,9,32,0.0,0,0,92.14,,39125,5589,11500,3750
Mike Curb,360,17,0.04722,9.87,1,34,10.63,1,36,7.74,2787,179,47.59,0.32,3017673,18289,73310,6350
Mike Farris,46,0,0.0,16.76,1,36,18.28,2,39,1.89,87,32,110.41,,468505,10185,46100,5145
Mike Harmon,75,0,0.0,29.57,21,36,27.79,13,36,0.01,1,1,7.77,0.0,604953,10253,18697,6710
Mike Harvick,5,0,0.0,17.8,7,27,26.8,11,35,0.0,0,0,82.6,,16250,3250,4500,1450
Mike Hillman,44,0,0.0,24.84,7,36,24.18,8,36,0.5,22,22,15.5,,430295,9779,16425,6425
Mike Hurlbert,23,0,0.0,29.74,18,40,26.52,16,34,0.0,0,0,83.43,,71025,3088,4675,1400
Mike Mittler,301,0,0.0,26.3,1,38,25.84,2,36,0.51,154,102,46.38,0.0,2186956,9267,27697,1450
Mike Rose,3,0,0.0,23.0,20,26,22.67,19,25,0.0,0,0,95.0,,14775,4925,4975,4825
Mike Skinner,4,0,0.0,12.0,5,30,14.5,5,26,1.0,4,4,122.0,,36060,9015,11050,4875
Mike Starr,3,0,0.0,26.67,24,32,25.33,18,29,0.0,0,0,87.0,,24115,8038,10315,6835
Mike Thompson,2,0,0.0,25.5,23,28,30.0,23,37,0.0,0,0,73.0,,11675,5838,6050,5625
Milan Garrett,9,0,0.0,30.22,24,36,28.89,18,35,0.0,0,0,76.33,,49220,5469,7845,4205
Milo Januska,3,0,0.0,30.33,26,37,26.0,12,37,0.0,0,0,85.0,,12725,4242,4500,3825
Morgan Shepherd,44,0,0.0,22.61,14,32,29.73,17,36,0.5,22,15,64.45,,336825,7655,13340,5365
Mueller Brothers,4,0,0.0,15.25,9,26,19.25,10,26,0.0,0,0,105.5,,17600,4400,5575,3925
Neil Chaffin,2,0,0.0,22.0,21,23,31.5,31,32,0.0,0,0,68.5,,13375,6688,7840,5535
NextGen Motorsports,2,0,0.0,22.5,22,23,17.0,15,19,0.0,0,0,21.5,0.0,0,,,
Nor-Cal Equipment Rentals,1,0,0.0,32.0,32,32,29.0,29,29,0.0,0,0,8.0,0.0,0,,,
Norm Benning,269,0,0.0,31.49,13,40,26.6,12,40,0.0,0,0,27.81,0.0,1670028,9709,19171,5985
Pat Wall,2,0,0.0,11.0,9,13,25.0,16,34,0.0,0,0,57.5,,15975,7988,8535,7440
Patrick Rodenbeck,3,0,0.0,28.33,23,36,31.0,29,32,0.0,0,0,70.0,,22200,7400,7800,6975
Paul Brown,1,0,0.0,30.0,30,30,34.0,34,34,0.0,0,0,61.0,,6340,6340,6340,6340
Peter Prescott,11,0,0.0,20.09,8,34,20.64,11,29,0.36,4,4,101.55,,83130,7557,9615,5690
Petty Enterprises,183,2,0.01093,14.98,1,34,14.18,1,34,5.3,970,200,122.57,,1827929,9989,40250,2625
Phil Bonifield,78,0,0.0,29.21,13,36,28.71,12,39,0.0,0,0,70.63,,642817,8241,15065,4575
Rackley W.A.R.,84,1,0.0119,18.48,3,36,18.19,1,38,0.25,21,11,17.37,0.06,0,,,
Randy MacDonald,1,0,0.0,32.0,32,32,37.0,37,37,0.0,0,0,52.0,,1650,1650,1650,1650
Randy Moss,119,3,0.02521,14.39,1,36,13.69,1,36,4.59,546,180,117.78,,1685732,14166,61150,6885
Randy Young,489,2,0.00409,22.99,1,36,22.0,1,39,0.09,46,11,15.02,0.02,763566,11931,20313,6900
Raul Flores,2,0,0.0,23.5,20,27,21.0,18,24,0.0,0,0,100.0,,4325,2163,2625,1700
Ray Ciccarelli,52,0,0.0,32.92,16,40,28.69,9,40,0.02,1,1,8.6,0.0,0,,,
Ray Evernham,25,0,0.0,24.4,2,34,26.16,16,36,0.0,0,0,84.52,,241891,9676,15815,6190
Ray Hackett,17,0,0.0,26.88,15,35,26.47,15,34,0.18,3,3,53.47,,176790,10399,12705,7275
Ray Montgomery,50,0,0.0,25.94,2,35,23.48,12,36,0.02,1,1,92.66,,480832,9617,16265,5565
Raymond Scanlan,14,0,0.0,23.57,10,34,21.79,14,35,0.0,0,0,97.64,,80325,5738,13300,3050
"Raymond Terczak, Jr.",3,0,0.0,32.33,30,35,32.67,31,35,0.0,0,0,11.33,,24525,8175,9690,7150
Raynard McGlynn,44,0,0.0,30.0,22,36,27.75,11,35,0.0,0,0,79.75,,325325,7394,13292,4205
Rich Bickle,2,0,0.0,15.0,12,18,21.5,7,36,0.0,0,0,100.5,,11140,5570,6300,4840
Rich Woodard,25,0,0.0,28.12,18,35,24.24,14,36,0.12,3,3,90.48,,246128,9845,14740,5547
Richard Balestrieri,6,0,0.0,26.67,14,35,26.17,16,31,0.0,0,0,84.5,,26750,4458,8525,1325
Richard Childress,322,31,0.09627,9.31,1,33,10.27,1,36,16.1,5183,248,84.07,,4927882,15304,60300,1600
Richard Thompson,7,0,0.0,29.0,22,36,25.14,20,33,0.0,0,0,87.57,,61250,8750,11280,7475
Richard Woodland,5,0,0.0,27.0,20,34,25.6,14,35,0.0,0,0,86.2,,45660,9132,12540,6615
Richie Wauters,45,0,0.0,17.11,2,36,18.8,4,33,0.33,15,8,23.76,0.0,456530,10870,17025,5540
Rick Bogart,2,0,0.0,29.0,26,32,32.5,31,34,0.0,0,0,65.5,,16045,8023,9605,6440
Rick Hendrick,225,26,0.11556,7.4,1,33,8.79,1,36,23.75,5344,196,140.68,,3764467,16731,84725,1400
Rick Jones,32,0,0.0,27.19,12,36,29.94,20,36,0.06,2,2,50.13,,268745,8398,11980,5975
Rick Lind,1,0,0.0,31.0,31,31,34.0,34,34,0.0,0,0,10.0,,7580,7580,7580,7580
Rick McCray,30,0,0.0,26.57,14,40,25.17,11,36,0.1,3,3,87.67,,189477,6316,12350,3150
Rick Tennis,1,0,0.0,32.0,32,32,27.0,27,27,0.0,0,0,82.0,,5365,5365,5365,5365
Rick Ware,247,0,0.0,27.76,8,36,24.84,6,36,0.13,32,8,80.17,0.0,2203987,9033,19500,5065
Ricky Benton,81,0,0.0,21.01,8,36,18.19,3,36,0.3,24,21,24.11,0.0,567634,10512,36500,6775
Rob Ferguson,15,0,0.0,34.53,23,36,29.93,9,36,0.0,0,0,69.47,,131675,8778,17850,6115
Rob Fuller,6,0,0.0,23.0,16,28,27.33,19,35,0.0,0,0,81.0,,52285,8714,12385,6355
Rob Grimm,1,0,0.0,22.0,22,22,30.0,30,30,0.0,0,0,73.0,,7655,7655,7655,7655
Rob Morgan,10,0,0.0,15.7,5,35,13.6,3,31,5.3,53,49,127.0,,105560,10556,16875,6640
Rob Morgan / David Dollar,26,3,0.11538,11.04,3,34,7.5,1,33,16.81,437,118,147.23,,482370,18553,44950,5815
Rob Rizzo,18,0,0.0,21.83,6,35,23.33,6,39,0.0,0,0,93.5,,109900,6106,10125,4000
Robbie Brand,1,0,0.0,35.0,35,35,27.0,27,27,0.0,0,0,82.0,,8080,8080,8080,8080
Robby Benton,22,0,0.0,19.77,8,30,18.5,4,32,0.0,0,0,23.68,,240045,10911,23200,7140
Robert Allen,2,0,0.0,33.5,31,36,31.5,29,34,0.0,0,0,30.5,,10630,5315,5440,5190
Robert Cowen,4,0,0.0,34.5,33,36,31.75,28,36,0.0,0,0,67.75,,31380,7845,9035,7360
Robert Johnson,2,0,0.0,20.5,19,22,17.5,15,20,0.0,0,0,26.5,,17980,8990,9185,8795
Robert Long,19,0,0.0,17.05,5,28,20.74,3,35,0.0,0,0,98.84,,151295,7963,17725,4915
"Robert Richardson, Sr.",21,0,0.0,33.05,27,36,29.33,16,36,0.0,0,0,75.0,,183229,8725,16485,6240
Robert Torriere,2,0,0.0,19.0,6,32,18.5,5,32,2.0,4,4,20.0,,17300,17300,17300,17300
Rod Sieg,251,0,0.0,26.35,7,36,26.57,6,36,0.09,22,8,34.11,,2362918,9414,15885,5960
Rodney Sawyers,12,0,0.0,24.67,12,35,20.83,15,33,0.0,0,0,100.5,,98955,8246,11215,5290
Rodney Smith,39,0,0.0,28.56,15,36,23.92,4,36,0.03,1,1,91.59,,362290,9289,25800,5240
Roger Penske,10,0,0.0,14.9,7,25,16.7,4,33,0.0,0,0,114.4,,44875,4488,6750,3150
"Ron Barfield, Jr.",1,0,0.0,20.0,20,20,17.0,17,17,0.0,0,0,112.0,,13192,13192,13192,13192
Ron Crosby,24,0,0.0,26.71,18,36,24.42,8,33,0.0,0,0,55.46,,228660,9528,12900,6540
"Ron Hornaday, Jr.",13,0,0.0,26.92,12,38,21.62,11,30,0.0,0,0,98.15,,103275,7944,12550,4800
Ron Jones,13,0,0.0,27.92,23,36,26.85,17,36,0.0,0,0,82.46,,106370,8182,11190,5715
Ron Keselowski,102,2,0.01961,18.23,3,36,18.16,1,36,1.53,156,82,109.69,,705193,6914,34175,1800
Ron Norick,168,0,0.0,20.1,3,40,19.4,3,36,0.11,18,5,105.4,,1430652,8516,27650,3555
Ron Rhodes,8,0,0.0,31.0,25,35,25.5,20,32,0.0,0,0,86.5,,67295,8412,11490,6915
Ronnie Newman,3,0,0.0,32.33,29,36,29.33,27,32,0.0,0,0,75.0,,17830,5943,6665,4940
Roper Racing,66,0,0.0,25.21,3,37,23.95,3,40,0.02,1,1,12.36,0.0,0,,,
Rudy Proctor,1,0,0.0,10.0,10,10,20.0,20,20,0.0,0,0,103.0,,4575,4575,4575,4575
Russell Kersh,27,0,0.0,20.74,6,35,19.78,8,35,0.07,2,2,104.0,,249675,9247,14620,6195
Sam Beatty,1,0,0.0,24.0,24,24,36.0,36,36,0.0,0,0,55.0,,4600,4600,4600,4600
Sam Rensi,3,0,0.0,21.0,17,28,28.0,21,35,0.0,0,0,79.0,,25770,8590,11165,6340
Sammy Potashnick,3,0,0.0,28.67,28,29,25.33,19,31,0.0,0,0,87.0,,24325,8108,12200,5450
Samuel Pearce,2,0,0.0,28.5,26,31,25.5,23,28,0.0,0,0,18.5,,17225,8613,9850,7375
Scoop Vessels,24,0,0.0,14.5,2,32,19.42,2,36,0.42,10,7,105.5,,78150,3256,15100,1500
Scott Glynn,18,0,0.0,20.44,3,36,18.89,4,35,0.0,0,0,103.83,,164900,9161,15400,6190
Scott Osteen,3,0,0.0,28.67,24,36,26.67,24,29,0.0,0,0,10.33,0.0,0,,,
Scott Upshaw,8,0,0.0,29.63,20,34,26.75,22,33,0.0,0,0,74.75,,62310,7789,10950,5540
Scott Williams,1,0,0.0,25.0,25,25,27.0,27,27,0.0,0,0,82.0,,6965,6965,6965,6965
Shane Lamb,9,0,0.0,21.78,17,30,21.0,14,29,0.0,0,0,16.0,0.0,0,,,
Shigeaki Hattori,209,14,0.06699,12.73,1,35,13.57,1,35,5.06,1058,76,28.11,0.44,20670,10335,12035,8635
Spencer Davis,26,0,0.0,29.15,19,39,22.0,11,40,0.0,0,0,14.73,0.0,0,,,
Spire Motorsports,59,5,0.08475,13.22,1,33,15.66,1,35,9.92,585,138,14.93,0.08,0,,,
Stacy Compton,79,0,0.0,19.37,1,36,18.39,2,36,0.87,69,30,26.01,,879591,11134,32350,6702
Stacy Holmes,55,0,0.0,25.8,6,40,21.42,3,37,0.65,36,13,14.78,0.0,0,,,
Stanley Rowland,5,0,0.0,30.8,27,36,27.6,22,36,0.0,0,0,80.2,,41170,8234,9740,6590
Stanton Barrett,1,0,0.0,21.0,21,21,29.0,29,29,0.0,0,0,0.0,,14106,14106,14106,14106
Steve Chick,13,0,0.0,30.77,24,36,22.77,15,35,0.0,0,0,86.54,,130520,10040,14340,7240
Steve Coulter,115,8,0.06957,10.43,1,34,12.29,1,37,8.93,1027,139,132.62,,1812020,15757,75800,3450
Steve Lucore,8,0,0.0,29.5,20,38,27.0,23,34,0.0,0,0,82.0,,48725,6091,9500,4750
Steve McEachern,5,0,0.0,25.0,22,30,21.2,15,28,0.0,0,0,99.4,,11100,2220,3425,1200
Steve McGowan,6,0,0.0,18.5,5,27,15.67,7,29,0.67,4,3,29.17,,54900,9150,11675,7325
Steve Portenga,23,0,0.0,23.7,13,35,21.17,8,34,0.0,0,0,99.65,,226930,9867,16525,6290
Steve Prescott,23,0,0.0,21.35,7,32,17.3,6,28,0.0,0,0,111.52,,215295,9361,16450,5490
Steve Stallings,18,0,0.0,17.28,7,36,20.72,6,35,0.0,0,0,96.06,,201305,11184,20855,6380
Steve Turner,342,11,0.03216,10.78,1,35,12.62,1,36,7.25,2480,187,43.85,,4876579,14259,57095,5916
Steve Urvan,49,0,0.0,16.98,1,33,17.53,4,36,0.57,28,12,112.24,,561104,11451,28800,6050
Steven Lane,104,0,0.0,24.47,4,36,21.75,2,38,0.0,0,0,13.3,0.0,0,,,
Steven Sellers,8,0,0.0,23.38,9,31,23.75,13,33,0.0,0,0,91.75,,37950,4744,10200,1700
Susan Combs,6,0,0.0,16.17,4,32,21.83,13,31,0.0,0,0,97.5,,22400,3733,8450,1450
T.J. Clark,30,0,0.0,25.67,13,38,24.33,12,40,0.0,0,0,90.0,,111836,3728,11550,1200
Tad Geschickter,56,0,0.0,17.41,1,35,20.75,2,36,1.46,82,49,102.45,,676738,12085,40875,6550
Tam Topham,1,0,0.0,29.0,29,29,36.0,36,36,0.0,0,0,55.0,,5330,5330,5330,5330
Tammy Jo Kirk,13,0,0.0,26.23,20,34,23.77,13,36,0.0,0,0,91.69,,97050,7465,12075,5045
Tammy Provence,4,0,0.0,29.25,28,31,24.25,20,29,0.0,0,0,65.25,,35771,8943,12790,6845
Ted Phillips,2,0,0.0,30.5,25,36,31.0,29,33,0.0,0,0,70.0,,9900,4950,5375,4525
Terry Carroll,6,0,0.0,32.17,29,34,30.83,23,36,0.0,0,0,6.17,0.0,0,,,
Tex Powell,2,0,0.0,23.0,11,35,32.0,32,32,0.0,0,0,67.0,,20205,10103,11865,8340
Thee Dixon,14,0,0.0,23.93,9,33,25.57,19,31,0.0,0,0,80.21,,62420,4459,9815,1450
Theresa Williams,1,0,0.0,32.0,32,32,34.0,34,34,0.0,0,0,10.0,,7715,7715,7715,7715
Thomas Stump,1,0,0.0,38.0,38,38,15.0,15,15,0.0,0,0,118.0,,5750,5750,5750,5750
Tibbetts Lumber,1,0,0.0,31.0,31,31,5.0,5,5,0.0,0,0,32.0,0.0,0,,,
"Tim Bainey, Sr.",4,0,0.0,29.5,21,36,24.25,15,31,0.25,1,1,91.5,,38975,9744,13680,8305
Tim Beverley,3,0,0.0,4.67,3,7,18.67,16,23,0.0,0,0,107.0,,25425,8475,10300,5875
Tim Buckley,13,0,0.0,25.69,12,36,25.15,15,34,0.0,0,0,87.54,,77850,5988,12165,4225
Tim Nooner,2,0,0.0,21.5,15,28,21.0,14,28,0.0,0,0,100.0,,4100,2050,2700,1400
Tim Self,123,0,0.0,20.97,7,36,19.55,2,38,0.01,1,1,16.72,0.0,0,,,
Tim Woods,3,0,0.0,27.33,24,29,28.33,25,31,0.0,0,0,54.67,,17295,5765,6865,4790
Timmy Hill,118,0,0.0,26.85,11,38,21.06,2,35,0.07,8,2,14.69,0.0,0,,,
Todd Braun,7,0,0.0,16.43,3,22,21.57,7,32,0.0,0,0,14.57,,35470,11823,13982,8290
Todd Shafer,1,0,0.0,36.0,36,36,36.0,36,36,0.0,0,0,0.0,,7308,7308,7308,7308
Tohatsu America,1,0,0.0,28.0,28,28,27.0,27,27,0.0,0,0,10.0,0.0,0,,,
Tom DeLoach,532,16,0.03008,12.81,1,32,13.6,1,35,4.22,2244,204,65.23,0.0,7168727,15060,85425,5615
Tom Eldredge,35,0,0.0,25.11,2,35,22.46,3,36,2.69,94,74,97.23,,371112,10603,46115,5365
Tom Gloy,60,0,0.0,18.8,1,37,18.43,2,38,1.55,93,34,108.85,,477685,7961,20305,4625
Tom Mazzuchi,78,0,0.0,30.74,13,36,30.99,17,36,0.0,0,0,70.04,,569660,7303,11590,4205
Tom Mitchell,404,5,0.01238,13.75,1,35,13.5,1,38,4.2,1696,127,126.1,,5493009,13597,84585,4800
Tom Pistone,1,0,0.0,19.0,19,19,26.0,26,26,0.0,0,0,85.0,,5390,5390,5390,5390
Tom Powers,26,0,0.0,32.77,27,36,26.23,16,35,0.0,0,0,84.31,,230265,8856,13265,5240
Tommy Archer,3,0,0.0,26.67,21,31,18.33,10,27,0.0,0,0,108.33,,7000,2333,3100,1700
Tony Townley,59,1,0.01695,13.27,1,26,17.08,1,35,0.75,44,23,21.56,,560576,15572,45845,6525
Tracy Cline,1,0,0.0,32.0,32,32,29.0,29,29,0.0,0,0,76.0,,6165,6165,6165,6165
Tracy Lowe,25,0,0.0,25.0,18,32,22.2,13,32,0.0,0,0,13.72,0.0,0,,,
Tracy Trotter,3,0,0.0,28.67,21,36,22.67,20,26,0.0,0,0,95.0,,23825,7942,8100,7750
Tracy Wallace,9,0,0.0,24.11,13,33,25.11,11,34,0.0,0,0,15.89,0.0,43132,8626,14252,6305
Trevor Boys,5,0,0.0,33.0,25,36,31.4,26,36,0.0,0,0,17.0,,45190,9038,12345,6255
Trey Hutchens,11,0,0.0,32.91,24,40,30.55,16,36,0.0,0,0,7.18,0.0,0,,,
Troy Baird,1,0,0.0,26.0,26,26,14.0,14,14,0.0,0,0,121.0,,8190,8190,8190,8190
True Dee Paques,1,0,0.0,18.0,18,18,15.0,15,15,0.0,0,0,118.0,,4625,4625,4625,4625
Valerie Yurek,1,0,0.0,28.0,28,28,27.0,27,27,0.0,0,0,82.0,,7600,7600,7600,7600
Walker Evans,98,0,0.0,21.97,4,37,20.24,2,37,0.0,0,0,103.07,,601488,6138,37000,1200
Walter Lane,2,0,0.0,29.0,29,29,23.5,22,25,0.0,0,0,92.5,,4100,2050,2200,1900
Wayne Dokken,26,0,0.0,20.54,2,33,22.0,7,35,0.0,0,0,97.27,,123090,4734,10600,1400
Wayne Jacks,8,0,0.0,22.63,8,36,23.0,14,34,0.0,0,0,94.0,,19545,2792,4895,1425
Wayne Spears,317,4,0.01262,14.98,1,36,16.01,1,36,1.4,443,59,117.31,,3315715,10460,54210,1900
Wilbur Bunce,9,0,0.0,24.78,15,38,24.33,13,34,0.0,0,0,90.0,,54290,6032,12950,1950
William Bishop,5,0,0.0,30.0,28,32,21.2,9,33,0.0,0,0,99.8,,67380,13476,15285,10950
William Grubb,7,0,0.0,23.43,13,32,26.43,18,36,0.0,0,0,83.71,,34000,4857,6100,3750
William Lee,6,0,0.0,32.17,29,36,22.5,17,30,0.0,0,0,95.5,,56190,9365,11890,5615
William Martel,7,0,0.0,29.71,25,33,22.71,19,27,0.0,0,0,16.43,,56503,9417,14393,7025
William Richardson,1,0,0.0,28.0,28,28,27.0,27,27,0.0,0,0,82.0,,8320,8320,8320,8320
William Rose,2,0,0.0,28.0,27,29,18.0,17,19,0.0,0,0,109.0,,10500,5250,5275,5225
Wilson Bagwell,3,0,0.0,32.0,31,33,30.67,30,31,0.0,0,0,71.0,,18065,6022,6575,4940
Wood Brothers,77,0,0.0,17.23,1,35,19.81,3,36,1.99,153,49,104.96,,902023,11715,25325,6058
