owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
J.L. Pennington,23,0,0.0,31.74,24,36,27.74,19,35,0.0,0,0,79.78,,215210,9357,13350,6600
JR Motorsports,38,2,0.05263,9.05,1,24,11.82,1,29,12.34,469,111,21.24,,310182,20679,48454,10964
Jack Green,4,0,0.0,25.5,16,36,30.75,20,35,0.0,0,0,56.25,,33075,8269,10450,7350
Jack Roush,712,50,0.07022,11.25,1,35,12.75,1,36,8.55,6086,192,129.86,,11121687,15620,88850,3050
Jake Crum,9,0,0.0,23.89,16,28,26.67,13,33,0.0,0,0,17.33,,72950,8106,10650,7150
James Bailey,3,0,0.0,23.67,16,29,27.67,26,31,0.0,0,0,80.0,,19320,6440,7140,5340
James Blankenbaker,1,0,0.0,28.0,28,28,32.0,32,32,0.0,0,0,67.0,,8900,8900,8900,8900
James Buford,3,0,0.0,17.67,5,31,24.33,18,32,0.0,0,0,90.0,,15320,5107,5325,4970
James Burr,5,0,0.0,29.6,25,36,24.2,15,34,0.0,0,0,78.2,,41275,8255,11365,5440
James Finch,1,0,0.0,6.0,6,6,28.0,28,28,0.0,0,0,79.0,,5575,5575,5575,5575
James Harris,205,0,0.0,18.66,1,36,17.56,2,36,0.9,185,108,111.34,,2411472,11763,39440,5465
James Liguori,37,0,0.0,27.3,19,36,26.46,13,36,0.0,0,0,74.76,,315160,8518,15865,5100
James Lynch,7,0,0.0,26.86,13,35,26.0,16,33,0.0,0,0,85.0,,65215,9316,15010,6725
James Murphy,16,0,0.0,31.31,24,36,27.0,19,35,0.0,0,0,82.0,,140240,8765,15065,5265
Jason Little,27,0,0.0,16.52,5,32,17.15,6,32,0.07,2,2,23.37,0.0,59698,14925,16710,13932
Jason Small,3,0,0.0,23.33,21,27,18.0,10,23,0.0,0,0,109.33,,29330,9777,14400,7165
Jason White,22,0,0.0,16.55,2,28,15.41,2,33,3.0,66,29,28.86,,281085,12777,32315,7325
Jay Miller,1,0,0.0,33.0,33,33,29.0,29,29,0.0,0,0,76.0,,6225,6225,6225,6225
Jay Robinson,120,0,0.0,24.92,2,32,21.27,5,31,0.08,9,2,13.61,0.0,333707,15169,19137,11674
Jay Stewart,2,0,0.0,36.0,35,37,32.0,29,35,0.0,0,0,67.0,,12165,6083,8325,3840
Jeff Bolen,31,0,0.0,21.77,5,31,18.52,7,32,0.13,4,3,10.03,0.0,0,,,
Jeff Finley,8,0,0.0,20.5,12,30,22.63,6,30,0.0,0,0,11.63,0.0,0,,,
Jeff Milburn,5,0,0.0,34.0,31,36,31.6,27,36,0.0,0,0,57.2,,33325,8331,10525,7335
Jeff Russell,3,0,0.0,26.0,25,28,26.0,22,32,0.0,0,0,85.0,,24810,8270,9250,6590
Jeff Sinden,3,0,0.0,24.67,18,29,26.67,19,31,0.0,0,0,83.0,,5250,1750,2050,1550
Jeff Spraker,3,0,0.0,28.67,24,35,27.33,26,28,0.0,0,0,81.0,,20835,6945,9315,5375
Jeff Wyler,142,3,0.02113,13.52,1,32,14.97,1,36,3.51,499,133,120.55,,2048109,14423,93375,5840
Jennifer Jo Cobb,324,0,0.0,29.64,11,40,27.17,6,38,0.07,23,16,17.38,0.0,1602225,9830,19400,6275
Jerry Brown,23,0,0.0,22.78,9,32,22.74,4,32,0.0,0,0,14.39,0.0,84124,10516,16339,7275
Jerry Churchill,10,0,0.0,24.1,14,29,18.2,10,26,0.0,0,0,108.5,,27150,2715,3475,1625
