Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts
2016,1,Daytona,Daytona International Speedway,2.5,paved track,32.0,28.0,44.0,Tommy Joe Martins,Diamond Gusset Jeans (Craig Martins),Chevrolet,11.0,crash,0.0,1.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,1.0,18.0,8.0,John H. Nemechek,NEMCO Motorsports (Joe Nemechek),Chevrolet,130.0,running,8.0,36.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,2.0,5.0,13.0,Cameron Hayley,Cabinets by Hayley (Duke Thorson),Toyota,130.0,running,4.0,32.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,3.0,12.0,17.0,Timothy Peters,Red Horse Racing (Tom DeLoach),Toyota,130.0,running,0.0,30.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,4.0,9.0,19.0,Daniel Hemric,California Clean Power (Brad Keselowski),Ford,130.0,running,0.0,29.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,5.0,4.0,33.0,Grant Enfinger,Alamo Rent-A-Car (Maury Gallagher),Chevrolet,130.0,running,0.0,28.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,6.0,7.0,41.0,Ben Rhodes,Alpha Energy Solutions 250 (Duke Thorson),Toyota,130.0,running,0.0,27.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,7.0,2.0,5.0,John Wes Townley,ESP Fan Club / Varigon (Tony Townley),Chevrolet,130.0,running,0.0,26.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,8.0,17.0,92.0,Parker Kligerman,BTS Tire & Wheel Distributors (Ricky Benton),Ford,130.0,running,0.0,25.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,9.0,25.0,75.0,Caleb Holman,Food Country USA / Lays (Charlie Henderson),Toyota,130.0,running,0.0,24.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,10.0,11.0,23.0,Spencer Gallagher,Alamo Rent-A-Car (Maury Gallagher),Chevrolet,130.0,running,0.0,23.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,11.0,27.0,98.0,Rico Abreu,Safelite Auto Glass / Lee Brice (Mike Curb),Toyota,130.0,running,0.0,22.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,12.0,23.0,20.0,Austin Hill,Arco Design & Build (Bryan Hill),Ford,130.0,running,0.0,21.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,13.0,22.0,2.0,Tyler Young,Randco / Young's Building Systems (Randy Young),Chevrolet,130.0,running,0.0,20.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,14.0,21.0,29.0,Tyler Reddick,Cooper Standard (Brad Keselowski),Ford,130.0,running,0.0,19.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,15.0,10.0,11.0,Ben Kennedy,Jacob Companies (Tom DeLoach),Toyota,130.0,running,0.0,18.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,16.0,20.0,22.0,Austin Wayne Self,AM Technical Solutions (Tim Self),Toyota,130.0,running,0.0,17.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,17.0,6.0,0.0,Cole Custer,Haas Automation (JR Motorsports),Chevrolet,130.0,running,0.0,16.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,18.0,19.0,63.0,Garrett Smithley,Instalco (Mike Mittler),Chevrolet,129.0,running,0.0,0.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,19.0,24.0,86.0,Brandon Brown,NCaseIt Sports Displays (Jerry Brown),Chevrolet,128.0,running,0.0,14.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,20.0,8.0,81.0,Ryan Truex,AISIN AW (Shigeaki Hattori),Toyota,127.0,running,0.0,13.0
