Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2014,1,Daytona,1.0,7.0,51.0,Kyle Busch,ToyotaCare (Kyle Busch),Toyota,100.0,70870.0,running,25.0,0.0
2014,1,Daytona,2.0,18.0,17.0,Timothy Peters,Valvoline Max Life (Tom DeLoach),Toyota,100.0,52260.0,running,20.0,43.0
2014,1,Daytona,3.0,9.0,98.0,Johnny Sauter,Nextant Aerospace / Curb Records (Mike Curb),Toyota,100.0,37226.0,running,0.0,41.0
2014,1,Daytona,4.0,14.0,32.0,Ryan Truex,Bass Pro Shops / Tracker Boats (Steve Turner),Chevrolet,100.0,27700.0,running,0.0,0.0
2014,1,Daytona,5.0,2.0,30.0,"Ron Hornaday, Jr.",Rheem (Steve Turner),Chevrolet,100.0,23050.0,running,0.0,39.0
2014,1,Daytona,6.0,3.0,29.0,Ryan Blaney,Cooper Standard / CareersForVeterans.org (Brad Keselowski),Ford,100.0,18925.0,running,0.0,38.0
2014,1,Daytona,7.0,11.0,13.0,Jeb Burton,VAMP E-Cigs / Vapor Brands (Duke Thorson),Toyota,100.0,17625.0,running,0.0,37.0
2014,1,Daytona,8.0,13.0,8.0,Joe Nemechek,Wood Pellet Grills (Joe Nemechek),Toyota,100.0,14375.0,running,0.0,36.0
2014,1,Daytona,9.0,30.0,8.0,Jimmy Weller III,Geneva-Liberty Steel / Engine Parts Plus (Bobby Dotter),Chevrolet,100.0,15625.0,running,0.0,35.0
2014,1,Daytona,10.0,23.0,77.0,German Quiroga,OtterBox (Tom DeLoach),Toyota,100.0,15900.0,running,0.0,34.0
2014,1,Daytona,11.0,12.0,39.0,Ryan Sieg,Star Fleet Trucking (Rod Sieg),Chevrolet,100.0,14525.0,running,0.0,33.0
2014,1,Daytona,12.0,10.0,19.0,Tyler Reddick,Reese Towpower / Draw-Tite (Brad Keselowski),Ford,100.0,15350.0,running,0.0,32.0
2014,1,Daytona,13.0,4.0,88.0,Matt Crafton,Fisher Nuts / Menards (Duke Thorson),Toyota,100.0,15250.0,running,0.0,31.0
2014,1,Daytona,14.0,6.0,5.0,John Wes Townley,Zaxby's (Richie Wauters),Toyota,100.0,11875.0,running,0.0,30.0
2014,1,Daytona,15.0,1.0,31.0,Ben Kennedy,Florida Lottery / Whelen (Steve Turner),Chevrolet,100.0,14650.0,running,52.0,31.0
2014,1,Daytona,16.0,32.0,63.0,Justin Jennings,Mittler Bros. Machine & Tool (Mike Mittler),Chevrolet,100.0,11775.0,running,0.0,28.0
2014,1,Daytona,17.0,25.0,99.0,Bryan Silas,ICI Homes / Bell Trucks America (Chris Baluch),Chevrolet,100.0,13720.0,running,0.0,27.0
2014,1,Daytona,18.0,34.0,28.0,Ryan Ellis,Endo Optiks / FDNY Racing (Jim Rosenblum),Chevrolet,100.0,11350.0,running,0.0,26.0
2014,1,Daytona,19.0,27.0,84.0,Chris Fontaine,Glenden Enterprises / JPL Auto (Chris Fontaine),Toyota,100.0,11250.0,running,0.0,25.0
2014,1,Daytona,20.0,36.0,57.0,Norm Benning,Boedecker Construction / Watt's Truck Centers (Norm Benning),Chevrolet,100.0,14025.0,running,0.0,24.0
2014,1,Daytona,21.0,35.0,10.0,Jennifer Jo Cobb,Arlington Anniversary / Grimes Construction (Jennifer Jo Cobb),Chevrolet,98.0,11050.0,running,0.0,23.0
2014,1,Daytona,22.0,28.0,50.0,Travis Kvapil,Intl. Lineman's Museum / Fallen Lineman Org. (Mark Beaver),Chevrolet,95.0,10950.0,running,3.0,23.0
2014,1,Daytona,23.0,19.0,20.0,John King,GunBroker.com (Bob Newberry),Chevrolet,87.0,13075.0,running,0.0,21.0
2014,1,Daytona,24.0,33.0,7.0,Michel Disdier,Lafayette Racing (Bobby Dotter),Chevrolet,83.0,12950.0,running,0.0,20.0
2014,1,Daytona,25.0,26.0,24.0,Brennan Newberry,GunBroker.com (Bob Newberry),Chevrolet,81.0,13000.0,running,0.0,19.0
2014,1,Daytona,26.0,16.0,54.0,Bubba Wallace,ToyotaCare (Kyle Busch),Toyota,76.0,12750.0,crash,0.0,18.0
2014,1,Daytona,27.0,29.0,75.0,Caleb Holman,Food Country USA 100th Anniversary (Charlie Henderson),Chevrolet,74.0,10350.0,crash,0.0,17.0
2014,1,Daytona,28.0,22.0,35.0,Mason Mingus,MadVapes / 811 - Call Before You Dig (Kevin Cywinski),Toyota,73.0,11250.0,crash,0.0,16.0
2014,1,Daytona,29.0,15.0,58.0,Parker Kligerman,Bandit Chippers / North American Power (George Bragg),Toyota,73.0,10150.0,crash,0.0,0.0
2014,1,Daytona,30.0,8.0,92.0,Ross Chastain,BTS Tire & Wheel / Watermelon.org (Ricky Benton),Ford,73.0,10550.0,crash,0.0,14.0
2014,1,Daytona,31.0,20.0,82.0,Sean Corr,Radon.com / Nesco (John Corr),Ford,73.0,10000.0,crash,0.0,13.0
2014,1,Daytona,32.0,5.0,21.0,Joey Coulter,Allegiant Travel (Maury Gallagher),Chevrolet,73.0,10950.0,crash,0.0,12.0
2014,1,Daytona,33.0,21.0,7.0,Brian Ickler,Bullet Liner (Tom DeLoach),Toyota,73.0,9900.0,crash,0.0,11.0
2014,1,Daytona,34.0,17.0,2.0,Tyler Young,Arthur-Krenzel-Lett Insurance Group (Randy Young),Chevrolet,73.0,9845.0,crash,0.0,10.0
2014,1,Daytona,35.0,24.0,74.0,Chris Cockrum,Advanced Communications Group / Accu-Tech (Rick Ware),Chevrolet,73.0,9790.0,crash,0.0,9.0
