Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2023,1,Daytona,30.0,29.0,43.0,Daniel Dye,Giuseppe's Steel City Pizza (Maury Gallagher),Chevrolet,57.0,crash,0.0,7.0,0.0
2023,1,Daytona,31.0,22.0,32.0,Bret Holmes,Pate Holdings (Stacy Holmes),Chevrolet,49.0,brakes,0.0,6.0,0.0
2023,1,Daytona,32.0,24.0,75.0,Parker Kligerman,Purina/Food Country USA (Charlie Henderson),Chevrolet,45.0,dvp,0.0,0.0,0.0
2023,1,Daytona,33.0,28.0,97.0,Codie Rohrbaugh,Grant County Mulch (Larry Berg),Chevrolet,39.0,crash,0.0,4.0,0.0
2023,1,Daytona,34.0,31.0,84.0,Clay Greenfield,Backyard Blues Pools (Bruce Cook),Toyota,28.0,crash,0.0,3.0,0.0
2023,1,Daytona,35.0,12.0,13.0,Hailie Deegan,Ford Performance (Duke Thorson),Ford,28.0,crash,0.0,9.0,0.0
2023,1,Daytona,36.0,18.0,5.0,Dean Thompson,Thompson Pipe Group (David Gilliland),Toyota,28.0,crash,0.0,1.0,0.0
2023,2,Las Vegas,1.0,1.0,51.0,Kyle Busch,Zariz Transport (Kyle Busch),Chevrolet,134.0,running,84.0,0.0,0.0
2023,2,Las Vegas,2.0,7.0,38.0,Zane Smith,Speedco (Bob Jenkins),Ford,134.0,running,8.0,45.0,1.0
2023,2,Las Vegas,3.0,9.0,99.0,Ben Rhodes,Kubota (Duke Thorson),Ford,134.0,running,2.0,47.0,0.0
2023,2,Las Vegas,4.0,15.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,134.0,running,0.0,33.0,0.0
2023,2,Las Vegas,5.0,4.0,98.0,Ty Majeski,Curb Records (Mike Curb),Ford,134.0,running,0.0,42.0,0.0
2023,2,Las Vegas,6.0,12.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,134.0,running,0.0,31.0,0.0
2023,2,Las Vegas,7.0,8.0,42.0,Carson Hocevar,Worldwide Express (Al Niece),Chevrolet,134.0,running,19.0,43.0,1.0
2023,2,Las Vegas,8.0,3.0,4.0,Chase Purdy,Bama Buggies (Kyle Busch),Chevrolet,134.0,running,0.0,36.0,0.0
2023,2,Las Vegas,9.0,17.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,134.0,running,3.0,41.0,0.0
2023,2,Las Vegas,10.0,14.0,35.0,Jake Garcia,Quanta (Bill McAnally),Chevrolet,134.0,running,0.0,27.0,0.0
2023,2,Las Vegas,11.0,11.0,88.0,Matt Crafton,Slim Jim/Menards (Duke Thorson),Ford,134.0,running,0.0,36.0,0.0
2023,2,Las Vegas,12.0,19.0,25.0,Matt DiBenedetto,Rackley Roofing (Rackley W.A.R.),Chevrolet,133.0,running,0.0,41.0,0.0
2023,2,Las Vegas,13.0,16.0,15.0,Tanner Gray,Dead On Tools (David Gilliland),Toyota,133.0,running,0.0,27.0,0.0
2023,2,Las Vegas,14.0,22.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,133.0,running,0.0,23.0,0.0
2023,2,Las Vegas,15.0,18.0,16.0,Tyler Ankrum,LiUNA! (Shigeaki Hattori),Toyota,133.0,running,0.0,22.0,0.0
2023,2,Las Vegas,16.0,25.0,5.0,Dean Thompson,Thompson Pipe Group (David Gilliland),Toyota,133.0,running,0.0,21.0,0.0
2023,2,Las Vegas,17.0,10.0,1.0,Kaz Grala,Ruedebusch Dev. & Construction (David Gilliland),Toyota,133.0,running,5.0,0.0,0.0
2023,2,Las Vegas,18.0,27.0,9.0,Colby Howard,Grant County Mulch (Codie Rohrbaugh),Chevrolet,133.0,running,0.0,19.0,0.0
2023,2,Las Vegas,19.0,20.0,43.0,Daniel Dye,Halifax Health (Maury Gallagher),Chevrolet,132.0,running,5.0,18.0,0.0
2023,2,Las Vegas,20.0,21.0,45.0,Lawless Alan,AUTOParkIt (Al Niece),Chevrolet,132.0,running,0.0,17.0,0.0
2023,2,Las Vegas,21.0,30.0,22.0,Max Gutierrez,BOLSA DX (Kevin Cywinski),Ford,131.0,running,0.0,16.0,0.0
2023,2,Las Vegas,22.0,26.0,56.0,Timmy Hill,UNITS Storage (Timmy Hill),Toyota,131.0,running,0.0,15.0,0.0
2023,2,Las Vegas,23.0,31.0,12.0,Spencer Boyd,Nor-Cal Equipment Rentals (Randy Young),Chevrolet,130.0,running,0.0,14.0,0.0
2023,2,Las Vegas,24.0,23.0,41.0,Ross Chastain,Worldwide Express (Al Niece),Chevrolet,130.0,running,0.0,0.0,0.0
2023,2,Las Vegas,25.0,29.0,4.0,Kaden Honeycutt,Carquest (Roper Racing),Ford,130.0,running,0.0,12.0,0.0
2023,2,Las Vegas,26.0,35.0,20.0,Matt Mills,J.F. Electric (Randy Young),Chevrolet,129.0,running,0.0,11.0,0.0
2023,2,Las Vegas,27.0,32.0,33.0,Mason Massey,TBD (Josh Reaume),Ford,129.0,running,0.0,10.0,0.0
2023,2,Las Vegas,28.0,28.0,2.0,Kris Wright,F.N.B. Corporation (Randy Young),Chevrolet,126.0,running,0.0,9.0,0.0
2023,2,Las Vegas,29.0,24.0,24.0,Rajah Caruth,Wendell Scott Foundation (Maury Gallagher),Chevrolet,122.0,running,0.0,18.0,0.0
2023,2,Las Vegas,30.0,2.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,103.0,crash,8.0,7.0,0.0
2023,2,Las Vegas,31.0,13.0,17.0,John H. Nemechek,Berry's Manufacturing (David Gilliland),Toyota,98.0,vibration,0.0,0.0,0.0
2023,2,Las Vegas,32.0,5.0,13.0,Hailie Deegan,Pennzoil (Duke Thorson),Ford,59.0,crash,0.0,5.0,0.0
2023,2,Las Vegas,33.0,34.0,46.0,Brennan Poole,South Point (G2G Racing),Toyota,20.0,rear gear,0.0,0.0,0.0
2023,2,Las Vegas,34.0,6.0,32.0,Bret Holmes,Pate Holdings (Stacy Holmes),Chevrolet,16.0,crash,0.0,3.0,0.0
2023,2,Las Vegas,35.0,33.0,34.0,Josh Reaume,Reaume Brothers Racing (Josh Reaume),Ford,4.0,transmission,0.0,2.0,0.0
2023,3,Atlanta,1.0,4.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,137.0,running,35.0,50.0,6.0
2023,3,Atlanta,2.0,20.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,137.0,running,11.0,36.0,0.0
2023,3,Atlanta,3.0,24.0,17.0,John H. Nemechek,Berry's Manufacturing (David Gilliland),Toyota,137.0,running,53.0,0.0,0.0
2023,3,Atlanta,4.0,30.0,41.0,Bayley Currey,Unishippers (Al Niece),Chevrolet,137.0,running,0.0,0.0,0.0
2023,3,Atlanta,5.0,3.0,99.0,Ben Rhodes,Farm Paint (Duke Thorson),Ford,137.0,running,3.0,42.0,0.0
2023,3,Atlanta,6.0,10.0,25.0,Matt DiBenedetto,Rackley Roofing (Rackley W.A.R.),Chevrolet,137.0,running,0.0,37.0,0.0
2023,3,Atlanta,7.0,9.0,4.0,Chase Purdy,Bama Buggies (Kyle Busch),Chevrolet,137.0,running,0.0,32.0,0.0
2023,3,Atlanta,8.0,18.0,56.0,Timmy Hill,UNITS Storage (Timmy Hill),Toyota,137.0,running,2.0,29.0,0.0
2023,3,Atlanta,9.0,8.0,88.0,Matt Crafton,Great Lakes Flooring/Menards (Duke Thorson),Ford,137.0,running,29.0,45.0,1.0
2023,3,Atlanta,10.0,17.0,51.0,Jack Wood,Logitech (Kyle Busch),Chevrolet,137.0,running,2.0,27.0,0.0
2023,3,Atlanta,11.0,2.0,98.0,Ty Majeski,Curb Records (Mike Curb),Ford,137.0,running,0.0,40.0,0.0
2023,3,Atlanta,12.0,32.0,13.0,Hailie Deegan,AdventHealth (Duke Thorson),Ford,137.0,running,0.0,25.0,0.0
2023,3,Atlanta,13.0,33.0,32.0,Bret Holmes,Pate Holdings (Stacy Holmes),Chevrolet,137.0,running,0.0,24.0,0.0
2023,3,Atlanta,14.0,35.0,30.0,Ryan Vargas,Leargas Security (Steven Lane),Toyota,137.0,running,0.0,23.0,0.0
2023,3,Atlanta,15.0,25.0,2.0,Kris Wright,F.N.B. Corporation (Randy Young),Chevrolet,137.0,running,1.0,22.0,0.0
2023,3,Atlanta,16.0,19.0,43.0,Daniel Dye,Heise LED Lighting Systems (Maury Gallagher),Chevrolet,137.0,running,0.0,21.0,0.0
2023,3,Atlanta,17.0,34.0,46.0,Akinori Ogata,Kyowa-Eidemiller Precision (G2G Racing),Toyota,137.0,running,0.0,20.0,0.0
2023,3,Atlanta,18.0,12.0,35.0,Jake Garcia,Quanta (Bill McAnally),Chevrolet,137.0,running,0.0,20.0,0.0
2023,3,Atlanta,19.0,7.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,137.0,running,0.0,29.0,0.0
2023,3,Atlanta,20.0,1.0,38.0,Zane Smith,Fr8Auctions.com (Bob Jenkins),Ford,137.0,running,0.0,31.0,0.0
2023,3,Atlanta,21.0,27.0,12.0,Spencer Boyd,Off The Grid (Randy Young),Chevrolet,137.0,running,0.0,16.0,0.0
2023,3,Atlanta,22.0,14.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,137.0,running,0.0,21.0,0.0
2023,3,Atlanta,23.0,28.0,22.0,Josh Reaume,JAG Metals LLC. (Kevin Cywinski),Ford,137.0,running,0.0,14.0,0.0
2023,3,Atlanta,24.0,11.0,15.0,Tanner Gray,Dead On Tools (David Gilliland),Toyota,137.0,running,0.0,13.0,0.0
2023,3,Atlanta,25.0,22.0,24.0,Rajah Caruth,Wendell Scott Foundation (Maury Gallagher),Chevrolet,137.0,running,0.0,12.0,0.0
2023,3,Atlanta,26.0,13.0,16.0,Tyler Ankrum,LiUNA! (Shigeaki Hattori),Toyota,136.0,running,0.0,15.0,0.0
2023,3,Atlanta,27.0,15.0,9.0,Colby Howard,Grant County Mulch (Codie Rohrbaugh),Chevrolet,134.0,track bar,0.0,10.0,0.0
2023,3,Atlanta,28.0,23.0,1.0,Layne Riggs,Infinity Communications Group (David Gilliland),Toyota,134.0,running,0.0,9.0,0.0
2023,3,Atlanta,29.0,26.0,33.0,Mason Massey,Wespro JCB (Josh Reaume),Ford,134.0,running,0.0,8.0,0.0
2023,3,Atlanta,30.0,16.0,5.0,Dean Thompson,Thompson Pipe Group (David Gilliland),Toyota,131.0,running,0.0,7.0,0.0
2023,3,Atlanta,31.0,5.0,42.0,Carson Hocevar,Worldwide Express (Al Niece),Chevrolet,127.0,crash,0.0,6.0,0.0
2023,3,Atlanta,32.0,21.0,45.0,Lawless Alan,AUTOChargit (Al Niece),Chevrolet,126.0,crash,0.0,5.0,0.0
2023,3,Atlanta,33.0,29.0,4.0,Kaden Honeycutt,Carquest (Roper Racing),Ford,123.0,running,1.0,4.0,0.0
2023,3,Atlanta,34.0,6.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,83.0,crash,0.0,9.0,0.0
2023,3,Atlanta,35.0,31.0,20.0,Mason Maggio,HMY Yatchs (Randy Young),Chevrolet,52.0,crash,0.0,2.0,0.0
2023,3,Atlanta,36.0,36.0,34.0,Keith McGee,RBR (Josh Reaume),Ford,7.0,transmission,0.0,1.0,0.0
2023,4,Austin,1.0,7.0,38.0,Zane Smith,Speedco / Peak (Bob Jenkins),Ford,42.0,running,16.0,52.0,5.0
2023,4,Austin,2.0,2.0,51.0,Kyle Busch,Zariz Transport (Kyle Busch),Chevrolet,42.0,running,12.0,0.0,0.0
2023,4,Austin,3.0,3.0,98.0,Ty Majeski,Cincinnati/ Curb Records (Mike Curb),Ford,42.0,running,1.0,43.0,0.0
2023,4,Austin,4.0,12.0,16.0,Tyler Ankrum,LiUNA! (Shigeaki Hattori),Toyota,42.0,running,0.0,37.0,0.0
2023,4,Austin,5.0,1.0,41.0,Ross Chastain,Worldwide Express (Al Niece),Chevrolet,42.0,running,10.0,0.0,0.0
2023,4,Austin,6.0,11.0,11.0,Corey Heim,JBL (David Gilliland),Toyota,42.0,running,0.0,39.0,0.0
2023,4,Austin,7.0,4.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,42.0,running,0.0,31.0,0.0
2023,4,Austin,8.0,9.0,15.0,Tanner Gray,Mobil 1 (David Gilliland),Toyota,42.0,running,0.0,29.0,0.0
2023,4,Austin,9.0,10.0,1.0,Kaz Grala,Island Coastal Lager (David Gilliland),Toyota,42.0,running,0.0,0.0,0.0
2023,4,Austin,10.0,13.0,99.0,Ben Rhodes,Farm Paint (Duke Thorson),Ford,42.0,running,0.0,31.0,0.0
2023,4,Austin,11.0,19.0,17.0,Taylor Gray,Dead On Tools (David Gilliland),Toyota,42.0,running,0.0,26.0,0.0
2023,4,Austin,12.0,8.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,42.0,running,0.0,25.0,0.0
2023,4,Austin,13.0,20.0,24.0,Rajah Caruth,Wendell Scott Foundation (Maury Gallagher),Chevrolet,42.0,running,0.0,24.0,0.0
2023,4,Austin,14.0,15.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,42.0,running,0.0,30.0,0.0
2023,4,Austin,15.0,24.0,4.0,Kaden Honeycutt,Carquest (Roper Racing),Ford,42.0,running,0.0,25.0,0.0
2023,4,Austin,16.0,16.0,13.0,Hailie Deegan,Ford Performance (Duke Thorson),Ford,42.0,running,0.0,26.0,0.0
2023,4,Austin,17.0,18.0,45.0,Lawless Alan,PlainsCapital Bank/MGMachinery (Al Niece),Chevrolet,42.0,running,0.0,28.0,0.0
2023,4,Austin,18.0,36.0,43.0,Daniel Dye,Dell Childrenâ€™s Medical Center / Nyle Maxwe (Maury Gallagher),Chevrolet,42.0,running,0.0,19.0,0.0
2023,4,Austin,19.0,32.0,35.0,Jake Garcia,Quanta (Bill McAnally),Chevrolet,42.0,running,0.0,18.0,0.0
2023,4,Austin,20.0,25.0,30.0,Colin Garrett,11/11 Veteran Project / Un Broken (Steven Lane),Toyota,42.0,running,0.0,17.0,0.0
2023,4,Austin,21.0,35.0,2.0,Kris Wright,F.N.B. Corporation (Randy Young),Chevrolet,42.0,running,0.0,16.0,0.0
2023,4,Austin,22.0,14.0,22.0,Logan Bearden,Bearden Automotive (Kevin Cywinski),Ford,42.0,running,0.0,15.0,0.0
2023,4,Austin,23.0,31.0,32.0,Bret Holmes,Pate Holdings (Stacy Holmes),Chevrolet,42.0,running,0.0,14.0,0.0
2023,4,Austin,24.0,27.0,9.0,Colby Howard,Grant County Mulch (Codie Rohrbaugh),Chevrolet,42.0,running,0.0,13.0,0.0
2023,4,Austin,25.0,29.0,56.0,Timmy Hill,Will's Automotive (Timmy Hill),Toyota,42.0,running,0.0,12.0,0.0
2023,4,Austin,26.0,30.0,34.0,Mason Filippi,OpenFender (Josh Reaume),Ford,42.0,running,0.0,11.0,0.0
2023,4,Austin,27.0,21.0,4.0,Chase Purdy,Bama Buggies (Kyle Busch),Chevrolet,42.0,running,0.0,10.0,0.0
2023,4,Austin,28.0,33.0,46.0,Dale Quarterley,Van Dyk Recycling Motul (G2G Racing),Toyota,42.0,running,0.0,9.0,0.0
2023,4,Austin,29.0,28.0,25.0,Matt DiBenedetto,Rackley Roofing (Rackley W.A.R.),Chevrolet,41.0,running,0.0,9.0,0.0
2023,4,Austin,30.0,5.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,31.0,suspension,3.0,17.0,1.0
2023,4,Austin,31.0,17.0,75.0,Parker Kligerman,Charlie Henderson,Chevrolet,26.0,electrical,0.0,12.0,0.0
2023,4,Austin,32.0,26.0,12.0,Spencer Boyd,Record Rack (Randy Young),Chevrolet,12.0,electrical,0.0,5.0,0.0
2023,4,Austin,33.0,34.0,88.0,Matt Crafton,Ideal Door/Menards (Duke Thorson),Ford,11.0,crash,0.0,4.0,0.0
2023,4,Austin,34.0,6.0,42.0,Carson Hocevar,Worldwide Express (Al Niece),Chevrolet,8.0,axle,0.0,3.0,0.0
2023,4,Austin,35.0,22.0,5.0,Dean Thompson,Thompson Pipe Group (David Gilliland),Toyota,4.0,crash,0.0,2.0,0.0
2023,4,Austin,36.0,23.0,20.0,Ed Jones,Little Caesars (Randy Young),Chevrolet,0.0,suspension,0.0,1.0,0.0
2023,5,Fort Worth,1.0,5.0,42.0,Carson Hocevar,Worldwide Express (Al Niece),Chevrolet,172.0,running,1.0,40.0,5.0
2023,5,Fort Worth,2.0,14.0,4.0,Chase Purdy,Bama Buggies (Kyle Busch),Chevrolet,172.0,running,0.0,31.0,0.0
2023,5,Fort Worth,3.0,7.0,52.0,Stewart Friesen,Ferris Commercial Mowers (Chris Larsen),Toyota,172.0,running,0.0,36.0,0.0
2023,5,Fort Worth,4.0,3.0,98.0,Ty Majeski,Road Ranger (Mike Curb),Ford,172.0,running,0.0,40.0,0.0
2023,5,Fort Worth,5.0,9.0,35.0,Jake Garcia,Adaptive One Calipers (Bill McAnally),Chevrolet,172.0,running,0.0,32.0,0.0
2023,5,Fort Worth,6.0,25.0,13.0,Hailie Deegan,Ford Performance (Duke Thorson),Ford,172.0,running,0.0,31.0,0.0
2023,5,Fort Worth,7.0,4.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,172.0,running,0.0,38.0,0.0
2023,5,Fort Worth,8.0,26.0,30.0,Ryan Vargas,Rangeline Group (Steven Lane),Toyota,172.0,running,0.0,29.0,0.0
2023,5,Fort Worth,9.0,2.0,51.0,Jack Wood,Sevwins (Kyle Busch),Chevrolet,172.0,running,0.0,28.0,0.0
2023,5,Fort Worth,10.0,10.0,99.0,Ben Rhodes,Kubota (Duke Thorson),Ford,172.0,running,1.0,44.0,0.0
2023,5,Fort Worth,11.0,27.0,33.0,Mason Massey,Ripper Magoos (Josh Reaume),Ford,172.0,running,0.0,26.0,0.0
2023,5,Fort Worth,12.0,23.0,2.0,Kris Wright,America's Auto Auction (Randy Young),Chevrolet,172.0,running,0.0,25.0,0.0
2023,5,Fort Worth,13.0,21.0,88.0,Matt Crafton,Chi Chis/ Menards (Duke Thorson),Ford,172.0,running,0.0,25.0,0.0
2023,5,Fort Worth,14.0,18.0,38.0,Zane Smith,Speedy Cash (Bob Jenkins),Ford,172.0,running,0.0,35.0,0.0
2023,5,Fort Worth,15.0,6.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,172.0,running,2.0,39.0,0.0
2023,5,Fort Worth,16.0,1.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,171.0,crash,168.0,31.0,2.0
2023,5,Fort Worth,17.0,13.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,171.0,running,0.0,21.0,0.0
2023,5,Fort Worth,18.0,19.0,45.0,Lawless Alan,"NIECE/MG Machinery, LLC (Al Niece)",Chevrolet,170.0,running,0.0,19.0,0.0
2023,5,Fort Worth,19.0,15.0,24.0,Rajah Caruth,Wendell Scott Foundation (Maury Gallagher),Chevrolet,169.0,running,0.0,18.0,0.0
2023,5,Fort Worth,20.0,24.0,9.0,Colby Howard,Project Hope Foundation (Codie Rohrbaugh),Chevrolet,169.0,running,0.0,17.0,0.0
2023,5,Fort Worth,21.0,29.0,22.0,Josh Reaume,JAG Metals LLC. (Kevin Cywinski),Ford,168.0,running,0.0,16.0,0.0
2023,5,Fort Worth,22.0,34.0,12.0,Spencer Boyd,Ft. Worth Stockyards (Randy Young),Chevrolet,168.0,running,0.0,15.0,0.0
2023,5,Fort Worth,23.0,12.0,32.0,Bret Holmes,Bret Holmes Racing (Stacy Holmes),Chevrolet,167.0,running,0.0,14.0,0.0
2023,5,Fort Worth,24.0,17.0,17.0,Taylor Gray,JBL (David Gilliland),Toyota,166.0,running,0.0,15.0,0.0
2023,5,Fort Worth,25.0,20.0,43.0,Daniel Dye,KIX Country 98.7 / Race to Stop Suicide (Maury Gallagher),Chevrolet,165.0,running,0.0,12.0,0.0
2023,5,Fort Worth,26.0,8.0,16.0,Tyler Ankrum,LiUNA! (Shigeaki Hattori),Toyota,164.0,running,0.0,11.0,0.0
2023,5,Fort Worth,27.0,11.0,15.0,Tanner Gray,Mobil 1 (David Gilliland),Toyota,161.0,crash,0.0,15.0,0.0
2023,5,Fort Worth,28.0,16.0,5.0,Dean Thompson,Thompson Pipe Group (David Gilliland),Toyota,143.0,crash,0.0,21.0,0.0
2023,5,Fort Worth,29.0,32.0,46.0,Armani Williams,Blue Sprig/Motivity (G2G Racing),Toyota,140.0,crash,0.0,8.0,0.0
2023,5,Fort Worth,30.0,30.0,14.0,Trey Hutchens,Quality Roof Seamers (Trey Hutchens),Chevrolet,137.0,crash,0.0,7.0,0.0
2023,5,Fort Worth,31.0,28.0,20.0,Matt Mills,J.F. Electric (Randy Young),Chevrolet,134.0,crash,0.0,6.0,0.0
2023,5,Fort Worth,32.0,33.0,25.0,Matt DiBenedetto,Rackley Roofing (Rackley W.A.R.),Chevrolet,122.0,vibration,0.0,5.0,0.0
2023,5,Fort Worth,33.0,31.0,34.0,Keith McGee,Josh Reaume,Ford,39.0,vibration,0.0,4.0,0.0
2023,5,Fort Worth,34.0,22.0,41.0,Chad Chastain,GlobalTranz (Al Niece),Chevrolet,17.0,crash,0.0,3.0,0.0
2023,6,Bristol (Dirt),1.0,4.0,66.0,Joey Logano,Hang 10 Car Wash (Duke Thorson),Ford,150.0,running,138.0,0.0,0.0
2023,6,Bristol (Dirt),2.0,2.0,98.0,Ty Majeski,Mike Curb,Ford,150.0,running,1.0,53.0,0.0
2023,6,Bristol (Dirt),3.0,14.0,51.0,William Byron,HendrickCars.com (Kyle Busch),Chevrolet,150.0,running,0.0,0.0,0.0
2023,6,Bristol (Dirt),4.0,8.0,88.0,Matt Crafton,Great Lakes Flooring/Menards (Duke Thorson),Ford,150.0,running,0.0,43.0,0.0
2023,6,Bristol (Dirt),5.0,11.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,150.0,running,0.0,36.0,0.0
2023,6,Bristol (Dirt),6.0,26.0,35.0,Jake Garcia,Bill McAnally,Chevrolet,150.0,running,0.0,31.0,0.0
2023,6,Bristol (Dirt),7.0,10.0,22.0,Chase Briscoe,Production Alliance Group (Kevin Cywinski),Ford,150.0,running,0.0,0.0,0.0
2023,6,Bristol (Dirt),8.0,34.0,15.0,Tanner Gray,Mobil 1 (David Gilliland),Toyota,150.0,running,0.0,34.0,0.0
2023,6,Bristol (Dirt),9.0,3.0,4.0,Kaden Honeycutt,CarQuest/Technet (Roper Racing),Ford,150.0,running,0.0,35.0,0.0
2023,6,Bristol (Dirt),10.0,24.0,25.0,Matt DiBenedetto,Rackley Roofing (Rackley W.A.R.),Chevrolet,150.0,running,11.0,33.0,0.0
2023,6,Bristol (Dirt),11.0,15.0,24.0,Rajah Caruth,Wendell Scott Foundation (Maury Gallagher),Chevrolet,150.0,running,0.0,26.0,0.0
2023,6,Bristol (Dirt),12.0,29.0,5.0,Dean Thompson,Thompson Pipe Group (David Gilliland),Toyota,150.0,running,0.0,25.0,0.0
2023,6,Bristol (Dirt),13.0,6.0,13.0,Hailie Deegan,Ford Performance (Duke Thorson),Ford,150.0,running,0.0,29.0,0.0
2023,6,Bristol (Dirt),14.0,25.0,7.0,Jonathan Davenport,Nutrien Ag Solutions (Spire Motorsports),Chevrolet,150.0,running,0.0,0.0,0.0
