Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2023,1,Daytona,1.0,15.0,38.0,Zane Smith,Love's / Speedco (Bob Jenkins),Ford,79.0,running,17.0,40.0,5.0
2023,1,Daytona,2.0,19.0,15.0,Tanner Gray,Dead On Tools (David Gilliland),Toyota,79.0,running,0.0,38.0,0.0
2023,1,Daytona,3.0,4.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,79.0,running,19.0,50.0,1.0
2023,1,Daytona,4.0,21.0,9.0,Colby Howard,Grant County Mulch (Codie Rohrbaugh),Chevrolet,79.0,running,2.0,33.0,0.0
2023,1,Daytona,5.0,16.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,79.0,running,0.0,36.0,0.0
2023,1,Daytona,6.0,2.0,98.0,Ty Majeski,Road Ranger (Mike Curb),Ford,79.0,running,2.0,41.0,0.0
2023,1,Daytona,7.0,27.0,16.0,Tyler Ankrum,LiUNA! (Shigeaki Hattori),Toyota,79.0,running,15.0,40.0,1.0
2023,1,Daytona,8.0,13.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,79.0,running,0.0,29.0,0.0
2023,1,Daytona,9.0,6.0,88.0,Matt Crafton,Mold-Armor/Menards (Duke Thorson),Ford,79.0,running,2.0,45.0,0.0
2023,1,Daytona,10.0,14.0,35.0,Chase Elliott,Gates Hydraulics (Bill McAnally),Chevrolet,79.0,running,0.0,0.0,0.0
2023,1,Daytona,11.0,26.0,99.0,Ben Rhodes,Clarks Pump-N-Shop (Duke Thorson),Ford,79.0,running,0.0,30.0,0.0
2023,1,Daytona,12.0,9.0,42.0,Carson Hocevar,Worldwide Express (Al Niece),Chevrolet,79.0,running,0.0,30.0,0.0
2023,1,Daytona,13.0,25.0,41.0,Travis Pastrana,Worldwide Express/BRCC (Al Niece),Chevrolet,79.0,running,0.0,0.0,0.0
2023,1,Daytona,14.0,20.0,17.0,Sammy Smith,Mobil 1 (David Gilliland),Toyota,79.0,running,0.0,0.0,0.0
2023,1,Daytona,15.0,7.0,1.0,Jason White,Celsius (David Gilliland),Toyota,79.0,running,0.0,22.0,0.0
2023,1,Daytona,16.0,32.0,56.0,Timmy Hill,Coble Enterprises (Timmy Hill),Toyota,79.0,running,0.0,21.0,0.0
2023,1,Daytona,17.0,10.0,4.0,Chase Purdy,Bama Buggies (Kyle Busch),Chevrolet,79.0,running,1.0,29.0,0.0
2023,1,Daytona,18.0,11.0,20.0,Derek Kraus,Hardscape Construction Inc. (Randy Young),Chevrolet,79.0,running,0.0,19.0,0.0
2023,1,Daytona,19.0,34.0,22.0,Josh Reaume,JAG Metals (Kevin Cywinski),Ford,79.0,running,0.0,18.0,0.0
2023,1,Daytona,20.0,8.0,25.0,Matt DiBenedetto,Rackley Roofing (Rackley W.A.R.),Chevrolet,79.0,running,0.0,25.0,0.0
2023,1,Daytona,21.0,36.0,34.0,Jason White,powder ventures excavations (Josh Reaume),Toyota,79.0,running,0.0,16.0,0.0
2023,1,Daytona,22.0,30.0,2.0,Kris Wright,F.N.B. Corporation (Randy Young),Chevrolet,79.0,running,0.0,15.0,0.0
2023,1,Daytona,23.0,5.0,7.0,Corey LaJoie,Schluter Systems (Spire Motorsports),Chevrolet,79.0,running,19.0,0.0,0.0
2023,1,Daytona,24.0,35.0,33.0,Mason Massey,Brunt (Josh Reaume),Ford,79.0,running,0.0,13.0,0.0
2023,1,Daytona,25.0,33.0,30.0,Chris Hacker,Morgan & Morgan P.A. (Steven Lane),Toyota,79.0,running,0.0,12.0,0.0
2023,1,Daytona,26.0,1.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,79.0,running,0.0,24.0,0.0
2023,1,Daytona,27.0,3.0,51.0,Jack Wood,Eberlestock (Kyle Busch),Chevrolet,79.0,running,0.0,14.0,0.0
2023,1,Daytona,28.0,23.0,52.0,Stewart Friesen,Aim Autism/Halmar (Chris Larsen),Toyota,74.0,running,2.0,9.0,0.0
2023,1,Daytona,29.0,17.0,24.0,Rajah Caruth,Wendell Scott Foundation (Maury Gallagher),Chevrolet,57.0,crash,0.0,8.0,0.0
