Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2000,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,2.0,2.0,Mike Wallace,Team ASE Racing (Jim Smith),Ford,100.0,80099.0,running,59.0,185.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,34.0,99.0,Kurt Busch,Exide Batteries (Jack Roush),Ford,100.0,51800.0,running,0.0,170.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,6.0,60.0,Andy Houston,CAT Rental Stores (Mike Addington),Chevrolet,100.0,39382.0,running,9.0,170.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,32.0,88.0,Terry Cook,Transmission Technology (Duke Thorson),Chevrolet,100.0,27602.0,running,7.0,165.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,15.0,98.0,Kenny Martin,Premier Truck Parts (Jim Herrick),Ford,100.0,21805.0,running,0.0,155.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,29.0,72.0,Randy MacDonald,3M (Doc MacDonald),Chevrolet,100.0,17225.0,running,0.0,150.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,9.0,66.0,Rick Carelli,Carlin Burners & Controls (Dale Phelon),Ford,100.0,16025.0,running,0.0,146.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,12.0,1.0,Dennis Setzer,Mopar Performance (Bob Keselowski),Dodge,99.0,16077.0,running,0.0,142.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,26.0,84.0,Donnie Neuenberger,eBay.com (Robert Long),Ford,99.0,14025.0,running,0.0,138.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,10.0,43.0,Steve Grissom,Dodge Motorsports (Petty Enterprises),Dodge,95.0,13525.0,running,5.0,139.0
2000,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,16.0,50.0,Greg Biffle,Grainger (Jack Roush),Ford,92.0,14877.0,crash,1.0,135.0
