Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2020,1,Daytona,1.0,12.0,9.0,Noah Gragson,Bass Pro Shops / Black Rifle Coffee (JR Motorsports),Chevrolet,120.0,running,15.0,49.0,5.0
2020,1,Daytona,2.0,8.0,20.0,Harrison Burton,Dex Imaging (Joe Gibbs),Toyota,120.0,running,9.0,38.0,0.0
2020,1,Daytona,3.0,26.0,66.0,Timmy Hill,VSI Racing / RoofClaim.com (Carl Long),Toyota,120.0,running,1.0,0.0,0.0
2020,1,Daytona,4.0,6.0,19.0,Brandon Jones,Interstate Batteries Bobby Labonte Tribute (Joe Gibbs),Toyota,120.0,running,0.0,36.0,0.0
2020,1,Daytona,5.0,10.0,98.0,Chase Briscoe,HighPoint.com (Stewart Haas Racing),Ford,120.0,running,5.0,34.0,0.0
2020,1,Daytona,6.0,3.0,11.0,Justin Haley,Leaf Filter Gutter Protection (Matthew Kaulig),Chevrolet,120.0,running,0.0,46.0,0.0
2020,1,Daytona,7.0,11.0,68.0,Brandon Brown,Larry's Hard Lemonade / St. George Brewing (Jerry Brown),Chevrolet,120.0,running,0.0,35.0,0.0
2020,1,Daytona,8.0,16.0,7.0,"Ray Black, Jr.",CDA Tech / Diver Underwater Welding (Bobby Dotter),Chevrolet,120.0,running,0.0,29.0,0.0
2020,1,Daytona,9.0,9.0,39.0,Ryan Sieg,CMR Roofing (Rod Sieg),Chevrolet,120.0,running,0.0,35.0,0.0
2020,1,Daytona,10.0,19.0,36.0,Alex Labbe,Globocam / Rousseau (Mario Gosselin),Chevrolet,120.0,running,19.0,29.0,0.0
2020,1,Daytona,11.0,2.0,1.0,Michael Annett,AHA / Pilot / Flying J (JR Motorsports),Chevrolet,119.0,crash,0.0,35.0,0.0
2020,1,Daytona,12.0,34.0,52.0,J.J. Yeley,Circle Track Warehouse (Jimmy Means),Chevrolet,119.0,running,0.0,25.0,0.0
2020,1,Daytona,13.0,22.0,0.0,B.J. McLeod,BTX Global Logistics / OPAV (Johnny Davis),Chevrolet,119.0,running,0.0,24.0,0.0
2020,1,Daytona,14.0,25.0,78.0,Vinnie Miller,UAP.org (B.J. McLeod),Toyota,119.0,running,0.0,23.0,0.0
2020,1,Daytona,15.0,36.0,47.0,Joe Nemechek,Trump-Pence 2020 (Mike Harmon),Chevrolet,119.0,running,0.0,0.0,0.0
2020,1,Daytona,16.0,35.0,74.0,Mike Harmon,Veterans 4 Child Rescue (Mike Harmon),Chevrolet,119.0,running,0.0,21.0,0.0
2020,1,Daytona,17.0,20.0,15.0,Robby Lyons,Carr & Sons Masonry (Johnny Davis),Chevrolet,119.0,running,0.0,20.0,0.0
2020,1,Daytona,18.0,31.0,6.0,David Starr,Whataburger (Johnny Davis),Chevrolet,119.0,running,0.0,19.0,0.0
2020,1,Daytona,19.0,18.0,4.0,Jesse Little,KSDT CPA / Series Seating (Johnny Davis),Chevrolet,118.0,crash,0.0,18.0,0.0
2020,1,Daytona,20.0,33.0,13.0,Chad Finchum,Garrison Homes / Toyota of Knoxville (Carl Long),Toyota,118.0,running,0.0,17.0,0.0
2020,1,Daytona,21.0,32.0,99.0,Josh Bilicki,DITEC Marine / Insurance King (B.J. McLeod),Toyota,117.0,running,0.0,16.0,0.0
2020,1,Daytona,22.0,23.0,38.0,Ross Chastain,Nutrien Ag Solutions (Rod Sieg),Chevrolet,115.0,running,0.0,19.0,0.0
2020,1,Daytona,23.0,4.0,8.0,Jeb Burton,LS Tractor (JR Motorsports),Chevrolet,114.0,crash,26.0,32.0,1.0
2020,1,Daytona,24.0,24.0,2.0,Brett Moffitt,Plan B Sales (Chris Our),Chevrolet,114.0,crash,0.0,0.0,0.0
2020,1,Daytona,25.0,15.0,22.0,Austin Cindric,Money Lion (Roger Penske),Ford,113.0,crash,0.0,23.0,0.0
2020,1,Daytona,26.0,17.0,92.0,Josh Williams,Sleep Well / Harkin Construction (Mario Gosselin),Chevrolet,113.0,crash,0.0,11.0,0.0
2020,1,Daytona,27.0,21.0,93.0,C.J. McLaughlin,Sci Aps (Rod Sieg),Chevrolet,113.0,running,0.0,10.0,0.0
2020,1,Daytona,28.0,29.0,51.0,Jeremy Clements,Repairables.com (Jeremy Clements),Chevrolet,113.0,running,0.0,9.0,0.0
2020,1,Daytona,29.0,14.0,90.0,Caesar Bacarella,Maxim / Alpha Prime Regimen (Mario Gosselin),Chevrolet,112.0,crash,0.0,8.0,0.0
2020,1,Daytona,30.0,13.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,107.0,crash,23.0,25.0,1.0
2020,1,Daytona,31.0,30.0,5.0,Matt Mills,J.F. Electric (B.J. McLeod),Toyota,101.0,electrical,0.0,6.0,0.0
2020,1,Daytona,32.0,7.0,18.0,Riley Herbst,Monster Energy (Joe Gibbs),Toyota,59.0,crash,0.0,5.0,0.0
2020,1,Daytona,33.0,1.0,21.0,Myatt Snider,Tax Slayer (Richard Childress),Chevrolet,59.0,crash,22.0,8.0,0.0
2020,1,Daytona,34.0,27.0,25.0,Chris Cockrum,Advanced Communications Group (Jeff Spraker),Chevrolet,59.0,crash,0.0,3.0,0.0
2020,1,Daytona,35.0,28.0,61.0,Austin Hill,AISIN Group (Shigeaki Hattori),Toyota,37.0,crash,0.0,0.0,0.0
2020,1,Daytona,36.0,5.0,8.0,Joe Graf Jr,Core Development Group (Bobby Dotter),Chevrolet,37.0,crash,0.0,1.0,0.0
2020,2,Las Vegas,1.0,2.0,98.0,Chase Briscoe,Ford Performance Racing School (Stewart Haas Racing),Ford,200.0,running,89.0,58.0,6.0
2020,2,Las Vegas,2.0,6.0,22.0,Austin Cindric,Money Lion (Roger Penske),Ford,200.0,running,39.0,52.0,0.0
2020,2,Las Vegas,3.0,32.0,39.0,Ryan Sieg,CMR Roofing (Rod Sieg),Chevrolet,200.0,running,1.0,38.0,0.0
2020,2,Las Vegas,4.0,7.0,9.0,Noah Gragson,Bass Pro Shops / Black Rifle Coffee (JR Motorsports),Chevrolet,200.0,running,2.0,36.0,0.0
2020,2,Las Vegas,5.0,3.0,20.0,Harrison Burton,Dex Imaging (Joe Gibbs),Toyota,200.0,running,0.0,42.0,0.0
2020,2,Las Vegas,6.0,9.0,19.0,Brandon Jones,Menards / Jeld-Wen (Joe Gibbs),Toyota,200.0,running,0.0,40.0,0.0
2020,2,Las Vegas,7.0,8.0,1.0,Michael Annett,AHA / Pilot / Flying J (JR Motorsports),Chevrolet,200.0,running,0.0,42.0,0.0
2020,2,Las Vegas,8.0,4.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,200.0,running,63.0,45.0,1.0
2020,2,Las Vegas,9.0,12.0,18.0,Riley Herbst,Monster Energy (Joe Gibbs),Toyota,200.0,running,0.0,32.0,0.0
2020,2,Las Vegas,10.0,25.0,10.0,Ross Chastain,Chevy Accessories (Matthew Kaulig),Chevrolet,200.0,running,0.0,41.0,0.0
