driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Blake Mallory,3,0,0.0,38.33,30,43,36.33,32,40,0.0,0,0,54.0,,38140,12713,17390,9135
Bob Brevak,3,0,0.0,28.33,14,39,25.0,13,31,0.0,0,0,88.0,,8300,2767,4075,825
Bob Brunell,2,0,0.0,37.0,35,39,22.5,21,24,0.0,0,0,95.5,,7583,3792,3883,3700
Bob Dotter,3,0,0.0,28.5,21,36,25.0,17,35,0.0,0,0,50.67,,4955,1652,3000,680
Bob Freeze,5,0,0.0,,,,17.0,12,24,0.0,0,0,112.0,,1450,290,400,200
Bob Glass,2,0,0.0,,,,16.0,10,22,0.0,0,0,115.5,,740,370,500,240
Bob Hatley,7,0,0.0,25.67,22,32,22.14,13,28,0.0,0,0,97.5,,1800,257,420,200
Bob Healey,1,0,0.0,45.0,45,45,45.0,45,45,0.0,0,0,0.0,,1600,1600,1600,1600
Bob Park,6,0,0.0,30.2,21,39,24.67,12,34,0.0,0,0,89.0,,5610,935,1580,395
Bob Pressley,6,0,0.0,10.33,8,15,16.67,5,23,0.0,0,0,114.17,,2905,484,1350,205
Bob Schacht,1,0,0.0,21.0,21,21,15.0,15,15,0.0,0,0,118.0,,750,750,750,750
Bob Shreeves,93,0,0.0,17.39,1,41,15.57,3,37,0.18,17,11,116.84,,71460,768,6080,150
Bobby Allison,43,2,0.04651,13.5,4,43,16.51,1,38,5.23,225,108,114.67,,170638,3968,30550,275
"Bobby Babb, Jr.",2,0,0.0,24.5,18,31,33.5,31,36,0.0,0,0,0.0,,2500,1250,1300,1200
Bobby Boggero,2,0,0.0,35.0,34,36,26.5,25,28,0.0,0,0,83.5,,1425,713,1015,410
Bobby Cox,3,0,0.0,39.0,39,39,25.0,12,40,0.0,0,0,88.0,,975,325,525,185
Bobby Dale Earnhardt,7,0,0.0,36.14,30,40,31.71,27,37,0.0,0,0,5.43,0.0,0,,,
Bobby Dotter,209,1,0.00478,21.84,1,42,17.97,1,43,0.7,147,58,109.47,,810173,3876,19275,350
Bobby Dragon,25,0,0.0,25.2,10,40,20.16,4,43,0.0,0,0,50.72,,58658,2346,6855,200
Bobby East,11,0,0.0,24.55,5,40,25.0,12,39,0.36,4,4,83.45,,218050,19823,26895,14520
Bobby Gada,5,0,0.0,36.2,16,46,34.4,21,44,0.0,0,0,53.6,,13147,2629,4708,1600
Bobby Gahan,3,0,0.0,34.67,30,42,29.0,24,39,0.0,0,0,0.0,,3820,1273,1335,1200
Bobby Gerhart,18,0,0.0,28.56,5,43,29.22,20,40,0.0,0,0,46.78,,316986,21132,54426,8640
Bobby Hamilton,86,1,0.01163,20.64,3,41,19.06,1,42,1.34,115,54,105.05,,440913,5127,44425,370
"Bobby Hamilton, Jr.",253,5,0.01976,17.43,1,43,19.13,1,43,5.82,1472,186,108.17,,5991370,23681,95270,4165
"Bobby Hillin, Jr.",115,2,0.01739,23.17,2,46,21.45,1,43,1.38,159,58,96.81,,922586,8022,39650,500
Bobby Jacks,1,0,0.0,,,,14.0,14,14,0.0,0,0,121.0,,875,875,875,875
Bobby Labonte,203,10,0.04926,14.56,1,43,14.49,1,43,8.17,1659,234,121.9,,2092561,10359,52725,220
Bobby McCarty,1,0,0.0,38.0,38,38,31.0,31,31,0.0,0,0,6.0,0.0,0,,,
Bobby Moon,30,0,0.0,18.97,5,44,22.17,4,38,0.0,0,0,94.07,,44873,1496,7025,500
Bobby Reuse,4,0,0.0,34.75,31,39,28.75,24,32,0.0,0,0,13.5,0.0,39921,13307,14506,12405
Bobby Santos III,6,0,0.0,17.33,4,33,31.5,17,39,0.0,0,0,45.5,,122135,20356,43310,13950
Boris Said,30,1,0.03333,12.53,1,40,19.57,1,40,1.2,36,27,85.67,0.0,906016,32358,101213,3550
Bosco Lowe,133,0,0.0,21.61,4,42,17.16,2,42,0.55,73,52,112.08,,158283,1190,8200,150
Boston Reid,10,0,0.0,30.0,17,40,30.2,17,42,0.1,1,1,72.9,,172415,17242,30260,11865
Boyce Eckard,1,0,0.0,,,,13.0,13,13,0.0,0,0,124.0,,350,350,350,350
Brad Baker,52,0,0.0,32.1,12,43,30.21,13,43,0.0,0,0,72.37,,852266,16390,43825,7625
Brad Coleman,57,0,0.0,14.0,1,39,20.81,2,42,1.7,97,36,102.3,,1567931,27508,66900,14710
Brad Keselowski,257,39,0.15175,11.54,1,43,10.55,1,43,21.02,5402,189,72.02,0.0,7819096,34752,154743,10965
Brad Leighton,5,0,0.0,30.6,23,42,35.4,27,43,0.2,1,1,37.8,,32280,6456,7575,3965
Brad Loney,28,0,0.0,27.07,9,43,29.79,5,43,0.0,0,0,73.93,,262390,9371,25950,2650
Brad Mueller,1,0,0.0,43.0,43,43,43.0,43,43,0.0,0,0,34.0,,10167,10167,10167,10167
Brad Noffsinger,5,0,0.0,32.2,19,42,34.0,27,40,0.0,0,0,61.0,,38567,7713,11350,4700
Brad Payne,1,0,0.0,42.0,42,42,26.0,26,26,0.0,0,0,85.0,,12100,12100,12100,12100
Brad Perez,9,0,0.0,28.33,21,31,25.78,18,38,0.0,0,0,8.0,0.0,0,,,
Brad Sorenson,1,0,0.0,28.0,28,28,13.0,13,13,0.0,0,0,124.0,,1290,1290,1290,1290
Brad Sweet,36,0,0.0,16.53,6,38,18.94,6,34,0.0,0,0,26.64,,802019,22278,29225,16725
Brad Teague,241,1,0.00415,25.41,1,43,25.35,1,43,1.73,418,89,83.41,,2089510,8670,45660,270
Brandon Baker,14,0,0.0,27.43,4,37,26.43,16,39,0.0,0,0,83.71,,15238,1088,2050,500
Brandon Brown,150,1,0.00667,20.38,2,38,19.89,1,40,0.45,67,12,17.79,0.03,0,,,
Brandon Butler,5,0,0.0,22.6,13,34,28.0,14,40,0.0,0,0,79.0,,44945,8989,12875,4000
Brandon Gdovic,16,0,0.0,29.5,19,39,21.44,8,36,0.0,0,0,18.13,0.0,74561,24854,28208,21804
Brandon Hightower,19,0,0.0,34.68,27,40,30.68,13,39,0.0,0,0,8.05,0.0,0,,,
Brandon Jones,283,5,0.01767,12.08,1,40,15.52,1,40,3.17,896,106,26.0,0.15,138095,27619,31236,22289
Brandon McReynolds,3,0,0.0,21.33,18,25,24.67,19,32,0.0,0,0,44.33,,15525,15525,15525,15525
Brandon Miller,14,0,0.0,22.0,2,39,26.14,6,43,0.0,0,0,81.71,,275226,19659,29900,13595
Brandon Sperling,2,0,0.0,23.5,20,27,23.5,20,27,0.0,0,0,92.5,,11080,5540,7830,3250
Brandon Whitt,31,0,0.0,34.58,20,42,29.1,20,41,0.0,0,0,75.71,,784829,25317,50158,15035
Brendan Gaughan,219,2,0.00913,15.11,1,43,16.08,1,41,0.89,195,22,51.72,0.03,4142713,27618,72735,13475
Brennan Newberry,4,0,0.0,22.5,19,25,25.5,19,36,0.0,0,0,0.0,,74176,18544,23370,15195
Brennan Poole,138,0,0.0,18.71,1,38,18.4,2,38,0.24,33,13,21.43,0.0,435019,25589,32346,19678
Brent Glastetter,1,0,0.0,42.0,42,42,41.0,41,41,0.0,0,0,40.0,,14705,14705,14705,14705
Brent Moore,2,0,0.0,42.0,41,43,35.0,27,43,0.0,0,0,58.0,,24805,12403,14635,10170
Brent Sherman,62,0,0.0,29.56,8,42,28.55,9,43,0.06,4,1,76.77,0.0,1408304,23087,48200,12510
Brett Bodine,77,5,0.06494,5.49,1,31,10.45,1,33,15.51,1194,161,131.35,,366537,4760,25047,700
Brett Butler,3,0,0.0,27.67,25,32,34.33,33,36,0.0,0,0,9.67,,57494,19165,21814,16345
Brett Hearn,20,0,0.0,24.75,8,39,24.7,10,41,0.0,0,0,69.1,,23711,1186,3600,335
Brett Moffitt,117,0,0.0,16.54,1,36,17.78,2,40,0.62,73,25,13.9,0.0,25293,25293,25293,25293
Brett Oakley,1,0,0.0,42.0,42,42,38.0,38,38,0.0,0,0,49.0,,11035,11035,11035,11035
Brett Rowe,30,0,0.0,37.3,27,43,35.6,21,43,0.0,0,0,44.93,,570213,19007,32875,9770
Brian Donley,4,0,0.0,40.5,39,42,33.0,27,43,0.0,0,0,64.0,,14755,3689,4175,3185
Brian Henderson,3,0,0.0,30.67,22,36,24.0,18,33,0.0,0,0,13.0,0.0,0,,,
Brian Ickler,8,0,0.0,28.75,18,38,22.25,9,34,0.0,0,0,96.5,,185848,23231,30193,16650
Brian Keselowski,63,0,0.0,32.46,10,43,31.57,10,43,0.1,6,4,66.83,,1288246,20448,57903,11345
Brian Ross,3,0,0.0,33.67,32,36,24.67,15,43,0.0,0,0,89.0,,13420,4473,7645,2325
Brian Scott,210,0,0.0,11.14,1,42,15.26,2,41,3.14,659,239,44.28,0.0,5467571,26286,64013,15650
Brian Simo,6,0,0.0,26.17,20,39,27.0,20,40,0.0,0,0,74.83,,172289,28715,47968,2525
Brian Smith,1,0,0.0,32.0,32,32,27.0,27,27,0.0,0,0,82.0,,6225,6225,6225,6225
Brian Sockwell,4,0,0.0,37.75,34,43,28.75,27,30,0.0,0,0,58.5,,54365,13591,16685,10940
Brian Tyler,9,0,0.0,36.0,27,43,34.0,23,43,0.0,0,0,61.0,,105574,11730,15150,8540
Brian Vickers,148,3,0.02027,12.55,1,43,14.32,1,43,7.51,1111,152,101.32,,4016867,27141,74112,9025
Brian Weber,20,0,0.0,39.35,32,43,35.15,25,43,0.0,0,0,47.35,,223993,11200,19125,995
Bruce Bechtel,10,0,0.0,34.0,25,41,32.7,24,42,0.0,0,0,64.9,,170655,17066,20875,7965
Bruce Haley,4,0,0.0,25.75,8,36,22.75,12,33,0.0,0,0,16.0,,7276,1819,2646,1320
Bryan Baker,1,0,0.0,27.0,27,27,28.0,28,28,0.0,0,0,79.0,,325,325,325,325
Bryan Clauson,26,0,0.0,17.31,1,39,24.38,5,38,0.08,2,1,90.69,,664697,25565,62162,16635
Bryan Reffner,3,0,0.0,31.33,25,36,35.67,29,43,0.0,0,0,36.67,,45584,15195,20069,12425
Bryan Silas,7,0,0.0,33.0,28,39,25.57,20,36,0.0,0,0,0.0,,133726,19104,23150,16350
Bryan Wall,6,0,0.0,28.5,14,43,25.0,22,30,0.0,0,0,88.0,,37442,6240,9125,3350
Bubba Adams,13,0,0.0,14.08,2,29,15.08,2,29,0.0,0,0,52.38,,7995,615,1400,250
Bubba Nissen,26,0,0.0,13.0,3,27,15.38,2,29,0.0,0,0,106.85,,20285,780,3150,210
Bubba Pollard,1,0,0.0,37.0,37,37,6.0,6,6,0.0,0,0,31.0,0.0,0,,,
Bubba Wallace,88,0,0.0,12.93,1,40,13.97,2,35,1.89,166,52,27.28,0.06,1162880,29817,62603,21525
Buck Doran,1,0,0.0,26.0,26,26,9.0,9,9,0.0,0,0,138.0,,600,600,600,600
Buck Godsey,1,0,0.0,,,,13.0,13,13,0.0,0,0,124.0,,200,200,200,200
Buckshot Jones,147,2,0.01361,20.54,1,43,20.5,1,42,4.0,588,122,102.95,,1851233,12593,39350,2045
Bud Elliott,17,0,0.0,27.5,22,37,19.71,9,36,0.0,0,0,91.71,,6260,368,745,100
Burney Lamar,59,0,0.0,22.36,4,41,26.54,2,42,0.07,4,2,82.75,,1594430,27024,98425,14405
Butch Isom,6,0,0.0,20.0,19,21,14.17,10,18,0.0,0,0,120.67,,2010,335,500,230
Butch Jarvis,2,0,0.0,41.0,41,41,39.5,39,40,0.0,0,0,44.5,,22415,11208,11835,10580
Butch Leitzinger,5,0,0.0,13.2,4,32,16.8,2,27,2.6,13,13,116.2,,47221,9444,23750,1876
Butch Lindley,41,6,0.14634,6.21,1,16,13.0,1,39,16.73,686,200,124.76,,76615,1869,8800,200
Butch Miller,93,2,0.02151,17.82,1,42,16.29,1,37,2.02,188,67,108.74,,429125,4614,16865,375
Buzzie Bezanson,2,0,0.0,6.5,5,8,33.0,29,37,53.0,106,64,0.0,,10860,5430,8050,2810
C.J. Faison,2,0,0.0,33.5,30,37,31.5,23,40,0.0,0,0,12.5,,35095,17548,24186,10909
C.J. McLaughlin,42,0,0.0,33.57,21,40,28.55,10,40,0.0,0,0,8.52,0.0,0,,,
C.W. Smith,7,0,0.0,28.43,17,35,30.0,14,39,0.0,0,0,73.0,,135345,19335,35255,12155
Caesar Bacarella,30,0,0.0,28.4,12,38,27.9,6,38,0.0,0,0,9.5,0.0,0,,,
Cale Conley,42,0,0.0,22.62,4,40,23.9,6,37,0.0,0,0,13.48,0.0,988231,24103,56271,10240
Cale Gale,25,0,0.0,17.28,1,39,21.08,4,37,0.84,21,18,100.04,,649068,25963,51512,16280
Caleb Holman,5,0,0.0,38.0,31,40,32.8,28,42,0.0,0,0,64.6,,72485,14497,20830,11165
Caleb Roark,1,0,0.0,38.0,38,38,32.0,32,32,0.0,0,0,0.0,,19505,19505,19505,19505
Camden Murphy,7,0,0.0,28.57,20,39,27.86,20,33,0.0,0,0,4.57,0.0,0,,,
Carl Edwards,245,38,0.1551,8.76,1,42,9.6,1,43,24.43,5985,185,123.11,,8634842,35244,141920,10285
Carl Long,128,0,0.0,35.38,21,43,36.2,26,43,0.0,0,0,12.02,0.0,1342971,14287,22755,6810
Carl Williford,2,0,0.0,28.5,28,29,14.0,11,17,0.0,0,0,121.0,,3220,1610,2380,840
Carlos Contreras,35,0,0.0,31.43,2,43,31.09,11,43,0.11,4,3,39.2,,733375,20954,45725,13390
Carlos Pardo,1,0,0.0,35.0,35,35,42.0,42,42,0.0,0,0,37.0,,41730,41730,41730,41730
Carol Harris,5,0,0.0,23.0,23,23,10.8,7,21,0.0,0,0,132.8,,2350,470,650,150
Carson Hocevar,5,0,0.0,14.4,7,25,24.0,6,38,0.6,3,3,7.6,0.0,0,,,
Carson Kvapil,3,0,0.0,17.0,12,26,8.33,2,19,4.67,14,14,31.0,0.0,0,,,
Carson Ware,9,0,0.0,25.22,5,38,28.44,20,36,0.0,0,0,8.56,0.0,0,,,
Casey Atwood,158,2,0.01266,19.94,1,43,22.2,1,43,3.66,579,144,97.86,,2943961,18633,44825,3000
Casey Elliott,2,0,0.0,6.0,4,8,32.0,20,44,0.0,0,0,67.0,,5253,2627,2783,2470
Casey Mears,107,1,0.00935,15.68,1,40,18.41,1,42,3.37,361,61,99.65,0.0,2001708,21524,79300,10590
Casey Roderick,12,0,0.0,25.0,14,36,25.92,15,40,0.0,0,0,17.5,0.0,207228,18839,42185,11350
Cecil Eunice,25,0,0.0,26.36,14,37,20.64,10,34,0.0,0,0,97.72,,43781,1751,4825,485
Chad Beahr,1,0,0.0,43.0,43,43,37.0,37,37,0.0,0,0,52.0,,11920,11920,11920,11920
Chad Blount,26,0,0.0,27.92,7,43,28.92,5,42,1.08,28,28,73.5,,498177,19161,36775,10935
Chad Boat,17,0,0.0,23.59,3,40,28.59,22,37,0.12,2,2,13.35,,370838,21814,51856,10570
Chad Chaffin,83,0,0.0,27.49,2,43,30.46,9,44,0.77,64,64,70.17,,944391,11378,29265,1165
Chad Chastain,4,0,0.0,31.5,22,37,28.75,24,32,0.0,0,0,0.0,0.0,0,,,
Chad Finchum,113,0,0.0,29.9,2,40,28.51,11,39,0.0,0,0,8.64,0.0,0,,,
Chad Hackenbracht,7,0,0.0,25.29,19,35,22.71,20,30,0.14,1,1,0.0,,146415,20916,25340,17200
Chad Little,134,6,0.04478,20.01,1,42,15.99,1,41,8.62,1155,177,117.96,,1591116,11874,71411,1400
Chad McCumbee,4,0,0.0,23.75,15,42,29.5,27,32,0.0,0,0,74.5,,87807,21952,25863,19868
Chandler Smith,50,3,0.06,9.82,1,37,14.46,1,38,11.78,589,118,28.36,0.4,0,,,
Charles Lewandoski,29,0,0.0,32.93,20,43,35.07,21,43,0.07,2,2,13.41,,404196,13938,22798,9110
Charlie Doyle,1,0,0.0,,,,12.0,12,12,0.0,0,0,127.0,,400,400,400,400
Charlie Luck,106,0,0.0,17.06,4,41,14.36,2,38,0.12,13,8,119.86,,127023,1198,11838,100
Chase Austin,6,0,0.0,29.67,16,43,35.0,29,41,0.17,1,1,58.83,,118809,19802,26983,13165
Chase Briscoe,86,11,0.12791,9.31,1,37,10.33,1,38,15.51,1334,164,33.16,0.84,0,,,
Chase Elliott,84,6,0.07143,10.55,1,38,8.52,1,37,8.52,716,114,28.43,0.0,2246054,34031,93675,16600
Chase Mattioli,2,0,0.0,42.0,42,42,32.5,32,33,0.0,0,0,65.5,,46751,23376,24378,22373
Chase Miller,96,0,0.0,29.36,2,43,35.63,6,43,0.01,1,1,33.17,,1552019,16167,32555,9415
Chase Montgomery,15,0,0.0,31.0,7,39,27.27,10,39,0.0,0,0,81.27,,310120,20675,39975,11380
Chase Pistone,4,0,0.0,18.25,12,32,22.25,14,37,0.0,0,0,13.0,,81080,20270,22700,17970
