Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1997,1,Daytona,1.0,14.0,74.0,Randy LaJoie,Fina (Bill Baumgardner),Chevrolet,120.0,82337.0,running,56.0,180.0
1997,1,Daytona,2.0,24.0,36.0,Todd Bodine,Stanley (Scott Welliver),Pontiac,120.0,55162.0,running,0.0,170.0
1997,1,Daytona,3.0,18.0,21.0,Michael Waltrip,Band-Aid (Michael Waltrip),Ford,120.0,34500.0,running,3.0,165.0
1997,1,Daytona,4.0,3.0,87.0,Joe Nemechek,BellSouth Mobility (Joe Nemechek),Chevrolet,120.0,26825.0,running,0.0,160.0
1997,1,Daytona,5.0,7.0,63.0,Tracy Leslie,Lysol (Hubert Hensley),Pontiac,120.0,28778.0,running,3.0,155.0
1997,1,Daytona,6.0,30.0,45.0,Greg Sacks,Hunters Specialties (Mike Laughlin),Chevrolet,120.0,23309.0,running,0.0,150.0
1997,1,Daytona,7.0,20.0,3.0,Steve Park,"AC Delco (Dale Earnhardt, Inc.)",Chevrolet,120.0,19600.0,running,0.0,146.0
1997,1,Daytona,8.0,44.0,37.0,Mark Green,Timber Wolf (Clarence Brewer),Chevrolet,120.0,17850.0,running,0.0,142.0
1997,1,Daytona,9.0,26.0,4.0,Jeff Purvis,Phoenix Construction (James Finch),Chevrolet,120.0,27412.0,running,0.0,138.0
1997,1,Daytona,10.0,21.0,10.0,Phil Parsons,Channellock (Phil Parsons),Chevrolet,120.0,23562.0,running,0.0,134.0
1997,1,Daytona,11.0,8.0,43.0,Rodney Combs,Lance Snacks (David Ridling),Chevrolet,120.0,20203.0,running,0.0,130.0
1997,1,Daytona,12.0,5.0,0.0,Buckshot Jones,Aquafresh (Billy Jones),Pontiac,120.0,21853.0,running,0.0,127.0
1997,1,Daytona,13.0,34.0,96.0,Stevie Reeves,Big A Auto Parts (Donald Laird),Ford,120.0,15025.0,running,0.0,124.0
1997,1,Daytona,14.0,6.0,8.0,Jeff Green,Team Monte Carlo (Gary Bechtel),Chevrolet,120.0,19937.0,running,5.0,121.0
1997,1,Daytona,15.0,1.0,29.0,Elliott Sadler,Team Monte Carlo (Gary Bechtel),Chevrolet,120.0,20262.0,running,30.0,118.0
1997,1,Daytona,16.0,4.0,38.0,Elton Sawyer,Barbasol (Bob Sutton),Ford,119.0,14525.0,running,0.0,115.0
1997,1,Daytona,17.0,19.0,1.0,Hermie Sadler,DeWalt Tools (Gary Bechtel),Chevrolet,119.0,19112.0,running,0.0,112.0
1997,1,Daytona,18.0,28.0,72.0,Mike Dillon,Detroit Gasket (Ron Parker),Chevrolet,119.0,20062.0,running,0.0,109.0
1997,1,Daytona,19.0,10.0,64.0,Dick Trickle,Dura Lube (Dennis Shoemaker),Chevrolet,119.0,14400.0,running,17.0,106.0
1997,1,Daytona,20.0,41.0,5.0,Andy Hillenburg,Alka-Seltzer / Bayer (Terry Labonte),Chevrolet,119.0,13325.0,running,0.0,103.0
1997,1,Daytona,21.0,42.0,40.0,Doug Heveron,Taylor Motorsports (Doug Taylor),Ford,118.0,14353.0,running,0.0,100.0
1997,1,Daytona,22.0,27.0,88.0,Kevin Lepage,Hype (David Ridling),Chevrolet,118.0,17837.0,running,0.0,97.0
1997,1,Daytona,23.0,43.0,89.0,Johnny Chapman,Sherwin-Williams (Meredith Ruark),Ford,117.0,12100.0,fuel,0.0,94.0
1997,1,Daytona,24.0,29.0,49.0,Kyle Petty,N.W.O. (Kenneth Shaver),Chevrolet,117.0,12050.0,running,0.0,91.0
1997,1,Daytona,25.0,40.0,68.0,Jamie Aube,Wegner Motorsports (Carl Wegner),Chevrolet,117.0,12700.0,running,0.0,0.0
1997,1,Daytona,26.0,32.0,47.0,Jeff Fuller,Sunoco (Tad Geschickter),Chevrolet,116.0,18162.0,running,0.0,85.0
1997,1,Daytona,27.0,12.0,17.0,Tim Bender,Kraft Singles (Robbie Reiser),Chevrolet,112.0,11750.0,running,0.0,82.0
1997,1,Daytona,28.0,23.0,97.0,Doug Reid III,MedPartners (Bart Walker),Chevrolet,109.0,11700.0,running,0.0,79.0
1997,1,Daytona,29.0,9.0,6.0,Joe Bessey,Power Team (Joe Bessey),Chevrolet,98.0,12184.0,running,0.0,76.0
1997,1,Daytona,30.0,45.0,48.0,Dale Shaw,Unifirst Uniforms (James Porter),Ford,94.0,11875.0,running,0.0,0.0
1997,1,Daytona,31.0,31.0,99.0,"Glenn Allen, Jr.",Luxaire (Bill Papke),Chevrolet,93.0,14037.0,running,0.0,70.0
1997,1,Daytona,32.0,13.0,70.0,Dale Fischlein,Titan Wheel (Ivan Murphy),Chevrolet,88.0,10875.0,running,0.0,67.0
1997,1,Daytona,33.0,2.0,34.0,Mike McLaughlin,Royal Oak Charcoal (Frank Cicci),Chevrolet,81.0,16412.0,engine,0.0,64.0
1997,1,Daytona,34.0,16.0,33.0,Tim Fedewa,Kleenex (Bill Baumgardner),Chevrolet,64.0,13937.0,crash,0.0,61.0
