Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
2011,1,Daytona,1.0,14.0,4.0,Tony Stewart,Oreo / Ritz (Kevin Harvick),Chevrolet,120.0,103695.0,running,13.0,0.0
2011,1,Daytona,2.0,1.0,33.0,Clint Bowyer,"Rheem Heating, Cooling & Water Heating (Kevin Harvick)",Chevrolet,120.0,87650.0,running,40.0,0.0
2011,1,Daytona,3.0,2.0,1.0,Landon Cassill,Phoenix Construction (James Finch),Chevrolet,120.0,74875.0,running,0.0,41.0
2011,1,Daytona,4.0,3.0,5.0,"Dale Earnhardt, Jr.",Hellmann's (JR Motorsports),Chevrolet,120.0,60750.0,running,0.0,0.0
2011,1,Daytona,5.0,16.0,32.0,Reed Sorenson,Dollar General (Steve Turner),Chevrolet,120.0,63128.0,running,0.0,39.0
2011,1,Daytona,6.0,22.0,30.0,Jason Leffler,AccuDoc (Steve Turner),Chevrolet,120.0,58453.0,running,0.0,38.0
2011,1,Daytona,7.0,8.0,18.0,Kyle Busch,Z-Line Designs (Joe Gibbs),Toyota,120.0,49710.0,running,17.0,0.0
2011,1,Daytona,8.0,10.0,6.0,Ricky Stenhouse Jr,Blackwell Angus Beef (Jack Roush),Ford,120.0,55603.0,running,0.0,36.0
2011,1,Daytona,9.0,26.0,99.0,Michael Waltrip,Pastrana Waltrip Racing (Michael Waltrip),Toyota,120.0,53853.0,running,0.0,0.0
2011,1,Daytona,10.0,7.0,16.0,Trevor Bayne,Ford. Drive One. (Jack Roush),Ford,120.0,54528.0,running,9.0,35.0
2011,1,Daytona,11.0,20.0,38.0,Kasey Kahne,Great Clips (Steve Turner),Chevrolet,120.0,45335.0,running,0.0,0.0
2011,1,Daytona,12.0,6.0,20.0,Joey Logano,GameStop / NASCAR - The Game (Joe Gibbs),Toyota,120.0,44960.0,running,22.0,0.0
2011,1,Daytona,13.0,30.0,19.0,Mike Bliss,Floridian View (Mark Smith),Chevrolet,119.0,52153.0,running,0.0,31.0
2011,1,Daytona,14.0,4.0,7.0,Danica Patrick,GoDaddy.com (JR Motorsports),Chevrolet,119.0,50728.0,running,1.0,31.0
2011,1,Daytona,15.0,18.0,87.0,Joe Nemechek,D.A.B. Constructors (Joe Nemechek),Toyota,119.0,51453.0,running,0.0,29.0
2011,1,Daytona,16.0,29.0,51.0,Jeremy Clements,Daytona Beach Kennel & Poker Club (Jeremy Clements),Chevrolet,119.0,46160.0,running,0.0,28.0
2011,1,Daytona,17.0,23.0,52.0,Bobby Santos III,TaxSlayer.com / Target Your Market (Jimmy Means),Chevrolet,119.0,43310.0,running,0.0,27.0
2011,1,Daytona,18.0,36.0,15.0,Todd Bodine,Tire Kingdom / Valvoline (Germain Racing),Toyota,119.0,49653.0,running,0.0,0.0
2011,1,Daytona,19.0,15.0,88.0,Aric Almirola,GT Vodka / Hard Rock (JR Motorsports),Chevrolet,119.0,49528.0,running,0.0,25.0
2011,1,Daytona,20.0,21.0,66.0,Steve Wallace,5-hour Energy (Rusty Wallace),Toyota,118.0,50128.0,running,0.0,24.0
2011,1,Daytona,21.0,43.0,5.0,David Starr,31-W Insulation / Owens-Corning (Wayne Day),Chevrolet,118.0,42810.0,running,0.0,0.0
2011,1,Daytona,22.0,24.0,70.0,Shelby Howard,Foretravel Motorcoach (Mary Louise Miller),Chevrolet,118.0,49153.0,running,0.0,22.0
2011,1,Daytona,23.0,33.0,81.0,Donnie Neuenberger,Eagle Convenience Stores (Pat MacDonald),Dodge,118.0,49378.0,running,0.0,21.0
2011,1,Daytona,24.0,35.0,41.0,Patrick Sheltra,Fuel Doctor (Rick Ware),Ford,118.0,42385.0,running,0.0,20.0
2011,1,Daytona,25.0,41.0,28.0,Derrike Cope,ThePreventionPlan.com (Jay Robinson),Chevrolet,118.0,49328.0,running,0.0,19.0
2011,1,Daytona,26.0,39.0,89.0,Morgan Shepherd,Salvation Army (Morgan Shepherd),Chevrolet,117.0,48578.0,running,0.0,18.0
2011,1,Daytona,27.0,5.0,31.0,Justin Allgaier,Brandt (Steve Turner),Chevrolet,116.0,48478.0,running,0.0,17.0
2011,1,Daytona,28.0,25.0,9.0,Kenny Wallace,University of Northwestern Ohio (Robby Benton),Toyota,115.0,48403.0,running,0.0,16.0
2011,1,Daytona,29.0,9.0,60.0,Carl Edwards,Fastenal (Jack Roush),Ford,107.0,41835.0,running,0.0,0.0
2011,1,Daytona,30.0,12.0,22.0,Brad Keselowski,Discount Tire (Roger Penske),Dodge,105.0,42710.0,crash,17.0,0.0
2011,1,Daytona,31.0,31.0,39.0,Josh Wise,Cajun USA (Archie St. Hilaire),Ford,103.0,48703.0,crash,0.0,13.0
2011,1,Daytona,32.0,38.0,23.0,"Robert Richardson, Jr.","Wildlife Conservation Society (Robert Richardson, Sr.)",Dodge,103.0,47928.0,overheating,0.0,12.0
2011,1,Daytona,33.0,34.0,14.0,Eric McClure,Hefty BlackOut / Reynolds (Mark Smith),Chevrolet,95.0,47878.0,running,0.0,11.0
2011,1,Daytona,34.0,11.0,11.0,Brian Scott,Shore Lodge (Joe Gibbs),Toyota,70.0,47828.0,engine,0.0,10.0
2011,1,Daytona,35.0,42.0,40.0,Scott Wimmer,Key Motorsports (Curtis Key),Chevrolet,57.0,47678.0,engine,0.0,9.0
2011,1,Daytona,36.0,17.0,12.0,"Sam Hornish, Jr.",392 Dodge Challenger (Roger Penske),Dodge,53.0,41135.0,crash,0.0,8.0
2011,1,Daytona,37.0,27.0,1.0,Mike Wallace,G&K Services (Johnny Davis),Chevrolet,51.0,47538.0,running,1.0,8.0
2011,1,Daytona,38.0,19.0,2.0,Elliott Sadler,OneMain Financial (Kevin Harvick),Chevrolet,45.0,41010.0,running,0.0,6.0
2011,1,Daytona,39.0,13.0,62.0,Michael Annett,Pilot Travel Centers / Flying J (Rusty Wallace),Toyota,26.0,47428.0,crash,0.0,5.0
2011,1,Daytona,40.0,28.0,44.0,Jeff Green,Floridian View (Mark Smith),Chevrolet,18.0,40910.0,rear gear,0.0,4.0
2011,1,Daytona,41.0,37.0,24.0,Kevin Lepage,RaceDaySponsor.com (Ed Rensi),Ford,12.0,40865.0,vibration,0.0,3.0
2011,1,Daytona,42.0,40.0,27.0,J.R. Fitzpatrick,Schick Hydro / Energizer Canada (Mike Curb),Ford,10.0,47278.0,crash,0.0,2.0
2011,1,Daytona,43.0,32.0,25.0,Kelly Bires,RaceDaySponsor.com (Ed Rensi),Ford,5.0,40721.0,overheating,0.0,1.0
2011,2,Phoenix,1.0,1.0,18.0,Kyle Busch,Interstate Batteries (Joe Gibbs),Toyota,200.0,64550.0,running,200.0,0.0
2011,2,Phoenix,2.0,2.0,60.0,Carl Edwards,Ford Mustang / Ford. Drive one. (Jack Roush),Ford,200.0,51025.0,running,0.0,0.0
2011,2,Phoenix,3.0,9.0,33.0,Kevin Harvick,Rheem / Menards (Kevin Harvick),Chevrolet,200.0,35625.0,running,0.0,0.0
2011,2,Phoenix,4.0,6.0,30.0,Ryan Newman,Dollar General (Steve Turner),Chevrolet,200.0,26175.0,running,0.0,0.0
2011,2,Phoenix,5.0,10.0,32.0,Reed Sorenson,Dollar General (Steve Turner),Chevrolet,200.0,30818.0,running,0.0,39.0
2011,2,Phoenix,6.0,3.0,20.0,Joey Logano,SportClips (Joe Gibbs),Toyota,200.0,19000.0,running,0.0,0.0
