Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2022,1,Daytona,1.0,2.0,21.0,Austin Hill,Bennett Transportation / United Rentals (Richard Childress),Chevrolet,120.0,running,23.0,47.0,5.0
2022,1,Daytona,2.0,11.0,16.0,A.J. Allmendinger,Nutrien Ag Solutions (Matthew Kaulig),Chevrolet,120.0,running,18.0,51.0,0.0
2022,1,Daytona,3.0,14.0,9.0,Noah Gragson,Bass Pro Shop / TrueTimber / BRCC (JR Motorsports),Chevrolet,120.0,running,12.0,40.0,0.0
2022,1,Daytona,4.0,10.0,98.0,Riley Herbst,Monster Energy (Stewart Haas Racing),Ford,120.0,running,0.0,42.0,0.0
2022,1,Daytona,5.0,17.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,120.0,running,0.0,42.0,0.0
2022,1,Daytona,6.0,4.0,2.0,Sheldon Creed,Whelen Engineering (Richard Childress),Chevrolet,120.0,running,0.0,31.0,0.0
2022,1,Daytona,7.0,16.0,23.0,Anthony Alfredo,Dude Wipes (Chris Our),Chevrolet,120.0,running,0.0,30.0,0.0
2022,1,Daytona,8.0,19.0,39.0,Ryan Sieg,CMR Construction & Roofing / A-Game (Rod Sieg),Ford,120.0,running,0.0,41.0,0.0
2022,1,Daytona,9.0,31.0,36.0,Josh Bilicki,Zeigler Auto Group / Elliott's Custom Trailer (Mario Gosselin),Chevrolet,120.0,running,10.0,28.0,0.0
2022,1,Daytona,10.0,13.0,68.0,Brandon Brown,TradeTheChain.com (Jerry Brown),Chevrolet,120.0,running,12.0,34.0,0.0
2022,1,Daytona,11.0,15.0,54.0,Ty Gibbs,Monster Energy (Joe Gibbs),Toyota,120.0,running,3.0,35.0,0.0
2022,1,Daytona,12.0,38.0,26.0,Ryan Truex,Circle B Diecast (Sam Hunt),Toyota,120.0,running,0.0,25.0,0.0
2022,1,Daytona,13.0,21.0,66.0,J.J. Yeley,Remote Health Solutions (Carl Long),Chevrolet,120.0,running,0.0,24.0,0.0
2022,1,Daytona,14.0,6.0,10.0,Landon Cassill,Voyager: Crypto For All (Matthew Kaulig),Chevrolet,120.0,running,0.0,23.0,0.0
2022,1,Daytona,15.0,20.0,24.0,Jeffrey Earnhardt,Forever Lawn (Sam Hunt),Toyota,120.0,running,0.0,22.0,0.0
2022,1,Daytona,16.0,7.0,8.0,Josh Berry,Harrison's USA (JR Motorsports),Chevrolet,120.0,running,1.0,24.0,0.0
2022,1,Daytona,17.0,9.0,19.0,Brandon Jones,Menards / Swiffer (Joe Gibbs),Toyota,120.0,running,0.0,22.0,0.0
2022,1,Daytona,18.0,8.0,6.0,Ryan Vargas,J.D. Motorsports (Johnny Davis),Chevrolet,120.0,running,0.0,19.0,0.0
2022,1,Daytona,19.0,27.0,27.0,Jeb Burton,State Water Heaters (Chris Our),Chevrolet,120.0,running,0.0,18.0,0.0
2022,1,Daytona,20.0,25.0,4.0,Bayley Currey,KSDT CPA (Johnny Davis),Chevrolet,120.0,running,0.0,17.0,0.0
2022,1,Daytona,21.0,36.0,28.0,Kyle Sieg,Night Owl Contractors (Rod Sieg),Ford,120.0,running,0.0,16.0,0.0
2022,1,Daytona,22.0,33.0,31.0,Myatt Snider,Tax Slayer (Jordan Anderson),Chevrolet,119.0,crash,0.0,0.0,0.0
2022,1,Daytona,23.0,3.0,48.0,Jade Buford,Big Machine Spiked Coolers (Scott Borchetta),Chevrolet,119.0,crash,0.0,14.0,0.0
2022,1,Daytona,24.0,32.0,44.0,Tommy Joe Martins,Market Rebellion Rally for Valor (Tommy Joe Martins),Chevrolet,119.0,crash,0.0,13.0,0.0
2022,1,Daytona,25.0,18.0,5.0,Matt Mills,JF Electric (B.J. McLeod),Chevrolet,119.0,crash,0.0,12.0,0.0
2022,1,Daytona,26.0,28.0,53.0,Joey Gase,Kitty Kat Coin (Emerling-Gase Motorsports),Ford,119.0,running,0.0,11.0,0.0
2022,1,Daytona,27.0,30.0,34.0,Jesse Iwuji,Equity Prime Mortgage (Jesse Iwuji),Chevrolet,118.0,running,0.0,10.0,0.0
2022,1,Daytona,28.0,1.0,11.0,Daniel Hemric,AG1 Athletic Greens (Matthew Kaulig),Chevrolet,116.0,running,38.0,29.0,2.0
2022,1,Daytona,29.0,29.0,7.0,Joe Graf Jr,Bucked Up Energy Drink (Bobby Dotter),Ford,110.0,running,3.0,8.0,0.0
2022,1,Daytona,30.0,34.0,1.0,Sam Mayer,Accelerate Pro Talent (JR Motorsports),Chevrolet,105.0,running,0.0,16.0,0.0
2022,1,Daytona,31.0,24.0,78.0,Josh Williams,Alloy Employment Services (B.J. McLeod),Chevrolet,95.0,crash,0.0,6.0,0.0
2022,1,Daytona,32.0,23.0,92.0,Kyle Weatherman,LS Tractor (Mario Gosselin),Chevrolet,91.0,crash,0.0,5.0,0.0
2022,1,Daytona,33.0,37.0,35.0,Shane Lee,Kitty Kat Coin (Emerling-Gase Motorsports),Toyota,91.0,crash,0.0,0.0,0.0
2022,1,Daytona,34.0,5.0,2.0,Brett Moffitt,Hometown Lenders (Chris Our),Chevrolet,91.0,crash,0.0,3.0,0.0
2022,1,Daytona,35.0,26.0,38.0,C.J. McLaughlin,Sci Aps (Rod Sieg),Ford,91.0,crash,0.0,0.0,0.0
2022,1,Daytona,36.0,12.0,18.0,Drew Dollar,Lynx Capital (Joe Gibbs),Toyota,14.0,crash,0.0,1.0,0.0
2022,1,Daytona,37.0,35.0,51.0,Jeremy Clements,All South Electric / One Stop Convenience (Jeremy Clements),Chevrolet,13.0,crash,0.0,1.0,0.0
2022,1,Daytona,38.0,22.0,45.0,Caesar Bacarella,Lilly Finance (Tommy Joe Martins),Chevrolet,11.0,engine,0.0,1.0,0.0
2022,2,Fontana,1.0,2.0,7.0,Cole Custer,Production Alliance Group (Bobby Dotter),Ford,165.0,running,80.0,0.0,0.0
2022,2,Fontana,2.0,6.0,9.0,Noah Gragson,Bass Pro Shops / True Timber / BRCC (JR Motorsports),Chevrolet,165.0,running,25.0,49.0,0.0
2022,2,Fontana,3.0,4.0,18.0,Trevor Bayne,Devotion Nutrition (Joe Gibbs),Toyota,165.0,running,24.0,44.0,1.0
2022,2,Fontana,4.0,11.0,8.0,Josh Berry,PUBG Mobile (JR Motorsports),Chevrolet,165.0,running,0.0,39.0,0.0
2022,2,Fontana,5.0,28.0,23.0,Anthony Alfredo,Dude Wipes (Chris Our),Chevrolet,165.0,running,0.0,32.0,0.0
2022,2,Fontana,6.0,13.0,1.0,Sam Mayer,Accelerate Pros Talent (JR Motorsports),Chevrolet,165.0,running,0.0,35.0,0.0
2022,2,Fontana,7.0,1.0,16.0,A.J. Allmendinger,Nutrien Ag Solutions (Matthew Kaulig),Chevrolet,165.0,running,13.0,39.0,0.0
2022,2,Fontana,8.0,20.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,165.0,running,7.0,45.0,0.0
2022,2,Fontana,9.0,16.0,98.0,Riley Herbst,Monster Energy (Stewart Haas Racing),Ford,165.0,running,0.0,29.0,0.0
2022,2,Fontana,10.0,14.0,39.0,Ryan Sieg,CMRroofing.com / A-Game (Rod Sieg),Ford,165.0,running,0.0,30.0,0.0
2022,2,Fontana,11.0,30.0,68.0,Brandon Brown,TradeTheChain.com (Jerry Brown),Chevrolet,165.0,running,0.0,26.0,0.0
2022,2,Fontana,12.0,5.0,11.0,Daniel Hemric,Poppy Bank (Matthew Kaulig),Chevrolet,165.0,running,10.0,32.0,0.0
2022,2,Fontana,13.0,12.0,54.0,Ty Gibbs,Monster Energy (Joe Gibbs),Toyota,165.0,running,3.0,36.0,0.0
2022,2,Fontana,14.0,21.0,27.0,Jeb Burton,Arrowhead Brass (Chris Our),Chevrolet,165.0,running,0.0,23.0,0.0
2022,2,Fontana,15.0,18.0,38.0,Joe Graf Jr,Tahoe Blue Vodka (Rod Sieg),Ford,165.0,running,0.0,22.0,0.0
2022,2,Fontana,16.0,22.0,92.0,Kyle Weatherman,PORAC (Mario Gosselin),Chevrolet,165.0,running,0.0,21.0,0.0
2022,2,Fontana,17.0,10.0,51.0,Jeremy Clements,First Pacific Funding (Jeremy Clements),Chevrolet,165.0,running,0.0,20.0,0.0
2022,2,Fontana,18.0,38.0,28.0,Kyle Sieg,TopPools.com (Rod Sieg),Ford,165.0,running,0.0,19.0,0.0
2022,2,Fontana,19.0,17.0,2.0,Brett Moffitt,Half Off Wholesale (Chris Our),Chevrolet,165.0,running,0.0,18.0,0.0
2022,2,Fontana,20.0,36.0,35.0,Joey Gase,One Legacy (Emerling-Gase Motorsports),Toyota,165.0,running,0.0,17.0,0.0
2022,2,Fontana,21.0,34.0,78.0,Josh Williams,American Iron Rentals / I.M.S. (B.J. McLeod),Chevrolet,165.0,running,0.0,16.0,0.0
2022,2,Fontana,22.0,24.0,66.0,J.J. Yeley,Remote Health Solutions (Carl Long),Toyota,165.0,running,0.0,15.0,0.0
2022,2,Fontana,23.0,25.0,5.0,Matt Mills,J.F. Electric (B.J. McLeod),Chevrolet,165.0,running,0.0,14.0,0.0
2022,2,Fontana,24.0,19.0,36.0,Alex Labbe,Southwest Site Services (Mario Gosselin),Chevrolet,165.0,running,0.0,13.0,0.0
2022,2,Fontana,25.0,29.0,45.0,Kaz Grala,Lilly Finance / Ruedebusch (Tommy Joe Martins),Chevrolet,163.0,running,0.0,0.0,0.0
2022,2,Fontana,26.0,31.0,31.0,Myatt Snider,Tax Slayer (Jordan Anderson),Chevrolet,163.0,running,0.0,11.0,0.0
2022,2,Fontana,27.0,8.0,21.0,Austin Hill,Bennett Transportation & Logistics (Richard Childress),Chevrolet,162.0,running,0.0,10.0,0.0
2022,2,Fontana,28.0,33.0,91.0,Mason Massey,Brunt Workwear (Mario Gosselin),Chevrolet,162.0,running,0.0,9.0,0.0
2022,2,Fontana,29.0,37.0,26.0,Jeffrey Earnhardt,Forever Lawn / Harvest (Sam Hunt),Toyota,161.0,running,0.0,8.0,0.0
2022,2,Fontana,30.0,23.0,99.0,Stefan Parsons,SOKAL (B.J. McLeod),Chevrolet,159.0,crash,0.0,7.0,0.0
2022,2,Fontana,31.0,27.0,44.0,Tommy Joe Martins,Market Rebellion (Tommy Joe Martins),Chevrolet,158.0,running,0.0,6.0,0.0
2022,2,Fontana,32.0,9.0,2.0,Sheldon Creed,Whelen (Richard Childress),Chevrolet,156.0,crash,0.0,5.0,0.0
2022,2,Fontana,33.0,3.0,19.0,Brandon Jones,Menards / Patroit Lighting (Joe Gibbs),Toyota,155.0,crash,3.0,13.0,0.0
2022,2,Fontana,34.0,26.0,4.0,Bayley Currey,KSDT CPA (Johnny Davis),Chevrolet,154.0,running,0.0,3.0,0.0
2022,2,Fontana,35.0,32.0,6.0,Ryan Vargas,Swann Security (Johnny Davis),Chevrolet,150.0,crash,0.0,2.0,0.0
2022,2,Fontana,36.0,35.0,34.0,Jesse Iwuji,Chevy Truck Month (Jesse Iwuji),Chevrolet,131.0,running,0.0,1.0,0.0
2022,2,Fontana,37.0,15.0,48.0,Jade Buford,Big Machine Spiked Coolers (Scott Borchetta),Chevrolet,123.0,crash,0.0,1.0,0.0
2022,2,Fontana,38.0,7.0,10.0,Landon Cassill,Carnomaly (Matthew Kaulig),Chevrolet,6.0,engine,0.0,1.0,0.0
2022,3,Las Vegas,1.0,11.0,54.0,Ty Gibbs,Monster Energy (Joe Gibbs),Toyota,200.0,running,6.0,56.0,5.0
2022,3,Las Vegas,2.0,4.0,9.0,Noah Gragson,Bass Pro Shops / True Timber / BRCC (JR Motorsports),Chevrolet,200.0,running,52.0,55.0,2.0
2022,3,Las Vegas,3.0,6.0,11.0,Daniel Hemric,South Point (Matthew Kaulig),Chevrolet,200.0,running,0.0,42.0,0.0
2022,3,Las Vegas,4.0,2.0,8.0,Josh Berry,Tire Pros (JR Motorsports),Chevrolet,200.0,running,0.0,45.0,0.0
2022,3,Las Vegas,5.0,16.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,200.0,running,62.0,33.0,0.0
2022,3,Las Vegas,6.0,5.0,10.0,Landon Cassill,StormX (Matthew Kaulig),Chevrolet,200.0,running,0.0,31.0,0.0
2022,3,Las Vegas,7.0,8.0,2.0,Sheldon Creed,Whelen (Richard Childress),Chevrolet,200.0,running,5.0,30.0,0.0
2022,3,Las Vegas,8.0,13.0,2.0,Brett Moffitt,Half Off Wholesale (Chris Our),Chevrolet,200.0,running,0.0,29.0,0.0
2022,3,Las Vegas,9.0,1.0,16.0,A.J. Allmendinger,Action Industries (Matthew Kaulig),Chevrolet,200.0,running,32.0,33.0,0.0
