owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Athens Paper,2,0,0.0,26.0,17,35,30.0,19,41,0.0,0,0,73.0,,3600,1800,2390,1210
Auto Palace,5,0,0.0,27.6,21,44,23.2,8,41,0.0,0,0,94.0,,21310,4262,6800,3150
Auto Palace / AC Delco,1,0,0.0,28.0,28,28,11.0,11,11,25.0,25,25,130.0,,2683,2683,2683,2683
Auto Parts Centres,1,0,0.0,18.0,18,18,10.0,10,10,9.0,9,9,0.0,0.0,0,,,
Automatic Curb,1,0,0.0,38.0,38,38,24.0,24,24,0.0,0,0,91.0,,2103,2103,2103,2103
Automotive Contacts,1,0,0.0,30.0,30,30,29.0,29,29,0.0,0,0,0.0,,680,680,680,680
Autosport Custom Vans,1,0,0.0,14.0,14,14,24.0,24,24,0.0,0,0,91.0,,1280,1280,1280,1280
B.J. McLeod,611,0,0.0,29.4,2,40,26.28,4,40,0.22,137,60,10.45,0.0,0,,,
BBC Racing,1,0,0.0,16.0,16,16,22.0,22,22,0.0,0,0,0.0,,675,675,675,675
Bailey / Temple,2,0,0.0,26.5,21,32,18.0,15,21,0.0,0,0,109.0,,2605,1303,1675,930
Bailey Racing,1,0,0.0,19.0,19,19,21.0,21,21,0.0,0,0,100.0,,900,900,900,900
Bama Foods,2,0,0.0,33.5,33,34,28.5,23,34,0.0,0,0,77.5,,1613,807,1188,425
Bama Preserves,1,0,0.0,18.0,18,18,39.0,39,39,0.0,0,0,46.0,,525,525,525,525
Banning Pontiac,7,0,0.0,28.14,23,38,22.57,11,37,0.0,0,0,80.57,,5945,849,2460,230
Banquet Foods,3,0,0.0,24.67,17,38,28.67,22,33,0.0,0,0,77.0,,2945,982,1900,420
Banquet Frozen Foods,2,0,0.0,20.5,10,31,40.5,39,42,0.0,0,0,41.5,,1280,640,880,400
Barnette Performance,1,0,0.0,27.0,27,27,17.0,17,17,0.0,0,0,112.0,,1130,1130,1130,1130
Barney Visser,19,0,0.0,30.26,14,43,34.05,22,42,0.0,0,0,60.84,,322060,16951,21700,12590
Barry Bostick,3,0,0.0,27.33,14,36,35.0,28,41,0.0,0,0,58.0,,7510,2503,2660,2380
Barry Cray,4,0,0.0,22.75,18,28,26.0,21,29,0.0,0,0,85.0,,2285,571,625,500
Barry Owen,116,3,0.02586,20.41,2,42,18.34,1,42,5.21,604,148,110.0,,540957,4663,20300,1115
Barry Tudor,2,0,0.0,35.0,33,37,33.0,30,36,0.0,0,0,64.0,,30630,15315,15480,15150
Bart Walker,13,0,0.0,30.46,13,42,31.85,23,42,0.0,0,0,67.46,,66935,5149,11700,1655
Bates Trucking,1,0,0.0,19.0,19,19,17.0,17,17,0.0,0,0,112.0,,1390,1390,1390,1390
Baugess Racing,3,0,0.0,34.0,30,36,31.33,28,34,0.0,0,0,69.0,,1435,478,535,425
Beard Motorsports,11,0,0.0,27.82,16,39,22.64,16,31,0.0,0,0,95.09,,18381,1671,8896,500
Beau Petty,7,0,0.0,24.71,12,36,35.57,31,43,0.0,0,0,56.29,,58940,8420,12405,6735
Beauregard Racing,1,0,0.0,37.0,37,37,38.0,38,38,0.0,0,0,49.0,,690,690,690,690
Beauregard Racing / CHC,1,0,0.0,29.0,29,29,17.0,17,17,0.0,0,0,112.0,,710,710,710,710
Beauregard's,5,0,0.0,26.8,20,36,25.0,19,35,0.0,0,0,88.0,,4090,818,1975,395
Beauregard's Deli,4,0,0.0,32.75,25,39,26.25,21,39,0.0,0,0,72.75,,4410,1103,1900,755
