Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2021,1,Daytona,1.0,1.0,22.0,Austin Cindric,Verizon 5G (Roger Penske),Ford,122.0,running,28.0,55.0,5.0
2021,1,Daytona,2.0,15.0,2.0,Brett Moffitt,Fr8 Auctions (Chris Our),Chevrolet,122.0,running,6.0,0.0,0.0
2021,1,Daytona,3.0,8.0,20.0,Harrison Burton,Dex Imaging (Joe Gibbs),Toyota,122.0,running,28.0,37.0,0.0
2021,1,Daytona,4.0,7.0,10.0,Jeb Burton,Nutrien Ag Solutions (Matthew Kaulig),Chevrolet,122.0,running,0.0,33.0,0.0
2021,1,Daytona,5.0,31.0,16.0,A.J. Allmendinger,Ellsworth Advisors (Matthew Kaulig),Chevrolet,122.0,running,0.0,32.0,0.0
2021,1,Daytona,6.0,14.0,68.0,Brandon Brown,Original Larry's Hard Lemonade (Jerry Brown),Chevrolet,122.0,running,1.0,38.0,0.0
2021,1,Daytona,7.0,11.0,2.0,Myatt Snider,Tax Slayer (Richard Childress),Chevrolet,122.0,running,0.0,33.0,0.0
2021,1,Daytona,8.0,39.0,26.0,Brandon Gdovic,Toyota Racing (Sam Hunt),Toyota,122.0,running,0.0,29.0,0.0
2021,1,Daytona,9.0,12.0,18.0,Daniel Hemric,Poppy Bank (Joe Gibbs),Toyota,122.0,running,0.0,33.0,0.0
2021,1,Daytona,10.0,40.0,23.0,Jason White,A-Game Energy (Rod Sieg),Ford,122.0,running,0.0,27.0,0.0
2021,1,Daytona,11.0,18.0,7.0,Joe Graf Jr,Bucked Up Energy (Bobby Dotter),Chevrolet,122.0,running,0.0,26.0,0.0
2021,1,Daytona,12.0,38.0,90.0,Caesar Bacarella,Maxim / AP Sport Regimen (Mario Gosselin),Chevrolet,122.0,running,0.0,25.0,0.0
2021,1,Daytona,13.0,36.0,99.0,Stefan Parsons,Sokal Digital (B.J. McLeod),Chevrolet,122.0,running,0.0,24.0,0.0
2021,1,Daytona,14.0,32.0,54.0,Ty Dillon,Bass Pro Shops / Tracker Boats & ATVs (Joe Gibbs),Toyota,122.0,running,2.0,40.0,0.0
2021,1,Daytona,15.0,34.0,47.0,Kyle Weatherman,Axe Crossbows (Mike Harmon),Chevrolet,122.0,running,0.0,22.0,0.0
2021,1,Daytona,16.0,27.0,5.0,Matt Mills,J.F. Electric (B.J. McLeod),Chevrolet,122.0,running,0.0,21.0,0.0
2021,1,Daytona,17.0,24.0,78.0,Jesse Little,Shriners Hospitals 4 Children (B.J. McLeod),Chevrolet,122.0,running,0.0,20.0,0.0
2021,1,Daytona,18.0,21.0,6.0,Ryan Vargas,Swann Communications (Johnny Davis),Chevrolet,122.0,running,0.0,19.0,0.0
2021,1,Daytona,19.0,28.0,48.0,Danny Bohn,North American Motor Car (Scott Borchetta),Chevrolet,122.0,running,0.0,0.0,0.0
2021,1,Daytona,20.0,37.0,66.0,Timmy Hill,VSI Racing / Ripper Magoos / Draft Kings (Carl Long),Ford,121.0,running,4.0,17.0,0.0
2021,1,Daytona,21.0,17.0,92.0,Josh Williams,Alloy Employer / Sleep Well (Mario Gosselin),Chevrolet,120.0,running,0.0,16.0,0.0
2021,1,Daytona,22.0,16.0,51.0,Jeremy Clements,All South Electric (Jeremy Clements),Chevrolet,120.0,running,0.0,19.0,0.0
2021,1,Daytona,23.0,33.0,4.0,Landon Cassill,Blue Emu (Johnny Davis),Chevrolet,114.0,crash,0.0,14.0,0.0
2021,1,Daytona,24.0,22.0,44.0,Tommy Joe Martins,AAN Adjusters (Tommy Joe Martins),Chevrolet,114.0,crash,0.0,13.0,0.0
