Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
2010,1,Daytona,1.0,32.0,4.0,Tony Stewart,Ritz Crackers (Kevin Harvick),Chevrolet,120.0,117295.0,running,38.0,195.0
2010,1,Daytona,2.0,2.0,60.0,Carl Edwards,Fastenal (Jack Roush),Ford,120.0,88175.0,running,5.0,175.0
2010,1,Daytona,3.0,4.0,33.0,Kevin Harvick,Jimmy John's Gourmet Sandwiches (Kevin Harvick),Chevrolet,120.0,74350.0,running,37.0,170.0
2010,1,Daytona,4.0,12.0,12.0,Justin Allgaier,Verizon Wireless (Roger Penske),Dodge,120.0,71168.0,running,0.0,160.0
2010,1,Daytona,5.0,7.0,32.0,Brian Vickers,Dollar General (Todd Braun),Toyota,120.0,61810.0,running,0.0,155.0
2010,1,Daytona,6.0,43.0,98.0,Paul Menard,Menards / Peak Anti-Freeze (Jack Roush),Ford,120.0,57185.0,running,0.0,150.0
2010,1,Daytona,7.0,6.0,20.0,Joey Logano,GameStop (Joe Gibbs),Toyota,120.0,54810.0,running,0.0,146.0
2010,1,Daytona,8.0,11.0,1.0,James Buescher,Phoenix Racing (James Finch),Chevrolet,120.0,64403.0,running,0.0,142.0
2010,1,Daytona,9.0,8.0,38.0,Kasey Kahne,Great Clips (Todd Braun),Toyota,120.0,52185.0,running,0.0,138.0
2010,1,Daytona,10.0,13.0,66.0,Steve Wallace,5 Hour Energy (Rusty Wallace),Toyota,120.0,58003.0,running,3.0,139.0
2010,1,Daytona,11.0,28.0,26.0,Brian Keselowski,K-Automotive Motorsports (Bob Keselowski),Dodge,120.0,57903.0,running,0.0,130.0
2010,1,Daytona,12.0,18.0,15.0,Michael Annett,Pilot Travel Centers (Germain Racing),Toyota,120.0,56228.0,running,0.0,127.0
2010,1,Daytona,13.0,24.0,22.0,Brad Keselowski,Discount Tire (Roger Penske),Dodge,120.0,55753.0,running,3.0,129.0
2010,1,Daytona,14.0,20.0,34.0,Tony Raines,Long John Silver's (Mark Smith),Chevrolet,120.0,55828.0,running,3.0,126.0
2010,1,Daytona,15.0,39.0,9.0,Scott Riggs,RAB Racing (Robby Benton),Ford,120.0,55978.0,running,0.0,118.0
2010,1,Daytona,16.0,19.0,28.0,Kenny Wallace,Blue Ox Hitches & Trailers (Jay Robinson),Chevrolet,120.0,54828.0,running,0.0,115.0
2010,1,Daytona,17.0,26.0,24.0,Eric McClure,Hefty (Ed Rensi),Ford,120.0,56778.0,running,1.0,117.0
2010,1,Daytona,18.0,1.0,18.0,Kyle Busch,Interstate Batteries (Joe Gibbs),Toyota,120.0,48985.0,running,10.0,114.0
2010,1,Daytona,19.0,37.0,11.0,Brian Scott,StopRepairBills.com (Todd Braun),Toyota,120.0,47860.0,running,0.0,106.0
2010,1,Daytona,20.0,42.0,5.0,Bobby Gerhart,Lucas Oil (Bob Schacht),Chevrolet,120.0,49085.0,running,0.0,103.0
2010,1,Daytona,21.0,36.0,2.0,Danny Efland,carlocate.com (Corrie Stott),Chevrolet,120.0,47610.0,running,0.0,100.0
2010,1,Daytona,22.0,40.0,89.0,Morgan Shepherd,Fans For Faith / Lagina Plumbing / Lockman's (Morgan Shepherd),Chevrolet,118.0,53953.0,running,0.0,97.0
2010,1,Daytona,23.0,5.0,21.0,John Wes Townley,Zaxby's (Richard Childress),Chevrolet,118.0,54178.0,running,0.0,94.0
2010,1,Daytona,24.0,25.0,81.0,Michael McDowell,D.H. Griffin Companies (Pat MacDonald),Dodge,113.0,53653.0,running,0.0,91.0
2010,1,Daytona,25.0,27.0,23.0,"Robert Richardson, Jr.","Mahindra Tractors (Robert Richardson, Sr.)",Chevrolet,106.0,53978.0,running,0.0,88.0
2010,1,Daytona,26.0,31.0,27.0,Greg Biffle,Red Man Moist Snuff (Mike Curb),Ford,97.0,46935.0,crash,9.0,90.0
2010,1,Daytona,27.0,33.0,5.0,Jeff Green,Tobacco Free Florida / 31-W Insulation (Wayne Day),Chevrolet,92.0,46835.0,crash,0.0,82.0
2010,1,Daytona,28.0,23.0,1.0,Mike Wallace,Kendrick Meek for Florida (Johnny Davis),Chevrolet,92.0,53628.0,crash,1.0,84.0
