driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Walker Evans,41,0,0.0,0,0.0,4,0.09756,17,0.41463,24.17,10,37,22.29,9,37,0.0,0,0,163350,3984,7350,1200
"Wally Dallenbach, Jr.",2,0,0.0,1,0.5,1,0.5,1,0.5,6.0,3,9,13.5,2,25,0.0,0,0,21025,10513,17050,3975
Ward Burton,1,0,0.0,0,0.0,1,1.0,1,1.0,25.0,25,25,8.0,8,8,0.0,0,0,16425,16425,16425,16425
Wayne Anderson,23,0,0.0,0,0.0,2,0.08696,9,0.3913,27.04,11,36,22.26,9,34,0.39,9,9,158880,6908,11500,4415
Wayne Edwards,78,0,0.0,0,0.0,1,0.01282,6,0.07692,31.95,20,36,28.76,9,36,0.0,0,0,686809,9157,17850,5020
Wayne Grubb,7,0,0.0,0,0.0,0,0.0,1,0.14286,23.43,13,32,26.43,18,36,0.0,0,0,34000,4857,6100,3750
Wayne Jacks,8,0,0.0,0,0.0,0,0.0,4,0.5,22.63,8,36,23.0,14,34,0.0,0,0,19545,2792,4895,1425
Wendell Chavous,50,0,0.0,1,0.02,1,0.02,22,0.44,26.26,16,36,20.92,5,31,0.06,3,2,120112,12011,18093,7125
Wes Burton,12,0,0.0,0,0.0,0,0.0,1,0.08333,28.17,16,36,27.58,20,35,0.0,0,0,98060,8172,10450,7050
Wheeler Boys,3,0,0.0,0,0.0,0,0.0,0,0.0,32.33,25,36,29.67,26,35,0.0,0,0,25140,8380,10680,6255
Will Kimmel,1,0,0.0,0,0.0,0,0.0,0,0.0,36.0,36,36,21.0,21,21,0.0,0,0,8250,8250,8250,8250
Will Rodgers,5,0,0.0,0,0.0,0,0.0,0,0.0,27.6,16,34,28.4,21,39,0.0,0,0,0,,,
William Byron,29,8,0.27586,14,0.48276,19,0.65517,24,0.82759,6.97,1,32,10.24,1,36,28.9,838,161,9768,9768,9768,9768
William Sawalich,6,0,0.0,0,0.0,3,0.5,3,0.5,10.67,3,22,18.0,6,30,0.0,0,0,0,,,
Willie Allen,35,0,0.0,0,0.0,2,0.05714,15,0.42857,20.14,4,36,21.46,6,34,0.83,29,23,358575,10866,19650,6550
Willie Green,1,0,0.0,0,0.0,0,0.0,0,0.0,33.0,33,33,33.0,33,33,0.0,0,0,5515,5515,5515,5515
Willy T. Ribbs,23,0,0.0,0,0.0,0,0.0,14,0.6087,22.65,3,33,21.43,13,30,0.0,0,0,201840,8776,11665,5340
Zane Smith,92,9,0.09783,35,0.38043,57,0.61957,75,0.81522,9.22,1,36,11.42,1,40,13.33,1226,108,0,,,
