season,race,site,track,track_length,track_type,finish,start,driver,manufacturer,truck_number,owner,sponsor,win,top_5,top_10,top_20,laps,laps_led,status,money,pts,playoff_pts
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,1,16,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,1,1,1,1,80,30,running,15750.0,180,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,2,3,Terry Labonte,Chevrolet,5.0,Rick Hendrick,DuPont Refinishes,0,1,1,1,80,24,running,12700.0,170,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,3,2,Ken Schrader,Chevrolet,52.0,Ken Schrader,AC Delco,0,1,1,1,80,0,running,6850.0,165,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,4,5,Joe Bessey,Dodge,30.0,Grier Lackey,Taylor Togs,0,1,1,1,80,0,running,3700.0,160,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,5,9,Geoffrey Bodine,Ford,7.0,Geoffrey Bodine,Exide Batteries,0,1,1,1,80,0,running,3700.0,155,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,6,15,Jack Sprague,Chevrolet,31.0,Bruce Griffin,Performance Race Cars USA,0,0,1,1,80,0,running,2900.0,150,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,7,17,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes,0,0,1,1,80,0,running,2850.0,146,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,8,7,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,0,0,1,1,80,0,running,2800.0,142,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,9,1,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",RCCA Products,0,0,1,1,80,26,running,2750.0,138,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,10,4,"Johnny Benson, Jr.",Chevrolet,18.0,Kurt Roehrig,Hella Lights / Performance Friction,0,0,1,1,80,0,running,2900.0,134,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,11,10,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Refinishes,0,0,0,1,80,0,running,2650.0,130,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,12,13,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,0,0,0,1,80,0,running,2600.0,127,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,13,32,John Nemechek,Chevrolet,89.0,John Redding,Redding Race Cars,0,0,0,1,80,0,running,2550.0,124,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,14,11,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,0,0,0,1,80,0,running,2500.0,121,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,15,20,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,0,0,0,1,80,0,running,2450.0,118,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,16,14,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,0,0,0,1,80,0,running,2400.0,115,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,17,12,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,0,0,0,1,80,0,running,2300.0,112,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,18,21,Tommy Archer,Ford,3.0,Tommy Archer,Archer Motorsports,0,0,0,1,80,0,running,2200.0,109,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,19,22,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Pro Cal,0,0,0,1,80,0,running,2100.0,106,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,20,18,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,0,0,0,1,79,0,running,2075.0,103,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,21,6,Roger Mears,Chevrolet,25.0,Rick Hendrick,Budweiser,0,0,0,0,79,0,running,1825.0,100,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,22,23,Bob Keselowski,Dodge,29.0,Ron Keselowski,Galeana's / Mopar Performance / Winnebago,0,0,0,0,79,0,running,1800.0,97,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,23,27,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Motorsports,0,0,0,0,79,0,running,1625.0,94,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,24,8,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,0,0,0,0,78,0,engine,1600.0,91,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,25,19,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,0,0,0,0,78,0,running,1425.0,88,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,26,30,Mike Hurlbert,Ford,11.0,Mike Hurlbert,Lawson / Jim's Tires,0,0,0,0,76,0,running,1400.0,85,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,27,25,Jerry Glanville,Ford,81.0,Jerry Glanville,Glanville Motorsports,0,0,0,0,76,0,running,1225.0,82,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,28,26,Steve McEachern,Chevrolet,54.0,Steve McEachern,McEachern Racing,0,0,0,0,74,0,running,1200.0,79,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,29,28,Walker Evans,Dodge,20.0,Walker Evans,Barbary Coast,0,0,0,0,51,0,valve,1200.0,76,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,30,24,Troy Beebe,Chevrolet,10.0,Alex Decuir,Taco Bell,0,0,0,0,31,0,suspension,1200.0,73,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,31,31,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,0,0,0,0,30,0,engine,1200.0,70,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,32,29,T.J. Clark,Ford,23.0,T.J. Clark,ASE / American Racing Wheels,0,0,0,0,22,0,crash,1200.0,67,
1995,1,Phoenix,Phoenix International Raceway,1.0,paved track,33,33,John Borneman,Chevrolet,8.0,John Borneman,MJ Soffe,0,0,0,0,22,0,crash,1200.0,64,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,1,6,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Action Die-Cast,1,1,1,1,203,102,running,28750.0,180,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,2,7,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,0,1,1,1,203,0,running,15100.0,170,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,3,13,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,0,1,1,1,203,0,running,9500.0,165,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,4,2,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,0,1,1,1,203,53,running,4000.0,160,
