owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Andy Campbell,1996,4,0,0,1,3,0.0,4,0.0,28.25,15.75,0.0,0
Arne Henriksen,1996,1,0,0,0,0,0.0,1,0.0,29.0,32.0,0.0,0
Bernie Cox,1996,1,0,0,0,0,0.0,1,0.0,27.0,26.0,0.0,0
Bill Elliott,1996,7,0,1,3,5,0.0,7,0.0,10.86,15.14,4.86,34
Bill Stroppe,1996,6,0,0,0,1,0.0,6,0.0,23.83,23.0,0.0,0
Billy Ballew,1996,16,0,0,1,9,0.0,16,0.0,23.63,19.38,0.0,0
"Billy Ogle, Jr.",1996,1,0,0,0,1,0.0,1,0.0,29.0,19.0,0.0,0
Bob Best,1996,11,0,0,4,7,0.0,11,0.0,18.36,16.18,3.55,39
Bob Blake,1996,4,0,0,0,0,0.0,4,0.0,20.75,24.75,0.0,0
Bob Brevak,1996,24,0,0,0,11,0.0,25,0.0,28.88,20.96,0.0,0
Bobby Gerhart,1996,3,0,0,0,1,0.0,3,0.0,26.0,22.67,0.0,0
Carl Wegner,1996,1,0,0,0,1,0.0,1,0.0,30.0,20.0,0.0,0
Carlos Serrano,1996,3,0,0,0,1,0.0,3,0.0,29.67,21.0,0.0,0
Cathy Venturini,1996,1,0,0,0,0,0.0,1,0.0,34.0,31.0,0.0,0
Charles Zahn,1996,1,0,0,0,0,0.0,1,0.0,23.0,31.0,0.0,0
Cheryl Cox,1996,2,0,0,1,1,0.0,2,0.0,26.5,19.5,0.0,0
Chuck Spicer,1996,3,0,0,0,0,0.0,3,0.0,14.33,29.33,38.67,116
Courtney Register,1996,3,0,0,0,0,0.0,3,0.0,24.0,25.67,0.0,0
"Dale Earnhardt, Inc.",1996,24,4,18,23,24,0.16667,25,0.16,8.16,4.96,33.32,833
Dan Obrist,1996,1,0,0,0,0,0.0,1,0.0,28.0,22.0,0.0,0
Dan Press,1996,6,0,1,1,2,0.0,6,0.0,18.83,21.33,0.0,0
Darrell Waltrip,1996,24,0,4,12,20,0.0,29,0.0,17.66,15.86,0.28,8
David Dollar,1996,1,0,0,0,0,0.0,1,0.0,34.0,33.0,0.0,0
DeWilton Genzman,1996,3,0,0,0,3,0.0,3,0.0,31.0,18.33,0.0,0
Del Markle,1996,1,0,0,0,0,0.0,1,0.0,25.0,35.0,0.0,0
"Doug Thorpe, Jr.",1996,1,0,0,0,0,0.0,1,0.0,28.0,25.0,0.0,0
Duke Thorson,1996,3,0,0,0,1,0.0,3,0.0,25.0,19.33,0.0,0
Felix Sabates,1996,8,0,2,5,7,0.0,8,0.0,8.75,10.0,0.0,0
Gary Miller,1996,1,0,0,0,0,0.0,1,0.0,36.0,36.0,0.0,0
Geoffrey Bodine,1996,24,3,8,14,21,0.125,30,0.1,15.4,14.1,3.67,110
Gina Cope,1996,4,0,0,0,1,0.0,4,0.0,19.5,26.25,0.0,0
Greg Turnage,1996,7,0,0,0,1,0.0,7,0.0,15.29,24.71,0.0,0
Grier Lackey,1996,24,0,5,14,19,0.0,26,0.0,8.38,14.35,3.96,103
Harry Johnson,1996,7,0,0,0,2,0.0,7,0.0,29.43,24.57,0.0,0
Jack Roush,1996,24,1,11,22,28,0.04167,32,0.03125,11.19,10.16,6.53,209
Jerry Glanville,1996,5,0,0,0,2,0.0,5,0.0,29.8,20.0,0.0,0
Jim Herrick,1996,24,0,8,11,18,0.0,25,0.0,9.48,13.6,1.28,32
Jim Rosenblum,1996,3,0,0,0,2,0.0,3,0.0,31.67,21.33,0.0,0
Jim Smith,1996,24,2,10,12,20,0.08333,25,0.08,8.16,11.28,13.88,347
Jim Spicuzza,1996,1,0,0,0,0,0.0,1,0.0,33.0,31.0,0.0,0
Jim Venable,1996,24,0,1,8,19,0.0,24,0.0,21.5,14.67,0.0,0
Jimmy Davis,1996,1,0,0,0,0,0.0,1,0.0,32.0,33.0,0.0,0
Joe Bessey,1996,1,0,0,1,1,0.0,1,0.0,4.0,6.0,0.0,0
