owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Marty Walsh,1998,2,0,0,0,0,0.0,2,0.0,29.5,33.0,0.0,0
Michael Waltrip,1998,1,0,0,0,0,0.0,1,0.0,31.0,31.0,0.0,0
Mike Addington,1998,27,1,6,9,19,0.03704,27,0.03704,17.3,15.93,3.81,103
Mike Clark,1998,3,0,0,0,0,0.0,4,0.0,26.25,28.25,0.0,0
Mike Farris,1998,2,0,0,0,0,0.0,2,0.0,34.0,28.0,0.0,0
Mike Mittler,1998,13,0,0,0,2,0.0,13,0.0,27.77,27.54,0.0,0
Mike Skinner,1998,4,0,1,2,3,0.0,4,0.0,12.0,14.5,1.0,4
Mike Thompson,1998,1,0,0,0,0,0.0,1,0.0,28.0,23.0,0.0,0
Milan Garrett,1998,3,0,0,0,1,0.0,3,0.0,31.33,28.0,0.0,0
Petty Enterprises,1998,27,1,9,15,22,0.03704,27,0.03704,16.93,11.78,8.15,220
Phil Bonifield,1998,11,0,0,0,4,0.0,11,0.0,26.55,26.55,0.0,0
Raynard McGlynn,1998,2,0,0,0,0,0.0,2,0.0,34.5,28.5,0.0,0
Richard Childress,1998,27,1,7,14,25,0.03704,27,0.03704,12.48,10.37,4.19,113
Rick Hendrick,1998,27,5,16,23,25,0.18519,27,0.18519,6.15,6.93,31.0,837
Rick McCray,1998,6,0,0,0,0,0.0,6,0.0,27.33,28.67,0.0,0
"Ron Hornaday, Jr.",1998,2,0,0,0,0,0.0,2,0.0,36.5,28.0,0.0,0
Ron Keselowski,1998,27,1,1,8,19,0.03704,28,0.03571,20.57,16.0,1.18,33
Ron Norick,1998,27,0,2,10,27,0.0,53,0.0,23.13,19.81,0.13,7
Sammy Potashnick,1998,3,0,0,0,1,0.0,3,0.0,28.67,25.33,0.0,0
Steve Coulter,1998,26,0,3,11,17,0.0,26,0.0,16.27,16.23,2.58,67
Steve Lucore,1998,5,0,0,0,0,0.0,5,0.0,31.4,25.6,0.0,0
Tammy Jo Kirk,1998,13,0,0,0,6,0.0,13,0.0,26.23,23.77,0.0,0
Thee Dixon,1998,1,0,0,0,0,0.0,1,0.0,21.0,31.0,0.0,0
Tim Beverley,1998,3,0,0,0,2,0.0,3,0.0,4.67,18.67,0.0,0
Tim Buckley,1998,1,0,0,0,0,0.0,1,0.0,25.0,26.0,0.0,0
Tom Gloy,1998,27,0,1,4,19,0.0,27,0.0,21.67,18.04,0.0,0
Tom Mitchell,1998,27,1,4,5,15,0.03704,27,0.03704,14.0,18.44,1.15,31
Walker Evans,1998,2,0,0,0,0,0.0,2,0.0,34.5,32.5,0.0,0
Wayne Jacks,1998,1,0,0,0,0,0.0,1,0.0,31.0,30.0,0.0,0
Wayne Spears,1998,27,0,3,5,19,0.0,27,0.0,17.44,16.59,0.67,18
Wilbur Bunce,1998,2,0,0,0,0,0.0,2,0.0,25.5,32.0,0.0,0
William Rose,1998,2,0,0,0,2,0.0,2,0.0,28.0,18.0,0.0,0
Wilson Bagwell,1998,2,0,0,0,0,0.0,2,0.0,32.5,31.0,0.0,0
Allen Reyen,1999,5,0,0,0,3,0.0,5,0.0,22.4,23.4,0.0,0
Andy Campbell,1999,2,0,0,0,0,0.0,2,0.0,27.5,31.5,0.0,0
Auggie Vidovich,1999,2,0,0,0,0,0.0,2,0.0,26.0,26.0,0.0,0
B.A. Wilson,1999,7,0,0,0,2,0.0,7,0.0,20.86,25.14,0.0,0
Billy Ballew,1999,1,0,0,0,1,0.0,1,0.0,30.0,14.0,0.0,0
Bob Brevak,1999,25,0,2,7,13,0.0,25,0.0,20.6,17.76,0.0,0
Bob Keselowski,1999,25,3,11,19,22,0.12,25,0.12,9.96,8.72,17.08,427
Bobby Hamilton Racing,1999,25,0,4,14,20,0.0,32,0.0,12.44,15.34,2.97,95
Bobby Sands,1999,1,0,0,0,0,0.0,1,0.0,34.0,27.0,0.0,0
Bow Carpenter,1999,1,0,0,0,0,0.0,1,0.0,34.0,28.0,0.0,0
"Dale Earnhardt, Inc.",1999,25,2,7,16,20,0.08,25,0.08,8.24,10.92,37.72,943
Dale Phelon,1999,25,0,1,9,20,0.0,25,0.0,20.32,13.84,0.0,0
Dan Selznick,1999,3,0,0,0,3,0.0,3,0.0,24.33,18.33,0.0,0
David Dollar,1999,25,0,1,1,9,0.0,26,0.0,23.38,22.12,0.04,1
David Hodson,1999,25,0,14,27,44,0.0,50,0.0,8.74,10.86,6.82,341
Dennis Sockwell,1999,3,0,0,0,1,0.0,3,0.0,25.33,23.0,0.0,0
Dick Greenfield,1999,2,0,0,0,2,0.0,2,0.0,12.5,15.5,0.0,0
Dominic Dobson,1999,1,0,0,0,0,0.0,1,0.0,32.0,25.0,0.0,0
Duke Thorson,1999,25,0,1,3,19,0.0,26,0.0,17.46,17.42,0.58,15
Fred Horn,1999,3,0,0,0,0,0.0,3,0.0,28.0,33.0,0.0,0
Harold Steele,1999,13,0,0,1,7,0.0,13,0.0,22.62,19.0,3.46,45
Jack Roush,1999,25,10,20,32,43,0.4,50,0.2,7.64,9.42,13.72,686
James Liguori,1999,5,0,0,0,1,0.0,5,0.0,29.4,24.2,0.0,0
Jay Miller,1999,1,0,0,0,0,0.0,1,0.0,33.0,29.0,0.0,0
Jeff Spraker,1999,1,0,0,0,0,0.0,1,0.0,27.0,28.0,0.0,0
Jerry Glanville,1999,4,0,0,0,0,0.0,4,0.0,28.75,25.0,0.0,0
Jerry Gunderman,1999,1,0,0,0,1,0.0,1,0.0,22.0,19.0,0.0,0
Jerry Mueller,1999,2,0,0,0,0,0.0,2,0.0,28.5,26.0,0.0,0
Jim Herrick,1999,25,0,6,11,18,0.0,25,0.0,11.2,14.04,8.56,214
Jim Rosenblum,1999,1,0,0,0,0,0.0,1,0.0,28.0,28.0,0.0,0
Jim Smith,1999,25,2,12,14,21,0.08,27,0.07407,15.0,12.0,9.67,261
Joe Gaita,1999,1,0,0,0,0,0.0,1,0.0,31.0,30.0,0.0,0
Joe Jenkins III,1999,1,0,0,0,0,0.0,1,0.0,31.0,29.0,0.0,0
Joe Nemechek,1999,4,1,2,2,3,0.25,4,0.25,10.0,10.0,15.5,62
Joey Sonntag,1999,21,0,0,0,7,0.0,22,0.0,24.05,25.05,0.36,8
John Conely,1999,23,0,0,0,9,0.0,25,0.0,25.56,24.04,0.24,6
John Young,1999,4,0,0,0,0,0.0,4,0.0,25.0,29.0,0.0,0
Ken Schrader,1999,25,0,1,3,18,0.0,25,0.0,18.56,17.56,0.0,0
Larry Carnes,1999,3,0,0,0,0,0.0,3,0.0,35.0,31.0,0.0,0
Mark Simo,1999,5,0,2,3,4,0.0,5,0.0,9.0,10.6,10.6,53
Marshall Chesrown,1999,10,1,1,4,5,0.1,10,0.1,18.6,18.0,2.1,21
Marty Walsh,1999,7,0,0,0,2,0.0,7,0.0,31.29,27.0,0.0,0
Michael Cohen,1999,1,0,0,0,0,0.0,1,0.0,34.0,30.0,0.0,0
Mike Addington,1999,25,0,5,14,23,0.0,26,0.0,12.54,11.77,0.65,17
Mike Albernaz,1999,20,0,0,1,4,0.0,24,0.0,25.13,25.96,0.54,13
Mike Borkowski,1999,1,0,0,0,0,0.0,1,0.0,29.0,22.0,0.0,0
Mike Clark,1999,2,0,0,0,0,0.0,2,0.0,31.5,31.0,0.0,0
Mike Farris,1999,8,0,0,1,6,0.0,8,0.0,12.38,17.25,6.5,52
Mike Mittler,1999,9,0,0,0,1,0.0,9,0.0,23.33,25.56,0.0,0
Milan Garrett,1999,3,0,0,0,0,0.0,3,0.0,29.67,33.0,0.0,0
Petty Enterprises,1999,25,1,7,15,21,0.04,27,0.03704,11.81,12.3,10.63,287
Raynard McGlynn,1999,13,0,0,0,0,0.0,14,0.0,29.5,28.43,0.0,0
Rich Bickle,1999,2,0,0,1,1,0.0,2,0.0,15.0,21.5,0.0,0
Richard Balestrieri,1999,3,0,0,0,0,0.0,3,0.0,33.33,30.67,0.0,0
Richard Childress,1999,25,2,8,17,24,0.08,28,0.07143,10.71,11.04,4.07,114
Richard Woodland,1999,1,0,0,0,0,0.0,1,0.0,34.0,26.0,0.0,0
Richie Wauters,1999,1,0,0,0,1,0.0,1,0.0,18.0,13.0,0.0,0
Rick Hendrick,1999,25,3,16,19,21,0.12,25,0.12,5.72,8.16,23.24,581
Rick McCray,1999,16,0,0,0,6,0.0,16,0.0,28.25,24.25,0.0,0
Rick Ware,1999,2,0,0,0,0,0.0,2,0.0,32.0,27.0,0.0,0
Robert Long,1999,2,0,0,0,1,0.0,2,0.0,14.5,21.0,0.0,0
"Ron Hornaday, Jr.",1999,5,0,0,0,2,0.0,5,0.0,28.0,21.6,0.0,0
Ron Keselowski,1999,6,0,0,1,3,0.0,6,0.0,11.67,20.17,0.83,5
Ron Norick,1999,22,0,0,1,17,0.0,22,0.0,21.32,19.32,0.0,0
Ronnie Newman,1999,3,0,0,0,0,0.0,3,0.0,32.33,29.33,0.0,0
Russell Kersh,1999,1,0,0,0,1,0.0,1,0.0,7.0,14.0,0.0,0
Stanley Rowland,1999,2,0,0,0,0,0.0,2,0.0,28.5,27.0,0.0,0
Thee Dixon,1999,2,0,0,0,1,0.0,2,0.0,14.0,25.0,0.0,0
Tim Buckley,1999,5,0,0,0,1,0.0,5,0.0,27.0,24.2,0.0,0
Tom Gloy,1999,25,0,1,3,17,0.0,25,0.0,17.52,17.96,2.32,58
Tom Mazzuchi,1999,21,0,0,0,1,0.0,21,0.0,31.62,30.95,0.0,0
Tom Mitchell,1999,25,0,3,10,17,0.0,25,0.0,13.16,15.0,1.84,46
Walker Evans,1999,2,0,0,0,0,0.0,2,0.0,20.5,28.0,0.0,0
Wayne Dokken,1999,2,0,0,0,0,0.0,2,0.0,29.5,31.5,0.0,0
Wayne Spears,1999,25,0,0,1,13,0.0,25,0.0,19.8,20.68,1.2,30
Wilson Bagwell,1999,1,0,0,0,0,0.0,1,0.0,31.0,30.0,0.0,0
Allen Reyen,2000,5,0,0,0,2,0.0,5,0.0,19.8,22.8,0.0,0
Andy Campbell,2000,3,0,0,0,1,0.0,3,0.0,28.67,24.33,0.0,0
Andy Santerre,2000,1,0,0,0,1,0.0,1,0.0,21.0,16.0,0.0,0
Bill McAnally,2000,5,0,0,0,4,0.0,5,0.0,18.0,16.0,0.0,0
Billy Ballew,2000,7,0,0,0,2,0.0,7,0.0,18.14,23.57,1.71,12
Billy Kann,2000,3,0,0,0,0,0.0,3,0.0,34.33,28.67,0.0,0
Bob Brevak,2000,18,0,0,1,2,0.0,18,0.0,27.61,25.33,0.0,0
Bob Keselowski,2000,24,1,8,16,19,0.04167,24,0.04167,11.67,11.58,3.04,73
Bobby Hamilton Racing,2000,24,4,11,13,25,0.16667,34,0.11765,11.21,13.79,23.68,805
"Bobby Hillis, Jr.",2000,2,0,0,0,0,0.0,2,0.0,33.5,32.5,0.0,0
Charles Morgan,2000,1,0,0,0,1,0.0,1,0.0,23.0,18.0,0.0,0
Dale Phelon,2000,24,1,2,8,13,0.04167,24,0.04167,12.75,18.79,1.0,24
David Dollar,2000,24,0,0,1,11,0.0,24,0.0,16.67,21.83,0.25,6
David Hodson,2000,24,1,7,22,33,0.04167,48,0.02083,13.81,15.17,7.44,357
Dennis Sockwell,2000,4,0,0,0,1,0.0,4,0.0,26.25,24.25,0.0,0
Doc MacDonald,2000,24,0,0,1,10,0.0,24,0.0,25.0,22.17,0.0,0
Duke Thorson,2000,24,0,1,8,17,0.0,24,0.0,11.46,16.25,1.04,25
Ed Rensi,2000,24,0,2,8,19,0.0,25,0.0,17.08,14.92,0.36,9
Fred Horn,2000,4,0,0,0,3,0.0,4,0.0,19.25,21.5,0.0,0
Gene Christensen,2000,3,0,0,0,1,0.0,3,0.0,25.33,24.33,0.0,0
George Starr,2000,1,0,0,0,0,0.0,1,0.0,33.0,36.0,0.0,0
Howard Bixman,2000,1,0,0,0,0,0.0,1,0.0,26.0,31.0,0.0,0
Jack Roush,2000,24,9,31,34,44,0.375,49,0.18367,6.98,7.41,26.35,1291
James Liguori,2000,3,0,0,0,0,0.0,3,0.0,25.33,27.67,0.0,0
Jay Stewart,2000,1,0,0,0,0,0.0,1,0.0,37.0,35.0,0.0,0
Jeff Russell,2000,3,0,0,0,0,0.0,3,0.0,26.0,26.0,0.0,0
Jerry Miller,2000,1,0,0,0,0,0.0,1,0.0,31.0,28.0,0.0,0
Jerry Mueller,2000,1,0,0,0,1,0.0,1,0.0,29.0,20.0,0.0,0
Jim Herrick,2000,7,0,1,2,2,0.0,7,0.0,21.71,23.0,0.0,0
Jim Inglebright,2000,7,0,0,0,5,0.0,7,0.0,20.0,19.0,0.0,0
Jim Rosenblum,2000,2,0,0,0,0,0.0,2,0.0,31.0,30.5,0.0,0
Jim Smith,2000,24,2,13,16,20,0.08333,26,0.07692,9.0,11.12,16.0,416
Jimmy Spencer,2000,1,0,0,0,1,0.0,1,0.0,3.0,15.0,14.0,14
Joe Gibbs,2000,15,0,0,0,6,0.0,17,0.0,25.18,24.71,0.0,0
Joey Sonntag,2000,21,0,0,2,11,0.0,22,0.0,21.59,21.32,0.95,21
John Conely,2000,15,0,1,1,8,0.0,15,0.0,26.13,20.53,0.07,1
John Menard,2000,24,1,3,16,20,0.04167,24,0.04167,11.46,11.92,6.17,148
Judith Ann Midgley,2000,2,0,0,0,0,0.0,2,0.0,32.0,26.0,0.0,0
Ken Schrader,2000,7,0,2,4,6,0.0,7,0.0,9.71,10.57,9.71,68
Kevin Banning,2000,7,0,0,0,3,0.0,7,0.0,23.43,23.29,0.0,0
Larry Norfleet,2000,1,0,0,0,0,0.0,1,0.0,33.0,32.0,0.0,0
Lonnie Troxell,2000,13,0,0,0,2,0.0,13,0.0,30.46,26.15,0.0,0
Marty Walsh,2000,22,0,0,0,5,0.0,23,0.0,26.3,25.52,0.0,0
Maurice Petty,2000,7,0,0,1,4,0.0,7,0.0,19.29,20.14,0.0,0
Mike Addington,2000,24,2,13,18,21,0.08333,24,0.08333,7.04,8.0,9.25,222
Mike Albernaz,2000,18,0,0,0,5,0.0,19,0.0,30.84,24.26,0.05,1
Mike Farris,2000,22,0,2,8,13,0.0,22,0.0,14.59,17.23,0.91,20
Mike Mittler,2000,14,0,0,0,4,0.0,14,0.0,21.07,25.43,0.0,0
Milan Garrett,2000,1,0,0,0,0,0.0,1,0.0,26.0,21.0,0.0,0
Peter Prescott,2000,3,0,0,0,0,0.0,3,0.0,26.0,24.33,0.0,0
Petty Enterprises,2000,24,0,6,11,20,0.0,24,0.0,17.46,12.25,2.54,61
Raynard McGlynn,2000,17,0,0,0,3,0.0,17,0.0,31.29,27.35,0.0,0
Richard Woodland,2000,4,0,0,0,1,0.0,4,0.0,25.25,25.5,0.0,0
Rick Hendrick,2000,24,3,13,19,23,0.125,30,0.1,8.47,11.3,16.4,492
Rick McCray,2000,1,0,0,0,0,0.0,1,0.0,25.0,28.0,3.0,3
Rick Ware,2000,19,0,0,1,7,0.0,20,0.0,26.65,21.95,0.25,5
Robert Long,2000,4,0,1,3,3,0.0,4,0.0,15.25,12.5,0.0,0
Rodney Smith,2000,2,0,0,0,0,0.0,2,0.0,28.5,27.0,0.0,0
"Ron Barfield, Jr.",2000,1,0,0,0,1,0.0,1,0.0,20.0,17.0,0.0,0
"Ron Hornaday, Jr.",2000,1,0,0,0,0,0.0,1,0.0,27.0,23.0,0.0,0
Ron Keselowski,2000,3,0,0,1,3,0.0,3,0.0,16.0,10.0,3.0,9
Ron Norick,2000,24,0,0,1,14,0.0,24,0.0,20.5,20.71,0.21,5
Russell Kersh,2000,24,0,0,2,16,0.0,24,0.0,20.25,19.33,0.08,2
Stanley Rowland,2000,3,0,0,0,0,0.0,3,0.0,32.33,28.0,0.0,0
Tammy Provence,2000,4,0,0,0,1,0.0,4,0.0,29.25,24.25,0.0,0
Tom Mazzuchi,2000,10,0,0,0,1,0.0,10,0.0,33.4,30.7,0.0,0
Tom Mitchell,2000,24,0,2,12,21,0.0,24,0.0,12.13,12.71,0.83,20
Walker Evans,2000,1,0,0,0,0,0.0,1,0.0,20.0,28.0,0.0,0
Wayne Spears,2000,24,0,1,10,20,0.0,24,0.0,14.79,14.42,1.13,27
William Richardson,2000,1,0,0,0,0,0.0,1,0.0,28.0,27.0,0.0,0
Bill McAnally,2001,3,0,1,1,3,0.0,3,0.0,17.0,9.0,13.67,41
Billy Ballew,2001,3,0,0,0,1,0.0,3,0.0,29.33,26.0,0.0,0
Bob Brevak,2001,5,0,0,0,1,0.0,5,0.0,28.4,26.4,0.0,0
Bob Coffey,2001,1,0,0,0,0,0.0,1,0.0,32.0,32.0,0.0,0
Bob Keselowski,2001,24,0,5,16,21,0.0,24,0.0,10.33,9.88,2.79,67
Bobby Hamilton Racing,2001,24,3,12,23,43,0.125,61,0.04918,15.08,16.13,7.44,454
Dale Phelon,2001,4,0,1,1,3,0.0,4,0.0,12.5,14.75,0.0,0
David Dollar,2001,24,1,8,15,21,0.04167,24,0.04167,9.79,10.46,4.13,99
David Hodson,2001,18,0,0,0,6,0.0,24,0.0,29.54,26.0,0.0,0
DeWilton Genzman,2001,1,0,0,0,1,0.0,1,0.0,23.0,11.0,2.0,2
Dennis Sockwell,2001,1,0,0,0,1,0.0,1,0.0,22.0,17.0,0.0,0
Derrike Cope,2001,1,0,0,0,1,0.0,1,0.0,21.0,11.0,0.0,0
Doc MacDonald,2001,24,0,0,0,11,0.0,24,0.0,19.71,21.79,0.21,5
Doug Hoelzle,2001,1,0,0,0,0,0.0,1,0.0,30.0,25.0,0.0,0
Doug Keller,2001,4,0,0,0,0,0.0,4,0.0,32.0,24.0,0.0,0
Doug Thompson,2001,3,0,0,0,2,0.0,3,0.0,31.0,23.67,0.0,0
Duke Thorson,2001,24,0,0,11,14,0.0,25,0.0,17.36,17.12,1.16,29
Ed Rensi,2001,19,0,2,6,12,0.0,19,0.0,17.63,17.05,0.53,10
Frank Cioppettini,2001,1,0,0,0,0,0.0,1,0.0,31.0,22.0,0.0,0
Fred Horn,2001,5,0,0,0,1,0.0,5,0.0,25.4,24.2,0.6,3
Gene Christensen,2001,24,0,0,1,16,0.0,33,0.0,25.0,22.45,0.06,2
Howard Bixman,2001,1,0,0,0,0,0.0,1,0.0,27.0,24.0,0.0,0
Jack Roush,2001,24,2,5,16,35,0.08333,48,0.04167,12.79,15.4,7.31,351
James Burr,2001,1,0,0,0,0,0.0,1,0.0,36.0,34.0,0.0,0
James Harris,2001,4,0,1,4,4,0.0,4,0.0,10.0,6.25,0.0,0
James Liguori,2001,10,0,0,0,3,0.0,10,0.0,27.5,27.5,0.0,0
James Murphy,2001,13,0,0,0,1,0.0,13,0.0,30.77,27.69,0.0,0
Jerry Hill,2001,4,0,0,0,1,0.0,4,0.0,31.5,22.75,0.0,0
Jerry Miller,2001,2,0,0,0,0,0.0,2,0.0,35.5,36.0,0.0,0
Jim Inglebright,2001,10,0,0,1,6,0.0,10,0.0,14.7,20.0,0.0,0
Jim Mills,2001,2,0,0,0,0,0.0,3,0.0,34.67,31.67,0.0,0
Jim Smith,2001,24,12,27,34,38,0.5,48,0.25,5.71,8.67,29.69,1425
Joe Gibbs,2001,23,0,2,7,19,0.0,25,0.0,18.8,15.6,0.04,1
Joey Sonntag,2001,18,0,0,1,7,0.0,18,0.0,24.5,24.0,0.0,0
John Conely,2001,1,0,0,0,1,0.0,1,0.0,16.0,18.0,0.0,0
John Menard,2001,8,0,3,6,7,0.0,8,0.0,11.88,10.13,0.25,2
Ken Schrader,2001,10,0,1,6,9,0.0,10,0.0,12.2,11.4,0.4,4
Ken Small,2001,2,0,0,0,0,0.0,2,0.0,21.5,26.5,0.0,0
Kevin Harvick,2001,2,0,1,1,2,0.0,2,0.0,11.0,6.5,0.5,1
Kim Hansen,2001,1,0,0,0,0,0.0,1,0.0,34.0,29.0,0.0,0
Larry Richardson,2001,3,0,0,0,0,0.0,3,0.0,34.67,32.33,0.0,0
Lonnie Troxell,2001,18,0,0,0,2,0.0,18,0.0,28.61,29.11,0.0,0
Marty Walsh,2001,3,0,0,0,2,0.0,3,0.0,18.67,17.0,0.0,0
Mary Ward,2001,1,0,0,0,0,0.0,1,0.0,23.0,30.0,0.0,0
Matt Stowe,2001,3,0,0,0,1,0.0,3,0.0,22.33,24.0,0.0,0
Maurice Petty,2001,1,0,0,0,0,0.0,1,0.0,14.0,34.0,0.0,0
Mike Addington,2001,24,1,11,18,22,0.04167,24,0.04167,9.63,7.63,2.29,55
Mike Farris,2001,8,0,2,3,6,0.0,8,0.0,19.0,16.5,1.88,15
Mike Mittler,2001,18,0,0,0,4,0.0,18,0.0,28.28,27.56,0.0,0
Milan Garrett,2001,1,0,0,0,0,0.0,1,0.0,31.0,25.0,0.0,0
Morgan Shepherd,2001,15,0,0,0,1,0.0,15,0.0,22.87,27.27,1.0,15
Peter Prescott,2001,8,0,0,0,4,0.0,8,0.0,17.88,19.25,0.5,4
Petty Enterprises,2001,24,0,0,2,13,0.0,24,0.0,15.46,18.5,0.0,0
Raynard McGlynn,2001,3,0,0,0,1,0.0,3,0.0,26.33,24.33,0.0,0
Rick Hendrick,2001,24,5,23,36,42,0.20833,48,0.10417,6.06,8.5,30.75,1476
Rick Ware,2001,24,0,0,0,21,0.0,59,0.0,26.78,24.05,0.17,10
Robert Allen,2001,2,0,0,0,0,0.0,2,0.0,33.5,31.5,0.0,0
Robert Long,2001,6,0,1,1,4,0.0,6,0.0,16.83,18.33,0.0,0
Rodney Sawyers,2001,6,0,0,0,5,0.0,6,0.0,22.5,20.5,0.0,0
Ron Crosby,2001,1,0,0,0,0,0.0,1,0.0,31.0,27.0,0.0,0
"Ron Hornaday, Jr.",2001,5,0,0,0,3,0.0,5,0.0,22.0,18.8,0.0,0
Ron Jones,2001,4,0,0,0,0,0.0,4,0.0,28.25,27.5,0.0,0
Ron Norick,2001,24,0,3,5,18,0.0,24,0.0,13.0,15.75,0.25,6
Russell Kersh,2001,2,0,0,0,0,0.0,2,0.0,33.5,28.0,0.0,0
Sam Rensi,2001,3,0,0,0,0,0.0,3,0.0,21.0,28.0,0.0,0
Steve Coulter,2001,1,0,0,1,1,0.0,1,0.0,3.0,9.0,0.0,0
Steve Portenga,2001,1,0,0,0,0,0.0,1,0.0,22.0,34.0,0.0,0
Tex Powell,2001,2,0,0,0,0,0.0,2,0.0,23.0,32.0,0.0,0
Tim Woods,2001,1,0,0,0,0,0.0,1,0.0,29.0,29.0,0.0,0
Tom Mazzuchi,2001,12,0,0,0,1,0.0,12,0.0,30.08,30.83,0.0,0
Tom Mitchell,2001,24,0,10,16,20,0.0,24,0.0,9.29,10.71,8.38,201
Tom Powers,2001,16,0,0,0,3,0.0,16,0.0,31.88,26.44,0.0,0
Wayne Spears,2001,24,0,1,8,15,0.0,24,0.0,16.17,16.96,0.08,2
Andy Petree,2002,3,1,1,1,2,0.33333,3,0.33333,15.33,14.67,15.67,47
Billy Ballew,2002,21,0,0,1,17,0.0,21,0.0,19.86,16.19,0.0,0
Bob Coffey,2002,1,0,0,0,0,0.0,1,0.0,34.0,34.0,0.0,0
Bob Keselowski,2002,22,4,9,17,18,0.18182,22,0.18182,7.36,9.18,22.27,490
Bobby Hamilton Racing,2002,22,2,9,22,46,0.09091,66,0.0303,11.71,15.98,3.35,221
Dan Higgs,2002,3,0,0,0,2,0.0,3,0.0,29.33,23.67,0.0,0
David Dollar,2002,22,1,8,14,21,0.04545,22,0.04545,10.95,9.05,6.45,142
David Fuge,2002,1,1,1,1,1,1.0,1,1.0,5.0,1.0,21.0,21
Dennis Sockwell,2002,5,0,0,0,1,0.0,5,0.0,27.4,23.6,0.0,0
Derrike Cope,2002,1,0,0,0,1,0.0,1,0.0,31.0,16.0,0.0,0
Doc MacDonald,2002,22,0,0,0,7,0.0,22,0.0,26.18,23.73,0.0,0
Don Fauerbach,2002,1,0,0,0,0,0.0,1,0.0,31.0,23.0,0.0,0
Doug Keller,2002,5,0,0,0,1,0.0,5,0.0,29.2,24.0,0.0,0
Duke Thorson,2002,22,0,0,6,14,0.0,23,0.0,17.04,18.35,0.0,0
Ed Rensi,2002,2,0,0,0,2,0.0,2,0.0,32.0,17.5,0.0,0
Fred Horn,2002,6,0,0,0,1,0.0,6,0.0,22.33,27.17,0.0,0
Gene Christensen,2002,22,0,1,6,25,0.0,44,0.0,21.73,19.25,0.0,0
Jack Roush,2002,22,0,0,10,19,0.0,23,0.0,14.3,13.26,0.57,13
James Bailey,2002,3,0,0,0,0,0.0,3,0.0,23.67,27.67,0.0,0
James Harris,2002,6,0,0,2,3,0.0,6,0.0,14.0,19.0,0.0,0
James Liguori,2002,11,0,0,0,1,0.0,11,0.0,25.82,28.73,0.0,0
James Murphy,2002,3,0,0,0,1,0.0,3,0.0,33.67,24.0,0.0,0
Jerry Miller,2002,1,0,0,0,0,0.0,1,0.0,30.0,35.0,0.0,0
Jerry Spilsbury,2002,2,0,0,0,0,0.0,2,0.0,30.5,27.0,0.0,0
Jim Collier,2002,1,0,0,0,0,0.0,1,0.0,30.0,28.0,0.0,0
Jim Rosenblum,2002,6,0,0,0,0,0.0,6,0.0,31.83,28.33,0.0,0
Jim Smith,2002,22,3,23,31,38,0.13636,44,0.06818,4.32,8.98,28.43,1251
Jody McCormick,2002,1,0,0,0,0,0.0,1,0.0,28.0,32.0,0.0,0
Joe Gibbs,2002,22,0,4,14,18,0.0,23,0.0,14.96,11.43,4.43,102
Joey Sonntag,2002,11,0,0,0,1,0.0,11,0.0,33.73,31.36,0.0,0
John Conely,2002,3,0,0,0,1,0.0,3,0.0,25.67,23.67,0.0,0
Judith Ann Midgley,2002,1,0,0,0,0,0.0,1,0.0,31.0,28.0,0.0,0
Ken Schrader,2002,12,0,1,5,6,0.0,12,0.0,14.25,20.5,0.25,3
Kevin Harvick,2002,6,1,4,5,5,0.16667,6,0.16667,7.83,8.17,34.17,205
Larry Richardson,2002,6,0,0,0,0,0.0,6,0.0,30.0,29.5,0.67,4
Lonnie Troxell,2002,19,0,0,0,3,0.0,19,0.0,30.0,28.11,0.0,0
Michael Gaughan,2002,22,2,5,9,19,0.09091,22,0.09091,14.14,11.95,3.95,87
Mike Addington,2002,22,1,10,14,19,0.04545,22,0.04545,9.5,10.64,7.73,170
Mike Mittler,2002,12,0,0,1,3,0.0,12,0.0,17.17,25.67,0.0,0
Morgan Shepherd,2002,13,0,0,0,1,0.0,13,0.0,22.15,31.46,0.0,0
Neil Chaffin,2002,2,0,0,0,0,0.0,2,0.0,22.0,31.5,0.0,0
Petty Enterprises,2002,22,0,0,1,16,0.0,25,0.0,19.6,19.2,0.12,3
Phil Bonifield,2002,21,0,0,0,3,0.0,26,0.0,29.85,29.46,0.0,0
Raynard McGlynn,2002,3,0,0,0,0,0.0,3,0.0,28.33,26.0,0.0,0
Rick Hendrick,2002,1,0,0,0,1,0.0,1,0.0,2.0,12.0,0.0,0
Rick Ware,2002,20,0,0,0,13,0.0,48,0.0,26.33,25.33,0.02,1
Robert Long,2002,3,0,0,0,0,0.0,3,0.0,16.0,33.33,0.0,0
Rodney Sawyers,2002,6,0,0,0,3,0.0,6,0.0,26.83,21.17,0.0,0
Rodney Smith,2002,22,0,1,1,10,0.0,22,0.0,29.14,21.86,0.05,1
Ron Jones,2002,9,0,0,0,1,0.0,9,0.0,27.78,26.56,0.0,0
Ron Norick,2002,22,0,0,5,17,0.0,22,0.0,16.09,15.5,0.0,0
Steve Chick,2002,4,0,0,0,1,0.0,4,0.0,28.25,22.75,0.0,0
Steve Coulter,2002,22,5,13,18,21,0.22727,22,0.22727,4.18,7.09,17.68,389
