owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Tommy Boger,1,0,0.0,0,0,0,1,0.0,24.0,35.0,0,0.0
Tommy Ellis,6,0,0.0,1,1,3,6,0.0,13.5,19.17,2,0.33
Tommy Fleming,1,0,0.0,0,0,1,1,0.0,20.0,14.0,0,0.0
Tommy Gale,5,0,0.0,0,0,1,5,0.0,29.6,31.8,0,0.0
Tommy Ingram,7,0,0.0,1,2,3,7,0.0,14.71,22.14,0,0.0
Tommy Irwin,45,0,0.0,17,31,36,47,0.0,11.6,11.45,340,7.23
Tommy Moon,2,0,0.0,0,2,2,2,0.0,14.0,8.0,0,0.0
Tommy Thompson,21,1,0.04762,2,4,11,21,0.04762,18.0,22.67,78,3.71
Tony Bonadies,1,0,0.0,0,0,0,1,0.0,11.0,27.0,0,0.0
Tony Lavati,2,0,0.0,0,0,1,2,0.0,19.0,19.0,0,0.0
Tony Oddo,3,0,0.0,0,0,1,3,0.0,29.67,28.0,0,0.0
Tony Sampo,5,1,0.2,2,2,4,5,0.2,14.33,13.4,126,25.2
Tootle Estes,12,0,0.0,0,3,8,12,0.0,20.0,20.17,0,0.0
Torsten Behn,1,0,0.0,0,0,1,1,0.0,27.0,16.0,0,0.0
Toy Bolton,109,0,0.0,5,25,72,123,0.0,19.75,19.35,80,0.65
Trackhouse Racing,130,7,0.05385,40,75,142,228,0.0307,16.59,16.76,1958,8.59
Tracy Leslie,1,0,0.0,0,0,0,1,0.0,40.0,36.0,0,0.0
Travis Carter,394,0,0.0,17,58,205,493,0.0,25.31,23.95,1160,2.35
Travis Fuller,1,0,0.0,0,0,0,1,0.0,32.0,23.0,0,0.0
Travis Tiller,51,0,0.0,0,0,12,51,0.0,31.12,26.63,0,0.0
Trent Francis,14,0,0.0,0,0,7,14,0.0,29.71,21.79,0,0.0
Trevor Boys,1,0,0.0,0,0,0,1,0.0,40.0,22.0,0,0.0
Troy Beebe,3,0,0.0,0,0,0,3,0.0,34.0,29.67,0,0.0
Troy Ruttman,1,0,0.0,0,0,0,1,0.0,32.0,34.0,0,0.0
Truett Rodgers,52,0,0.0,0,5,30,52,0.0,24.6,20.31,0,0.0
Truthful Kelley,1,0,0.0,0,0,0,1,0.0,,29.0,0,0.0
Tubby Gonzales,11,0,0.0,2,2,3,11,0.0,30.91,26.73,0,0.0
Turkey Minton,13,0,0.0,2,5,6,13,0.0,13.92,20.23,35,2.69
Tyre Rakestraw,1,0,0.0,0,0,0,1,0.0,34.0,22.0,0,0.0
Upshaw's Garage,1,0,0.0,0,0,0,1,0.0,,32.0,0,0.0
Van Acker,3,0,0.0,2,2,2,3,0.0,10.0,19.33,0,0.0
Van Matthews,1,0,0.0,0,0,1,1,0.0,15.0,19.0,0,0.0
Van Van Wey,3,0,0.0,0,0,2,3,0.0,43.0,19.67,0,0.0
Varner Brothers,1,0,0.0,0,0,0,1,0.0,27.0,26.0,0,0.0
Vaughn Motors Yuma,1,0,0.0,0,0,1,1,0.0,,15.0,0,0.0
Vel Miletich,17,5,0.29412,8,10,17,26,0.19231,16.52,17.92,276,10.62
Vernan Tritten,1,0,0.0,0,0,0,1,0.0,11.0,25.0,0,0.0
Vernon Blank,5,0,0.0,1,1,2,5,0.0,22.8,22.6,6,1.2
Vic Ballard,126,0,0.0,4,29,88,126,0.0,20.16,17.73,7,0.06
Vic Kurten,2,0,0.0,0,1,2,2,0.0,17.0,9.5,0,0.0
Victor Obaika,3,0,0.0,0,0,0,3,0.0,37.67,36.0,0,0.0
Victor Sifton,1,0,0.0,0,0,0,1,0.0,36.0,35.0,0,0.0
Vincent Comella,1,0,0.0,0,0,0,1,0.0,27.0,26.0,0,0.0
Vincent Cornella,1,0,0.0,0,0,1,1,0.0,15.0,20.0,0,0.0
Virgil Livengood,5,0,0.0,0,1,2,5,0.0,20.0,23.4,0,0.0
Virgil Stockton,4,0,0.0,0,1,4,4,0.0,12.0,15.25,0,0.0
Volney Schulze,16,0,0.0,0,2,12,16,0.0,22.67,17.81,0,0.0
W.A. Smith,1,0,0.0,0,0,0,1,0.0,51.0,45.0,0,0.0
W.E. Baker,1,0,0.0,0,0,0,1,0.0,57.0,22.0,0,0.0
W.E. Campbell,3,0,0.0,0,0,0,3,0.0,52.0,39.33,0,0.0
W.H. Atkinson,1,0,0.0,0,0,0,1,0.0,48.0,51.0,0,0.0
W.H. Watson,37,1,0.02703,12,18,31,39,0.02564,10.92,14.1,208,5.33
W.J. Ridgeway,24,1,0.04167,5,6,13,24,0.04167,18.42,21.08,120,5.0
W.M. Harrison,3,0,0.0,0,0,1,3,0.0,21.0,28.33,0,0.0
W.O. Taylor,3,0,0.0,0,1,2,4,0.0,30.75,26.0,0,0.0
W.R. Quann,1,0,0.0,0,0,1,1,0.0,,19.0,0,0.0
W.R. Waldron,5,0,0.0,1,1,1,5,0.0,20.8,21.0,0,0.0
W.S. Jenkins,19,0,0.0,3,6,15,19,0.0,20.26,14.58,0,0.0
W.T. Coppedge,20,0,0.0,2,8,14,20,0.0,12.7,15.9,188,9.4
Wade Fields,1,0,0.0,0,0,1,1,0.0,,11.0,0,0.0
Wade Younts,102,0,0.0,11,45,85,103,0.0,16.49,13.9,0,0.0
Wallace Finney,2,0,0.0,0,0,1,2,0.0,31.5,28.5,0,0.0
Wally Campbell,1,0,0.0,0,0,0,1,0.0,31.0,53.0,0,0.0
Wally Gervais,3,0,0.0,0,0,2,3,0.0,24.5,24.0,0,0.0
Wally Marks,10,0,0.0,0,0,2,10,0.0,15.0,28.9,0,0.0
Wally Vandertoorn,2,0,0.0,0,0,0,2,0.0,23.5,24.5,0,0.0
Walson Gardner,21,0,0.0,0,2,13,21,0.0,26.62,20.29,0,0.0
Walt Chapman,81,10,0.12346,42,48,68,87,0.11494,9.82,12.82,1277,14.68
Walt Crawford,1,0,0.0,0,0,0,1,0.0,51.0,21.0,0,0.0
Walt Davis,2,0,0.0,0,2,2,2,0.0,29.0,10.0,0,0.0
Walt Frank,1,0,0.0,0,0,1,1,0.0,30.0,12.0,0,0.0
Walt Hansgen,3,0,0.0,2,3,3,3,0.0,12.0,4.0,0,0.0
Walt Harvey,2,0,0.0,0,0,1,2,0.0,32.0,18.5,0,0.0
Walt Hunter,20,0,0.0,1,6,17,20,0.0,20.0,14.1,0,0.0
Walt James,1,0,0.0,0,0,0,1,0.0,28.0,30.0,0,0.0
Walt Jarrod,1,0,0.0,0,0,0,1,0.0,81.0,72.0,0,0.0
Walt Palozi,21,0,0.0,1,6,14,24,0.0,18.64,18.29,0,0.0
Walt Price,5,0,0.0,0,0,1,5,0.0,32.8,27.4,0,0.0
Walt Regan,1,0,0.0,0,0,1,1,0.0,36.0,17.0,0,0.0
Walt Shutt,3,0,0.0,0,0,3,3,0.0,13.33,13.0,0,0.0
Walt Smith,1,0,0.0,0,1,1,1,0.0,21.0,6.0,0,0.0
Walt Valerio,5,0,0.0,0,1,2,5,0.0,22.4,23.8,0,0.0
Walter Ballard,143,0,0.0,3,29,86,156,0.0,21.74,20.39,23,0.15
Walter Martinson,1,0,0.0,0,0,0,1,0.0,38.0,26.0,0,0.0
Walter Milczarski,1,0,0.0,0,0,0,1,0.0,,25.0,0,0.0
Walter Motor Co.,1,0,0.0,0,0,0,1,0.0,,23.0,0,0.0
Ward Racing Enterprises,3,0,0.0,0,0,1,3,0.0,26.0,22.67,0,0.0
Ward Towers,1,0,0.0,0,0,1,1,0.0,40.0,16.0,0,0.0
Warner Brothers,3,0,0.0,0,0,1,3,0.0,31.33,29.0,0,0.0
Warren Fraser,3,0,0.0,0,2,3,3,0.0,5.5,11.0,0,0.0
Warren Johnson,1,0,0.0,0,0,0,1,0.0,42.0,38.0,0,0.0
Warren Lee,1,0,0.0,0,0,0,1,0.0,65.0,22.0,0,0.0
Warren Prout,6,0,0.0,0,1,5,6,0.0,18.5,17.33,0,0.0
Warren Razore,12,0,0.0,0,1,2,12,0.0,25.92,29.67,1,0.08
Warren Tope,2,0,0.0,0,0,1,2,0.0,27.5,29.0,0,0.0
Wayne Beahr,16,0,0.0,0,0,3,16,0.0,32.06,28.75,0,0.0
Wayne Jacks,1,0,0.0,0,0,0,1,0.0,43.0,41.0,0,0.0
Wayne Morgan,2,0,0.0,0,0,0,2,0.0,35.0,34.0,0,0.0
Wayne Niedecken,1,0,0.0,0,0,1,1,0.0,,12.0,0,0.0
Wayne Smith,21,0,0.0,0,1,4,21,0.0,28.86,27.81,0,0.0
Wayne Spears,15,0,0.0,0,0,5,15,0.0,29.27,26.27,2,0.13
Wayne Watercutter,2,0,0.0,0,0,1,2,0.0,36.5,21.0,0,0.0
Wayne Woodward,6,0,0.0,0,0,4,6,0.0,16.67,20.17,0,0.0
Weldon Adams,9,0,0.0,1,4,7,9,0.0,24.25,18.11,0,0.0
Weldon Wagner,25,0,0.0,2,7,20,25,0.0,17.12,16.12,0,0.0
Wendell Scott,466,1,0.00215,21,155,402,500,0.002,19.97,14.82,27,0.05
Wentz Racing,1,0,0.0,0,0,0,1,0.0,29.0,27.0,0,0.0
Wes Brier,1,0,0.0,0,0,1,1,0.0,42.0,17.0,0,0.0
Wes Morgan,2,0,0.0,0,0,2,2,0.0,33.0,18.5,0,0.0
Wesley McBell,2,0,0.0,0,0,0,2,0.0,28.0,32.0,0,0.0
Whitey Gerkin,2,0,0.0,0,0,1,2,0.0,16.5,29.5,2,1.0
Whitey Norman,33,0,0.0,3,8,20,34,0.0,20.37,18.5,0,0.0
Wildcat Williams,14,0,0.0,0,0,3,14,0.0,22.07,28.57,0,0.0
Wiliam Bowden,1,0,0.0,0,0,1,1,0.0,18.0,15.0,0,0.0
Will Albright,1,0,0.0,0,0,1,1,0.0,41.0,19.0,0,0.0
Will Cronkrite,16,0,0.0,0,1,5,16,0.0,26.06,25.38,0,0.0
Willard Moore,10,0,0.0,0,0,4,10,0.0,32.8,27.5,4,0.4
William Dickenson,8,0,0.0,1,1,7,8,0.0,17.83,16.0,0,0.0
William Edwards,35,0,0.0,0,0,0,35,0.0,39.26,39.14,7,0.2
William Gundaker,11,0,0.0,1,4,8,11,0.0,21.13,14.27,0,0.0
William Long,9,0,0.0,1,4,8,9,0.0,13.13,13.0,0,0.0
William Meyer,20,0,0.0,0,0,12,20,0.0,24.5,20.4,0,0.0
William P. Webb,1,0,0.0,0,0,1,1,0.0,15.0,18.0,0,0.0
William Peach,4,0,0.0,0,1,4,4,0.0,22.0,14.0,0,0.0
William Slate,1,0,0.0,0,0,0,1,0.0,30.0,37.0,0,0.0
Williams Racing,1,0,0.0,0,0,0,1,0.0,38.0,38.0,0,0.0
Willie Humphries,10,0,0.0,1,1,1,10,0.0,15.9,29.1,0,0.0
Willie Tierney,8,0,0.0,0,0,0,8,0.0,38.75,35.88,0,0.0
Wiss Brothers,7,0,0.0,1,3,4,7,0.0,18.0,16.43,0,0.0
Wood Brothers,1717,99,0.05766,353,582,1060,1747,0.05667,15.99,17.74,25132,14.39
Woodie Wilson,1,0,0.0,0,0,1,1,0.0,,17.0,0,0.0
Woodruff Motors,1,0,0.0,0,0,0,1,0.0,40.0,55.0,0,0.0
Woody Brougher,1,0,0.0,0,0,0,1,0.0,34.0,69.0,0,0.0
Worth McMillion,41,0,0.0,1,11,37,41,0.0,22.22,13.9,0,0.0
XCI Racing,1,0,0.0,0,0,0,1,0.0,33.0,22.0,0,0.0
Yates Racing,694,57,0.08213,270,433,694,1155,0.04935,17.72,17.68,16040,13.89
Yunick-Rich Racing,1,0,0.0,0,0,0,1,0.0,1.0,25.0,6,6.0
Zanworth Racing Team,3,0,0.0,0,0,0,3,0.0,27.33,25.0,0,0.0
Zecol Lubaid,1,0,0.0,0,0,0,1,0.0,18.0,35.0,0,0.0
dapagliflozin,1,0,0.0,0,0,0,1,0.0,6.0,21.0,0,0.0
