owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Roger Lubinski,51,0,0.0,1,9,20,51,0.0,20.96,23.37,0,0.0
Roger Paquette,11,0,0.0,3,5,7,11,0.0,13.45,15.36,19,1.73
Roger Penske,1263,143,0.11322,662,1112,1694,2484,0.05757,12.76,15.55,45230,18.21
Roger Smith,1,0,0.0,0,0,0,1,0.0,36.0,42.0,0,0.0
Roland Gautsche,1,0,0.0,0,0,0,1,0.0,6.0,22.0,0,0.0
Rollin Smith,1,0,0.0,0,0,1,1,0.0,35.0,12.0,0,0.0
Romeo Gelsi,1,0,0.0,0,0,0,1,0.0,40.0,52.0,0,0.0
Romy Hammes,2,0,0.0,0,1,1,2,0.0,18.0,23.5,0,0.0
Ron Benfield,110,0,0.0,11,33,60,112,0.0,12.85,19.53,711,6.35
Ron Caragias,1,0,0.0,0,0,0,1,0.0,30.0,28.0,0,0.0
Ron Cory,3,0,0.0,0,0,1,3,0.0,23.33,26.33,0,0.0
Ron Esau,3,0,0.0,0,0,1,3,0.0,32.0,30.0,0,0.0
Ron Gautsche,5,0,0.0,0,0,1,5,0.0,35.8,32.6,0,0.0
Ron Grana,1,0,0.0,0,0,0,1,0.0,40.0,37.0,0,0.0
Ron Parker,2,0,0.0,0,0,0,2,0.0,35.5,38.5,0,0.0
Ron Ronacher,33,0,0.0,2,4,15,33,0.0,23.48,21.27,0,0.0
Ron Shephard,2,0,0.0,0,0,0,2,0.0,38.5,30.0,0,0.0
Ron Smith,3,0,0.0,0,1,1,3,0.0,23.67,24.0,0,0.0
Ron Spohn,10,0,0.0,0,0,2,10,0.0,31.6,25.9,0,0.0
Ron Staughton,1,0,0.0,0,0,0,1,0.0,30.0,27.0,0,0.0
Ron Stotten,36,0,0.0,0,1,21,36,0.0,25.03,20.72,0,0.0
Ronald Hawk,2,0,0.0,0,0,2,2,0.0,35.5,18.5,0,0.0
Ronald Smith,6,0,0.0,0,1,4,6,0.0,21.17,23.33,0,0.0
Ronnie Daniel,8,0,0.0,0,0,2,8,0.0,32.13,27.0,0,0.0
Ronnie Duman,1,0,0.0,0,0,0,1,0.0,25.0,25.0,0,0.0
Ronnie Elder,111,0,0.0,26,54,66,111,0.0,11.62,16.49,518,4.67
Ronnie Hopkins,7,2,0.28571,5,7,7,7,0.28571,8.14,3.71,250,35.71
Ronnie Kohler,3,0,0.0,1,1,2,3,0.0,15.5,12.67,0,0.0
Ronnie Thomas,102,0,0.0,0,1,30,102,0.0,28.52,24.57,3,0.03
Roscoe Leonard,1,0,0.0,0,0,0,1,0.0,19.0,31.0,0,0.0
Roscoe Sanders,10,0,0.0,0,0,5,10,0.0,19.3,23.5,0,0.0
Roscoe Thompson,2,0,0.0,0,0,1,2,0.0,10.5,19.5,0,0.0
Ross Ferguson,3,0,0.0,0,0,0,3,0.0,29.33,34.67,0,0.0
Roulo Brothers,7,0,0.0,0,0,1,7,0.0,27.29,28.57,0,0.0
Roy Alloway,2,0,0.0,0,0,1,2,0.0,33.0,24.0,0,0.0
Roy Bentley,1,0,0.0,0,0,0,1,0.0,39.0,47.0,0,0.0
Roy Buckner,7,0,0.0,0,0,3,7,0.0,24.71,21.29,0,0.0
Roy Burdick,21,1,0.04762,4,11,15,22,0.04545,11.77,16.73,100,4.55
Roy Dutton,8,0,0.0,0,1,6,9,0.0,29.67,19.11,0,0.0
Roy Hallquist,9,0,0.0,2,2,5,9,0.0,20.11,16.56,0,0.0
