driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Brandon Ash,5,0,0.0,0,0.0,0,0.0,0,0.0,36.2,18,43,41.0,38,43,0.2,1,1,332360,66472,74690,57450
Brandon Whitt,1,0,0.0,0,0.0,0,0.0,0,0.0,37.0,37,37,43.0,43,43,0.0,0,0,61286,61286,61286,61286
Brendan Gaughan,67,0,0.0,1,0.01493,8,0.1194,20,0.29851,27.42,5,43,25.79,4,43,0.64,43,13,4037446,80749,225887,59660
Brennan Poole,42,0,0.0,0,0.0,1,0.02381,3,0.07143,31.36,22,37,30.02,9,39,0.1,4,1,0,,,
Brent Elliott,5,0,0.0,0,0.0,0,0.0,0,0.0,29.2,28,30,25.8,22,28,0.0,0,0,4995,999,1205,835
Brent Kaeding,1,0,0.0,0,0.0,0,0.0,0,0.0,38.0,38,38,29.0,29,29,0.0,0,0,3230,3230,3230,3230
Brent Sherman,6,0,0.0,0,0.0,0,0.0,0,0.0,37.67,29,43,33.67,21,42,0.0,0,0,637256,106209,274766,61750
Brett Bodine,480,1,0.00208,16,0.03333,61,0.12708,192,0.4,21.24,1,43,23.5,1,43,2.17,1040,146,12752132,26567,203575,900
Brett Moffitt,45,0,0.0,0,0.0,1,0.02222,2,0.04444,34.2,14,43,31.73,8,42,0.04,2,1,3526973,92815,145635,55330
Brian Keselowski,3,0,0.0,0,0.0,0,0.0,0,0.0,32.67,12,43,40.0,39,41,0.0,0,0,395713,131904,273663,60850
Brian Naylor,2,0,0.0,0,0.0,0,0.0,0,0.0,32.5,7,58,37.0,32,42,0.0,0,0,200,200,200,200
Brian Ross,2,0,0.0,0,0.0,0,0.0,0,0.0,36.0,36,36,33.0,27,39,0.0,0,0,7250,3625,3775,3475
Brian Scott,53,0,0.0,1,0.01887,1,0.01887,7,0.13208,26.36,1,37,28.06,2,43,0.11,6,5,1929344,113491,336035,64965
Brian Simo,7,0,0.0,0,0.0,1,0.14286,1,0.14286,34.14,15,43,34.57,10,43,0.0,0,0,394464,56352,83085,32085
Brian Vickers,323,3,0.00929,29,0.08978,78,0.24149,182,0.56347,17.44,1,43,20.2,1,43,3.85,1242,125,34635969,108918,350388,44175
Britton Jones,1,0,0.0,0,0.0,0,0.0,0,0.0,23.0,23,23,27.0,27,27,0.0,0,0,20,20,20,20
Brodie Kostecki,1,0,0.0,0,0.0,0,0.0,0,0.0,11.0,11,11,22.0,22,22,0.0,0,0,0,,,
Brownie Brown,2,0,0.0,0,0.0,0,0.0,0,0.0,24.0,24,24,34.0,32,36,0.0,0,0,0,,,
Brownie King,98,0,0.0,2,0.02041,27,0.27551,79,0.80612,20.05,4,50,15.8,5,50,0.0,0,0,11850,130,380,25
Bruce Atchley,6,0,0.0,0,0.0,0,0.0,3,0.5,17.6,13,27,19.33,15,26,0.0,0,0,200,33,50,25
Bruce Blodgett,1,0,0.0,0,0.0,0,0.0,1,1.0,30.0,30,30,15.0,15,15,0.0,0,0,800,800,800,800
Bruce Brantley,5,0,0.0,0,0.0,1,0.2,2,0.4,29.4,13,42,28.0,6,43,0.0,0,0,1115,223,300,50
Bruce Hill,100,0,0.0,3,0.03,21,0.21,43,0.43,19.77,8,42,23.06,5,47,0.09,9,4,189650,1897,8265,305
Bruce Jacobi,20,0,0.0,0,0.0,3,0.15,12,0.6,33.35,19,40,19.25,8,37,0.0,0,0,34365,1718,4935,385
Bruce Worrell,12,0,0.0,0,0.0,5,0.41667,8,0.66667,22.4,8,38,18.58,6,41,0.0,0,0,4615,385,1650,100
Bryan Baker,1,0,0.0,0,0.0,0,0.0,0,0.0,36.0,36,36,29.0,29,29,0.0,0,0,3985,3985,3985,3985
Bryant Wallace,4,0,0.0,0,0.0,0,0.0,3,0.75,13.25,4,22,17.5,14,23,0.0,0,0,300,75,100,50
Bub King,35,0,0.0,2,0.05714,12,0.34286,24,0.68571,20.0,5,55,17.6,3,69,0.0,0,0,3530,107,1230,25
