Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1955,3,Jacksonville,Speedway Park,0.5,dirt track,2.0,1.0,3.0,Dick Rathmann,Blue Crown (John Ditz),'54 Hudson,200.0,650.0,running,30.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,3.0,4.0,92.0,Herb Thomas,Herb Thomas,'54 Hudson,200.0,450.0,running,2.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,4.0,6.0,87.0,Buck Baker,Griffin Motors (Bob Griffin),'54 Oldsmobile,194.0,350.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,5.0,9.0,55.0,Junior Johnson,B & L Motors (Jim Lowe / Carl Beckham),'55 Oldsmobile,191.0,300.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,6.0,5.0,5.0,Jimmie Lewallen,Joe Blair,'54 Mercury,188.0,250.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,7.0,8.0,59.0,Blackie Pitt,Brownie Pitt,'54 Hudson,187.0,200.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,8.0,15.0,18.0,Arden Mounts,Gene Comstock,'54 Hudson,186.0,150.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,9.0,19.0,6.0,Ralph Liguori,Ralph Liguori,'54 Hudson,183.0,100.0,clutch,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,10.0,17.0,39.0,Dave Terrell,Dave Terrell,'55 Plymouth,174.0,100.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,11.0,18.0,11.0,Bo Fields,Carl Wesson,'53 Plymouth,154.0,25.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,12.0,11.0,28.0,Eddie Skinner,Frank Dodge,'53 Oldsmobile,141.0,25.0,running,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,13.0,10.0,23.0,Jack Choquette,George Miller,'54 Hudson,111.0,25.0,cylinder,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,14.0,7.0,9.0,Bill Harrison,–,'53 Oldsmobile,91.0,25.0,transmission,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,15.0,13.0,8.0,Bud Harless,Edgar Clay,'53 Hudson,79.0,25.0,oil pressure,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,16.0,12.0,15.0,Lloyd Chick,–,'54 Buick,56.0,25.0,tie rod,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,17.0,16.0,4.0,Ken Fisher,Ken Fisher,'54 Chrysler,54.0,25.0,carburetor,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,18.0,14.0,80.0,Woody Richmond,–,'53 Hudson,33.0,25.0,spindle,0.0
1955,3,Jacksonville,Speedway Park,0.5,dirt track,19.0,3.0,51.0,Gober Sosebee,Cherokee Garage (Gober Sosebee),'54 Oldsmobile,9.0,25.0,carburetor,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,1.0,1.0,300,Tim Flock,Carl Kiekhaefer,'55 Chrysler,39.0,2350.0,running,39.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,2.0,2.0,42,Lee Petty,Petty Enterprises,'55 Chrysler,39.0,1600.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,3.0,11.0,24,Ray Duhigg,J.O. Goode,'55 Buick,39.0,1000.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,4.0,12.0,99,Curtis Turner,Parks Cigarette (Raymond Parks),'55 Oldsmobile,39.0,800.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,5.0,14.0,14,Fonty Flock,Frank Christian,'55 Oldsmobile,39.0,625.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,6.0,9.0,82,Joe Eubanks,Oates Motor Co. (Phil Oates),'55 Oldsmobile,39.0,525.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,7.0,5.0,47,Dick Joslin,Inland Buick Co. / Dynaflow (J.C. Van Landingham),'55 Buick,38.0,425.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,8.0,10.0,63,Bill Tanner,Al Liberty,'55 Buick,38.0,325.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,9.0,22.0,87,Buck Baker,Griffin Motors (Bob Griffin),'54 Oldsmobile,38.0,200.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,10.0,43.0,185,Jack Radtke,–,'55 Chevrolet,38.0,150.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,11.0,18.0,110,Bud Kutina,Bud Kutina,'55 Oldsmobile,38.0,140.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,12.0,27.0,23,Jack Choquette,George Miller,'54 Hudson,38.0,125.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,13.0,3.0,88,Dick Rathmann,Ernest Woods,'55 Oldsmobile,38.0,100.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,14.0,21.0,37,Marvin Copple,Marvin Copple,'55 Oldsmobile,37.0,85.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,15.0,41.0,241,Axel Anderson,Axel Anderson,'55 Mercury,37.0,75.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,16.0,40.0,140,Mack Hanbury,Caplan Motors (Mack Hanbury),'53 Hudson,37.0,50.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,17.0,16.0,331,Willard Holt,–,'55 Chevrolet,37.0,50.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,18.0,15.0,13,Bob Dawson,William P. Webb,'55 Dodge,37.0,50.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,19.0,24.0,237,Jim Wilson,Harvey Walters,'55 Dodge,37.0,50.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,20.0,46.0,16,Ray Chaike,Gus Holzmueller,'54 Dodge,37.0,50.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,21.0,29.0,166,Bud Palmer,W.E. Campbell,'55 Dodge,36.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,22.0,25.0,39,Jim McLain,Maurice Thompson,'55 Oldsmobile,36.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,23.0,34.0,147,Harvey Eakin,Harvey Eakin,'55 Nash,35.0,35.0,running,0.0
