Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,1.0,1.0,98,Marvin Panch,DePaolo Engineering (Pete DePaolo),'56 Ford,60.0,1550.0,running,41.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,2.0,5.0,22,Fireball Roberts,DePaolo Engineering (Pete DePaolo),'56 Ford,60.0,1000.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,3.0,4.0,12,George Seeger,Oscar Maples,'56 Ford,60.0,755.0,running,19.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,4.0,8.0,75,Jim Paschal,C U Later Alligator (Frank Hayworth),'56 Mercury,59.0,570.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,5.0,9.0,45,Eddie Pagan,Eddie Pagan,'56 Ford,59.0,430.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,6.0,14.0,43,Bob Ross,Bob Ross,'56 Mercury,58.0,320.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,7.0,6.0,17,Lloyd Dane,Lloyd Dane,'56 Ford,57.0,325.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,8.0,11.0,21,Scotty Cain,Scotty Cain,'56 Ford,56.0,215.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,9.0,2.0,3,Paul Goldsmith,Smokey Yunick,'56 Ford,55.0,225.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,10.0,18.0,00,Dick Getty,Dick Getty,'56 Chevrolet,55.0,135.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,11.0,20.0,98W,Mike McGreevy,Tom Harbison,'56 Dodge,55.0,135.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,12.0,12.0,34,Sherman Clark,Sherman Clark,'55 Chevrolet,54.0,115.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,13.0,23.0,18,Eddie Gray,Chuck Green,'56 Chevrolet,54.0,110.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,14.0,25.0,35,Billy Cantrell,Alvin Woodall,'56 Mercury,53.0,110.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,15.0,24.0,188,Jim Blomgren,Lorrin Bates,'56 Ford,53.0,110.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,16.0,21.0,33,Bob Osborne,Hal Prentice,'56 Dodge,52.0,110.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,17.0,17.0,8,Ed Brown,Ed Brown,'56 Chevrolet,52.0,115.0,running,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,18.0,10.0,1,Chuck Meekins,Jim Rush,'56 Chevrolet,51.0,115.0,crash,0.0
1957,1,Lancaster,Willow Springs Speedway,2.5,road course,19.0,27.0,9,Jim Cook,Floyd Johnson,'56 Pontiac,51.0,85.0,running,0.0
