Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
2005,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,15.0,24.0,Jeff Gordon,DuPont (Rick Hendrick),Chevrolet,203.0,1497150.0,running,29.0,185.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,13.0,97.0,Kurt Busch,Sharpie / Irwin Industrial Tools (Jack Roush),Ford,203.0,1106130.0,running,0.0,170.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,5.0,8.0,"Dale Earnhardt, Jr.","Bud Born on Date 17 Feb. 2005 (Dale Earnhardt, Inc.)",Chevrolet,203.0,828796.0,running,2.0,170.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,12.0,10.0,Scott Riggs,Valvoline (James Rocco),Chevrolet,203.0,643896.0,running,0.0,160.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,2.0,48.0,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,203.0,533579.0,running,3.0,160.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,32.0,6.0,Mark Martin,Viagra (Jack Roush),Ford,203.0,395313.0,running,0.0,150.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,4.0,20.0,Tony Stewart,The Home Depot (Joe Gibbs),Chevrolet,203.0,442610.0,running,107.0,156.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,18.0,40.0,Sterling Marlin,Coors Light (Chip Ganassi),Dodge,203.0,341341.0,running,0.0,142.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,8.0,37.0,Kevin Lepage,Patron Tequila (John Carter),Dodge,203.0,307138.0,running,0.0,138.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,36.0,2.0,Rusty Wallace,Miller Lite (Roger Penske),Dodge,203.0,317646.0,running,0.0,134.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,39.0,38.0,Elliott Sadler,M&M's (Yates Racing),Ford,203.0,318604.0,running,0.0,130.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,27.0,99.0,Carl Edwards,Office Depot (Jack Roush),Ford,203.0,278963.0,running,0.0,127.0
2005,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,34.0,1.0,Joe Nemechek,U.S. Army (Nelson Bowers),Chevrolet,203.0,290671.0,running,2.0,129.0
