owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Ashby's Sheetmetal,1,0,0.0,0,0,1,1,0.0,9.0,20.0,0,0.0
"Ashton Lewis, Sr.",14,0,0.0,1,1,3,14,0.0,27.07,25.36,3,0.21
Associated Construction,1,0,0.0,0,1,1,1,0.0,1.0,7.0,2,2.0
Associated Construction & Trucking,2,0,0.0,0,0,2,2,0.0,12.0,17.5,1,0.5
Associated Trucking,3,0,0.0,1,2,3,3,0.0,9.33,10.0,0,0.0
Athens Paper,2,0,0.0,0,0,1,2,0.0,26.0,30.0,0,0.0
Auto Palace,5,0,0.0,0,1,2,5,0.0,27.6,23.2,0,0.0
Auto Palace / AC Delco,1,0,0.0,0,0,1,1,0.0,28.0,11.0,25,25.0
Auto Parts Centres,1,0,0.0,0,1,1,1,0.0,18.0,10.0,9,9.0
Automatic Curb,1,0,0.0,0,0,0,1,0.0,38.0,24.0,0,0.0
Automotive Contacts,1,0,0.0,0,0,0,1,0.0,30.0,29.0,0,0.0
Autosport Custom Vans,1,0,0.0,0,0,0,1,0.0,14.0,24.0,0,0.0
B.J. McLeod,268,0,0.0,3,12,116,611,0.0,29.4,26.28,137,0.22
BBC Racing,1,0,0.0,0,0,0,1,0.0,16.0,22.0,0,0.0
Bailey / Temple,2,0,0.0,0,0,1,2,0.0,26.5,18.0,0,0.0
Bailey Racing,1,0,0.0,0,0,0,1,0.0,19.0,21.0,0,0.0
Bama Foods,2,0,0.0,0,0,0,2,0.0,33.5,28.5,0,0.0
Bama Preserves,1,0,0.0,0,0,0,1,0.0,18.0,39.0,0,0.0
Banning Pontiac,7,0,0.0,0,0,4,7,0.0,28.14,22.57,0,0.0
Banquet Foods,3,0,0.0,0,0,0,3,0.0,24.67,28.67,0,0.0
Banquet Frozen Foods,2,0,0.0,0,0,0,2,0.0,20.5,40.5,0,0.0
Barnette Performance,1,0,0.0,0,0,1,1,0.0,27.0,17.0,0,0.0
Barney Visser,19,0,0.0,0,0,0,19,0.0,30.26,34.05,0,0.0
Barry Bostick,3,0,0.0,0,0,0,3,0.0,27.33,35.0,0,0.0
Barry Cray,4,0,0.0,0,0,0,4,0.0,22.75,26.0,0,0.0
Barry Owen,110,3,0.02727,14,36,74,116,0.02586,20.41,18.34,604,5.21
Barry Tudor,2,0,0.0,0,0,0,2,0.0,35.0,33.0,0,0.0
Bart Walker,13,0,0.0,0,0,0,13,0.0,30.46,31.85,0,0.0
Bates Trucking,1,0,0.0,0,0,1,1,0.0,19.0,17.0,0,0.0
Baugess Racing,3,0,0.0,0,0,0,3,0.0,34.0,31.33,0,0.0
Beard Motorsports,11,0,0.0,0,0,5,11,0.0,27.82,22.64,0,0.0
Beau Petty,7,0,0.0,0,0,0,7,0.0,24.71,35.57,0,0.0
Beauregard Racing,1,0,0.0,0,0,0,1,0.0,37.0,38.0,0,0.0
Beauregard Racing / CHC,1,0,0.0,0,0,1,1,0.0,29.0,17.0,0,0.0
Beauregard's,5,0,0.0,0,0,2,5,0.0,26.8,25.0,0,0.0
Beauregard's Deli,4,0,0.0,0,0,0,4,0.0,32.75,26.25,0,0.0
Bechtel / Gibbs Racing,32,0,0.0,4,12,23,32,0.0,19.56,17.09,63,1.97
