driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Beaver Dragon,1,0,0.0,0,0.0,1,1.0,1,1.0,11.0,11,11,9.0,9,9,0.0,0,0,1950,1950,1950,1950
Ben Hess,8,0,0.0,0,0.0,0,0.0,1,0.125,28.25,18,41,24.5,20,33,0.88,7,7,9345,1168,3000,330
Ben Kennedy,17,0,0.0,1,0.05882,3,0.17647,12,0.70588,13.71,2,25,18.35,4,36,0.53,9,5,0,,,
Ben Rhodes,10,0,0.0,0,0.0,2,0.2,5,0.5,12.5,1,18,21.0,7,35,0.0,0,0,245449,24545,32286,20361
Bennie Davis,14,0,0.0,0,0.0,4,0.28571,12,0.85714,20.71,18,22,14.79,7,24,0.0,0,0,5075,363,650,200
Benny Gordon,27,0,0.0,1,0.03704,1,0.03704,6,0.22222,28.26,12,43,26.15,5,38,0.0,0,0,443893,19300,46020,10400
Benny Kerley,10,0,0.0,0,0.0,1,0.1,3,0.3,29.1,18,39,24.7,6,38,0.0,0,0,9425,943,2235,305
Bill Elliott,44,1,0.02273,8,0.18182,16,0.36364,30,0.68182,14.84,1,38,16.73,1,40,3.09,136,47,311958,7255,28950,750
Bill Eversole,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,37.0,37,37,0.0,0,0,16365,16365,16365,16365
Bill Gratton,5,0,0.0,0,0.0,0,0.0,1,0.2,25.6,20,36,24.4,13,37,0.0,0,0,4105,821,1090,260
Bill Hampton,1,0,0.0,0,0.0,0,0.0,1,1.0,15.0,15,15,20.0,20,20,0.0,0,0,300,300,300,300
Bill Hoff,22,0,0.0,0,0.0,0,0.0,0,0.0,39.73,28,43,37.77,24,43,0.0,0,0,203882,9267,15440,2980
Bill Ingle,3,0,0.0,0,0.0,0,0.0,0,0.0,21.33,10,32,24.67,22,26,0.0,0,0,5635,1878,3425,300
