Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2001,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,1.0,18.0,Joe Ruttman,Dana Corporation (Bobby Hamilton Racing),Dodge,104.0,84310.0,running,30.0,185.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,5.0,17.0,Ricky Hendrick,GMAC Financial Services (Rick Hendrick),Chevrolet,104.0,52150.0,running,7.0,175.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,2.0,2.0,Scott Riggs,Team ASE Racing (Jim Smith),Dodge,104.0,39615.0,running,19.0,170.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,19.0,90.0,Lance Norick,Aventis Behring Choice (Ron Norick),Chevrolet,104.0,27650.0,running,0.0,160.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,20.0,61.0,Randy Tolsma,TeamRensi.com (Ed Rensi),Chevrolet,104.0,23500.0,running,2.0,160.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,16.0,29.0,Terry Cook,HotJobs.com (Bob Keselowski),Ford,104.0,18550.0,running,7.0,155.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,24.0,20.0,Coy Gibbs,MBNA (Joe Gibbs),Chevrolet,104.0,16150.0,running,0.0,146.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,15.0,3.0,Bryan Reffner,Menards (John Menard),Chevrolet,104.0,16150.0,running,1.0,147.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,8.0,52.0,Lyndon Amick,Federated Auto Parts (Ken Schrader),Chevrolet,104.0,14150.0,running,0.0,138.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,33.0,14.0,Rick Crawford,Milwaukee Electric Tool (Tom Mitchell),Ford,104.0,16150.0,running,6.0,139.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,23.0,21.0,Morgan Shepherd,Genzman Racing (DeWilton Genzman),Ford,104.0,13050.0,running,2.0,135.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,6.0,24.0,Jack Sprague,NetZero (Rick Hendrick),Chevrolet,104.0,13865.0,running,1.0,132.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,14.0,66.0,Rick Carelli,Phelon Motorsports (Dale Phelon),Ford,103.0,13765.0,running,0.0,124.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,12.0,8.0,Bobby Dotter,People Against Drugs (Gene Christensen),Chevrolet,103.0,12665.0,running,0.0,121.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,36.0,51.0,Donnie Neuenberger,World Champs Baltimore Ravens / RV TwoWay (Rick Ware),Chevrolet,103.0,14135.0,running,0.0,118.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,25.0,86.0,Derrike Cope,National Wild Turkey Federation (David Hodson),Ford,102.0,13365.0,running,0.0,115.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,22.0,54.0,Brian Sockwell,Cutler-Hammer (Dennis Sockwell),Chevrolet,100.0,12265.0,running,0.0,112.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,29.0,63.0,Larry Gunselman,Waterloo Tool Storage (Mike Mittler),Ford,97.0,12165.0,crash,0.0,109.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,21.0,50.0,Chuck Hossfeld,J.R.'s Garage (Jack Roush),Ford,97.0,13065.0,crash,1.0,111.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,7.0,43.0,Carlos Contreras,Hot Wheels (Petty Enterprises),Dodge,96.0,13915.0,running,0.0,103.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,28.0,94.0,Ronnie Hornaday,"Lucas Oil (Ron Hornaday, Jr.)",Chevrolet,87.0,11890.0,engine,0.0,100.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,4.0,1.0,Ted Musgrave,Mopar Performance (Jim Smith),Dodge,86.0,11790.0,water pump,26.0,102.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,3.0,8.0,Willy T. Ribbs,Dodge Motorsports (Bobby Hamilton Racing),Dodge,84.0,11665.0,running,0.0,94.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,13.0,46.0,Dennis Setzer,Acxiom (David Dollar),Chevrolet,79.0,12565.0,engine,2.0,96.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,9.0,60.0,Travis Kvapil,CAT Rental Stores (Mike Addington),Chevrolet,73.0,12865.0,running,0.0,88.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,30.0,75.0,"Billy Bigley, Jr.",Spears Manufacturing (Wayne Spears),Chevrolet,72.0,12365.0,running,0.0,85.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,34.0,88.0,Matt Crafton,Sealmaster Racing (Duke Thorson),Chevrolet,50.0,12265.0,engine,0.0,82.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,17.0,16.0,David Donohue,TeamRensi.com (Sam Rensi),Chevrolet,38.0,11165.0,engine,0.0,79.0
2001,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,32.0,99.0,Nathan Haseleu,Roush Performance (Jack Roush),Ford,26.0,12065.0,crash,0.0,76.0
