Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2007,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,1.0,60.0,Jack Sprague,Con-Way Freight (Jeff Wyler),Toyota,100.0,93375.0,running,16.0,190.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,10.0,23.0,"Johnny Benson, Jr.",Toyota Certified Used Vehicles (Bill Davis),Toyota,100.0,62825.0,running,10.0,175.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,4.0,6.0,Travis Kvapil,K & N Filters (Jack Roush),Ford,100.0,46175.0,running,49.0,175.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,9.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,100.0,30175.0,running,9.0,165.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,3.0,30.0,Todd Bodine,Lumber Liquidators (Germain Racing),Toyota,100.0,27075.0,running,8.0,160.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,18.0,9.0,Joey Clanton,Zaxby's (Tad Geschickter),Ford,100.0,23525.0,running,0.0,150.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,16.0,33.0,"Ron Hornaday, Jr.",AES HR Solutions (Kevin Harvick),Chevrolet,100.0,21325.0,running,0.0,146.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,26.0,88.0,Matt Crafton,Menards (Duke Thorson),Chevrolet,100.0,20025.0,running,0.0,142.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,8.0,9.0,Ted Musgrave,Team ASE / Germain Toyota (Germain Racing),Toyota,100.0,20825.0,running,1.0,143.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,13.0,14.0,Rick Crawford,Power Stroke Diesel (Tom Mitchell),Ford,100.0,19250.0,running,1.0,139.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,33.0,15.0,Bill Lester,Manheim Central Florida Auto Auction (Billy Ballew),Chevrolet,100.0,17925.0,running,0.0,130.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,5.0,99.0,Erik Darnell,Northern Tool & Equipment (Jack Roush),Ford,100.0,17750.0,running,5.0,132.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,30.0,8.0,Chad McCumbee,GPSStore.com / Garmin (Bobby Dotter),Chevrolet,100.0,17650.0,running,0.0,124.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,14.0,2.0,Cale Gale,Camping World (Kevin Harvick),Chevrolet,100.0,15300.0,running,0.0,121.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,11.0,0.0,A.J. Allmendinger,Red Bull (Darrell Waltrip),Toyota,100.0,17450.0,running,0.0,118.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,12.0,1.0,Aaron Fike,RFMS / Red Horse Racing (Tom DeLoach),Toyota,100.0,17925.0,running,0.0,115.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,20.0,16.0,Stacy Compton,Melling Engine Parts (David Fuge),Ford,100.0,14895.0,running,0.0,112.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,34.0,28.0,Brandon Knupp,"Susan Greenberg, MD / Kissin Kuzzins (Jim Rosenblum)",Chevrolet,100.0,14975.0,running,0.0,109.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,31.0,75.0,Dennis Setzer,Spears Manufacturing (Wayne Spears),Chevrolet,99.0,16925.0,running,0.0,106.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,19.0,10.0,David Starr,International MAXX Force Diesel (Tom Mitchell),Ford,97.0,17275.0,running,0.0,103.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,27.0,77.0,Brendan Gaughan,South Point Hotel (Michael Gaughan),Chevrolet,88.0,16725.0,crash,0.0,100.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,15.0,4.0,Chase Miller,Open Joist (Bobby Hamilton Racing),Dodge,87.0,15375.0,crash,0.0,97.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,32.0,40.0,Mike Bliss,Curtis Key Plumbing (Curtis Key),Chevrolet,85.0,14250.0,crash,0.0,94.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,2.0,50.0,Carl Edwards,Roush Racing (Jack Roush),Ford,83.0,14125.0,running,0.0,91.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,28.0,8.0,Blake Bjorklund,Blue Ox (Dave Malcolmson),Chevrolet,81.0,14025.0,radiator,1.0,93.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,25.0,21.0,Kelly Bires,Air Force (Wood Brothers),Ford,80.0,14925.0,crash,0.0,85.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,7.0,59.0,Terry Cook,Melling Engine Parts / Harris Trucking (James Harris),Toyota,61.0,13800.0,crash,0.0,82.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,23.0,7.0,Tim Sauter,Lester Buildings (Gene Christensen),Chevrolet,56.0,13700.0,crash,0.0,79.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,24.0,13.0,Willie Allen,National Pork Board / Silver Floss (Duke Thorson),Chevrolet,55.0,13600.0,running,0.0,76.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,30.0,17.0,47.0,Kraig Kinser,Ginn Resorts (David Dollar),Chevrolet,41.0,13500.0,crash,0.0,73.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,31.0,6.0,36.0,Tyler Walker,360 OTC (Bill Davis),Toyota,34.0,13450.0,crash,0.0,70.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,32.0,36.0,44.0,Larry Foyt,Sile Stone USA (Curtis Key),Chevrolet,24.0,13400.0,crash,0.0,67.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,33.0,29.0,7.0,Derrike Cope,Hooters Energy Drink (J.L. Pennington),Chevrolet,24.0,13350.0,crash,0.0,64.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,34.0,21.0,18.0,Ken Schrader,Fastenal (Bobby Hamilton Racing),Dodge,23.0,13300.0,crash,0.0,61.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,35.0,35.0,63.0,Jason White,Gunbroker.com (Mike Mittler),Ford,22.0,13250.0,crash,0.0,58.0
2007,1,Daytona,Daytona International Speedway,2.5,paved track,36.0,22.0,46.0,Mike Wallace,DirecTV Hot Pass (David Dollar),Chevrolet,1.0,13165.0,crash,0.0,55.0
2007,2,Fontana,California Speedway,2.0,paved track,1.0,2.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,100.0,64725.0,running,43.0,190.0
2007,2,Fontana,California Speedway,2.0,paved track,2.0,6.0,33.0,"Ron Hornaday, Jr.",AES HR Solutions (Kevin Harvick),Chevrolet,100.0,39275.0,running,1.0,175.0
