Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2024,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,6.0,2.0,Nick Sanchez,Gainbridge (Max Siegel),Chevrolet,101.0,running,26.0,42.0,5.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,26.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,101.0,running,0.0,37.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,20.0,71.0,Rajah Caruth,HendrickCars.com (Spire Motorsports),Chevrolet,101.0,running,1.0,35.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,19.0,32.0,Bret Holmes,Precision Garage Door (Stacy Holmes),Chevrolet,101.0,running,13.0,38.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,31.0,76.0,Spencer Boyd,Tibbetts Lumber,Chevrolet,101.0,running,0.0,32.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,27.0,75.0,Stefan Parsons,Ballpark Buns and Rolls (Charlie Henderson),Chevrolet,101.0,running,0.0,31.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,11.0,88.0,Matt Crafton,Ideal Door/Menards (Duke Thorson),Ford,101.0,running,0.0,38.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,33.0,56.0,Timmy Hill,Coble Enterprises/UNITS (Timmy Hill),Toyota,101.0,running,0.0,29.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,29.0,28.0,Bryan Dauzat,FDNY Racing/OB Builders (Jim Rosenblum),Chevrolet,101.0,running,0.0,28.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,25.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,101.0,running,1.0,39.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,5.0,18.0,Tyler Ankrum,LiUNA! (Bill McAnally),Chevrolet,101.0,running,16.0,42.0,1.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,34.0,22.0,Jason White,powder ventures excavations (Kevin Cywinski),Ford,101.0,running,0.0,25.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,9.0,41.0,Bayley Currey,AutoVentive/Precision (Al Niece),Chevrolet,101.0,running,0.0,32.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,17.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,101.0,running,0.0,23.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,1.0,98.0,Ty Majeski,Road Ranger 50th Store (Mike Curb),Ford,101.0,running,6.0,35.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,8.0,15.0,Tanner Gray,Dead On Tools (David Gilliland),Toyota,101.0,running,1.0,22.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,22.0,9.0,Grant Enfinger,Grant County Mulch (Codie Rohrbaugh),Chevrolet,101.0,running,2.0,23.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,23.0,91.0,Jack Wood,Klotz Synthetics (Bill McAnally),Chevrolet,101.0,running,0.0,23.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,12.0,17.0,Taylor Gray,JBL (David Gilliland),Toyota,100.0,crash,0.0,24.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,3.0,7.0,Corey LaJoie,BlueGreen Vacations (Spire Motorsports),Chevrolet,100.0,crash,5.0,0.0,0.0
2024,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,7.0,43.0,Daniel Dye,Champion Container (Bill McAnally),Chevrolet,100.0,crash,0.0,23.0,0.0
