Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1980,1,Riverside,Riverside International Raceway,2.62,road course,1.0,1.0,88.0,Darrell Waltrip,Gatorade (DiGard Racing),Chevrolet,119.0,24700.0,running,56.0,185.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,2.0,5.0,2.0,Dale Earnhardt,Mike Curb / Hodgdon (Rod Osterlund),Chevrolet,119.0,19400.0,running,0.0,170.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,3.0,3.0,43.0,Richard Petty,STP (Petty Enterprises),Chevrolet,119.0,15100.0,running,13.0,170.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,4.0,9.0,72.0,Joe Millikan,DeWitt Trucking (L.G. DeWitt),Chevrolet,119.0,10200.0,running,0.0,160.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,5.0,10.0,73.0,Bill Schmitt,Shasta County Bank (Bill Schmitt),Oldsmobile,119.0,7455.0,running,0.0,155.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,6.0,13.0,3.0,Richard Childress,CRC Chemicals (Richard Childress),Chevrolet,118.0,5280.0,running,0.0,150.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,7.0,15.0,44.0,Terry Labonte,Stratagraph (Billy Hagan),Chevrolet,118.0,4810.0,running,0.0,146.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,8.0,28.0,40.0,Bill Whittington,Midwestern Farm Lines (D.K. Ulrich),Chevrolet,117.0,4400.0,running,0.0,
1980,1,Riverside,Riverside International Raceway,2.62,road course,9.0,26.0,55.0,Don Whittington,Warner / Curb (DiGard Racing),Chevrolet,117.0,2300.0,running,0.0,
1980,1,Riverside,Riverside International Raceway,2.62,road course,10.0,14.0,25.0,Ronnie Thomas,Stone's Cafeteria (Don Robertson),Chevrolet,116.0,4190.0,running,0.0,134.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,11.0,22.0,8.0,James Hylton,G.W. Dickinson (James Hylton),Chevrolet,115.0,3720.0,running,0.0,130.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,12.0,20.0,75.0,Harry Gant,Rahmoc Enterprises,Oldsmobile,115.0,1800.0,running,0.0,127.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,13.0,34.0,45.0,Roy Smith,Iron Peddlers (Baxter Price),Chevrolet,114.0,1700.0,running,0.0,124.0
1980,1,Riverside,Riverside International Raceway,2.62,road course,14.0,16.0,67.0,Buddy Arrington,Switzer Construction (Buddy Arrington),Dodge,114.0,3260.0,running,0.0,121.0
