Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2022,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,5.0,2.0,Austin Cindric,Discount Tire (Roger Penske),Ford,201.0,running,21.0,45.0,5.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,16.0,23.0,Bubba Wallace,McDonald's (23XI Racing),Toyota,201.0,running,12.0,43.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,9.0,14.0,Chase Briscoe,Mahindra Tractors (Stewart Haas Racing),Ford,201.0,running,0.0,34.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,7.0,12.0,Ryan Blaney,Menards / Blue Def / Peak (Roger Penske),Ford,201.0,running,36.0,33.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,38.0,10.0,Aric Almirola,Smithifeld (Stewart Haas Racing),Ford,201.0,running,0.0,32.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,10.0,18.0,Kyle Busch,M&M's (Joe Gibbs),Toyota,201.0,running,28.0,31.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,6.0,34.0,Michael McDowell,Love's Travel Stops (Bob Jenkins),Ford,201.0,running,0.0,30.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,34.0,15.0,David Ragan,Select Blinds (Rick Ware),Ford,201.0,running,0.0,29.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,3.0,6.0,Brad Keselowski,Kohler Generators (Jack Roush),Ford,201.0,running,67.0,44.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,11.0,9.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,201.0,running,0.0,28.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,26.0,42.0,Ty Dillon,Black Rifle Coffee Co. (Petty GMS Motorsports),Chevrolet,201.0,running,0.0,26.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,33.0,16.0,Daniel Hemric,Heritage Pool Supply Group (Matthew Kaulig),Chevrolet,201.0,running,0.0,0.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,14.0,19.0,Martin Truex Jr,Bass Pro Shops (Joe Gibbs),Toyota,201.0,running,11.0,44.0,2.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,24.0,7.0,Corey LaJoie,Built.com (Spire Motorsports),Chevrolet,201.0,running,0.0,23.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,27.0,77.0,Landon Cassill,Fox Nation (Spire Motorsports),Chevrolet,201.0,running,0.0,0.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,4.0,17.0,Chris Buescher,Fastenal (Jack Roush),Ford,200.0,running,0.0,25.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,32.0,51.0,Cody Ware,Nurtec ODT (Rick Ware),Ford,200.0,running,0.0,20.0,0.0
