manufacturer,season,mfg_season_races,mfg_season_wins,mfg_season_top_5,mfg_season_top_10,mfg_season_top_20,mfg_season_win_pct,mfg_season_trucks_raced,mfg_season_truck_win_pct,mfg_season_avg_start,mfg_season_avg_finish,mfg_season_avg_laps_led,mfg_season_laps_led
RAM,2014,8,0,1,1,2,0.0,14,0.0,28.71,26.36,0.29,4
Toyota,2014,22,18,65,119,188,0.81818,229,0.0786,11.27,11.91,10.3,2359
Chevrolet,2015,23,5,33,77,241,0.21739,460,0.01087,19.81,19.25,1.52,699
Ford,2015,23,4,23,33,51,0.17391,63,0.06349,11.68,11.75,6.49,409
RAM,2015,4,0,0,0,1,0.0,5,0.0,29.2,28.6,0.0,0
Toyota,2015,23,14,59,120,167,0.6087,204,0.06863,9.92,11.17,11.5,2347
Chevrolet,2016,23,8,36,85,194,0.34783,388,0.02062,19.71,18.92,2.46,956
Ford,2016,23,1,20,33,59,0.04348,75,0.01333,13.11,13.72,5.91,443
RAM,2016,1,0,0,0,0,0.0,2,0.0,28.5,26.5,0.0,0
Toyota,2016,23,14,59,112,207,0.6087,269,0.05204,12.61,13.59,7.58,2038
Chevrolet,2017,23,9,38,78,210,0.3913,422,0.02133,20.2,19.44,2.02,852
Ford,2017,23,2,18,33,58,0.08696,73,0.0274,12.04,12.0,5.4,394
Toyota,2017,23,12,59,119,192,0.52174,224,0.05357,9.88,11.33,9.76,2186
Chevrolet,2018,23,11,47,100,242,0.47826,470,0.0234,19.36,18.9,2.59,1217
Ford,2018,23,3,26,57,96,0.13043,111,0.02703,11.77,11.63,5.33,592
Toyota,2018,23,9,42,73,122,0.3913,155,0.05806,11.23,12.72,10.28,1594
Chevrolet,2019,23,10,44,84,219,0.43478,401,0.02494,19.35,18.47,3.84,1539
Ford,2019,23,1,28,64,92,0.04348,116,0.00862,11.13,12.09,5.97,692
Toyota,2019,23,12,43,82,149,0.52174,214,0.05607,13.73,14.86,5.44,1164
Chevrolet,2020,23,10,40,85,208,0.43478,445,0.02247,21.8,21.06,3.75,1668
Ford,2020,23,6,37,71,117,0.26087,160,0.0375,13.01,14.44,3.31,529
Toyota,2020,23,7,38,74,135,0.30435,236,0.02966,17.31,17.73,4.25,1003
Chevrolet,2021,22,5,29,76,199,0.22727,439,0.01139,22.38,21.86,2.34,1028
Ford,2021,22,2,15,26,54,0.09091,115,0.01739,21.55,21.23,3.35,385
Toyota,2021,22,15,66,118,187,0.68182,296,0.05068,15.44,16.34,5.27,1559
Chevrolet,2022,23,5,22,59,168,0.21739,388,0.01289,21.05,21.56,1.57,610
Ford,2022,23,6,24,39,67,0.26087,94,0.06383,14.53,14.94,7.27,683
Toyota,2022,23,12,69,132,225,0.52174,343,0.03499,16.55,15.86,5.52,1894
Chevrolet,2023,23,14,56,115,240,0.6087,413,0.0339,17.63,18.11,3.79,1567
Ford,2023,23,6,29,53,100,0.26087,185,0.03243,19.12,18.57,5.51,1019
Toyota,2023,23,3,30,62,120,0.13043,224,0.01339,19.13,18.7,3.3,740
Chevrolet,2024,15,9,45,83,166,0.6,280,0.03214,17.62,17.39,4.96,1390
Ford,2024,15,1,12,27,59,0.06667,125,0.008,18.63,19.98,2.91,364
Toyota,2024,15,5,18,40,75,0.33333,111,0.04505,17.02,16.08,4.75,527
