owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Bruce Griffin,13,0,0.0,1,10,11,13,0.0,8.46,10.62,3,0.23
Bryan Hill,8,0,0.0,0,1,6,8,0.0,20.25,17.88,0,0.0
Bryan Reffner,2,0,0.0,0,0,1,2,0.0,26.0,22.0,0,0.0
Buddy Morrison,6,0,0.0,0,0,1,6,0.0,27.5,25.5,1,0.17
Carl Hartman,11,0,0.0,0,0,1,11,0.0,27.55,29.64,5,0.45
Carl Long,3,0,0.0,0,0,1,3,0.0,26.33,23.33,0,0.0
Carl Wegner,8,0,0.0,0,0,3,8,0.0,28.13,23.63,0,0.0
Carlos Contreras,16,0,0.0,1,1,6,16,0.0,23.81,23.0,109,6.81
Carlos Lira,1,0,0.0,0,0,1,2,0.0,21.5,20.0,0,0.0
Carlos Serrano,3,0,0.0,0,0,1,3,0.0,29.67,21.0,0,0.0
Cary Agajanian,5,0,0.0,1,1,3,5,0.0,23.6,16.6,139,27.8
Cathy Venturini,3,0,0.0,0,0,0,3,0.0,30.33,31.67,0,0.0
Charles Buchanan,1,0,0.0,0,0,0,1,0.0,35.0,29.0,0,0.0
Charles Hardy,53,0,0.0,3,17,37,53,0.0,18.32,16.19,46,0.87
Charles Morgan,1,0,0.0,0,0,1,1,0.0,23.0,18.0,0,0.0
Charles Zahn,1,0,0.0,0,0,0,1,0.0,23.0,31.0,0,0.0
Charlie Bradberry,11,0,0.0,0,0,2,11,0.0,27.36,28.18,0,0.0
Charlie Henderson,99,2,0.0202,9,29,58,99,0.0202,21.48,17.85,119,1.2
