Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1989,1,Daytona,1.0,2.0,17.0,Darrell Waltrip,Tide With Bleach (Rick Hendrick),Chevrolet,200.0,184900.0,running,25.0,180.0
1989,1,Daytona,2.0,1.0,25.0,Ken Schrader,Folger's Coffee (Rick Hendrick),Chevrolet,200.0,182700.0,running,114.0,180.0
1989,1,Daytona,3.0,8.0,3.0,Dale Earnhardt,GM Goodwrench (Richard Childress),Chevrolet,200.0,95550.0,running,3.0,170.0
1989,1,Daytona,4.0,10.0,5.0,Geoffrey Bodine,Levi Garrett (Rick Hendrick),Chevrolet,200.0,79250.0,running,9.0,165.0
1989,1,Daytona,5.0,7.0,55.0,Phil Parsons,Crown Petroleum (Leo Jackson / Richard Jackson),Oldsmobile,200.0,70325.0,running,12.0,160.0
1989,1,Daytona,6.0,11.0,66.0,Rick Mast,Bill Edwards,Chevrolet,200.0,52525.0,running,9.0,155.0
1989,1,Daytona,7.0,9.0,7.0,Alan Kulwicki,Zerex (Alan Kulwicki),Ford,200.0,52325.0,running,6.0,151.0
1989,1,Daytona,8.0,40.0,4.0,Rick Wilson,Kodak Film (Larry McClure),Oldsmobile,200.0,47325.0,running,7.0,147.0
1989,1,Daytona,9.0,4.0,11.0,Terry Labonte,Budweiser (Junior Johnson),Ford,200.0,68400.0,running,3.0,143.0
1989,1,Daytona,10.0,41.0,23.0,Eddie Bierschwale,Peak Antifreeze (Don Bierschwale),Oldsmobile,200.0,31725.0,running,2.0,139.0
1989,1,Daytona,11.0,6.0,94.0,Sterling Marlin,Sunoco Ultra (Billy Hagan),Oldsmobile,199.0,47325.0,running,0.0,130.0
1989,1,Daytona,12.0,12.0,33.0,Harry Gant,Skoal Bandit (Leo Jackson / Richard Jackson),Oldsmobile,199.0,30000.0,running,0.0,127.0
1989,1,Daytona,13.0,17.0,45.0,Joe Ruttman,Schaefer / Machinists Union (Chuck Wellings),Pontiac,199.0,24505.0,running,0.0,
1989,1,Daytona,14.0,14.0,16.0,Larry Pearson,Chattanooga Chew (David Pearson),Buick,199.0,23915.0,running,0.0,121.0
1989,1,Daytona,15.0,3.0,75.0,Morgan Shepherd,Valvoline (Rahmoc Enterprises),Pontiac,199.0,44900.0,running,0.0,118.0
1989,1,Daytona,16.0,15.0,10.0,Ken Bouchard,Simoniz (Bob Whitcomb),Pontiac,198.0,23180.0,running,0.0,115.0
1989,1,Daytona,17.0,34.0,43.0,Richard Petty,STP (Petty Enterprises),Pontiac,198.0,19335.0,running,0.0,112.0
1989,1,Daytona,18.0,35.0,27.0,Rusty Wallace,Kodiak (Raymond Beadle),Pontiac,197.0,24790.0,running,0.0,109.0
1989,1,Daytona,19.0,36.0,26.0,Ricky Rudd,Quaker State (Kenny Bernstein),Buick,197.0,19120.0,running,2.0,111.0
1989,1,Daytona,20.0,19.0,71.0,Dave Marcis,Lifebuoy Soap (Dave Marcis),Chevrolet,197.0,20785.0,running,1.0,108.0
1989,1,Daytona,21.0,23.0,30.0,Michael Waltrip,Country Time Lemonade (Chuck Rider),Pontiac,197.0,18825.0,running,1.0,105.0
1989,1,Daytona,22.0,32.0,40.0,Ben Hess,Oldsmobile (Ben Hess),Oldsmobile,196.0,14300.0,running,0.0,97.0
1989,1,Daytona,23.0,37.0,88.0,Greg Sacks,Crisco (Buddy Baker / Danny Schiff),Pontiac,196.0,15595.0,running,0.0,94.0
1989,1,Daytona,24.0,29.0,70.0,J.D. McDuffie,Rumple Furniture / Son's Auto Supply (J.D. McDuffie),Pontiac,193.0,13640.0,running,0.0,91.0
1989,1,Daytona,25.0,16.0,28.0,Davey Allison,Havoline (Yates Racing),Ford,193.0,22985.0,running,0.0,88.0
1989,1,Daytona,26.0,21.0,69.0,Lee Raymond,Bobby Fisher Distribution (Lucky Compton),Ford,189.0,13530.0,running,0.0,
1989,1,Daytona,27.0,22.0,84.0,Mike Alexander,Miller High Life (Stavola Brothers),Buick,188.0,16275.0,running,0.0,82.0
1989,1,Daytona,28.0,27.0,19.0,Ronnie Sanders,Hardy Chevrolet (Henley Gray),Chevrolet,184.0,12570.0,running,0.0,79.0
1989,1,Daytona,29.0,18.0,15.0,Brett Bodine,Motorcraft (Bud Moore),Ford,177.0,16015.0,valve,0.0,76.0
1989,1,Daytona,30.0,39.0,83.0,Lake Speed,Kraft BBQ Sauce (Lake Speed),Oldsmobile,150.0,14010.0,running,0.0,73.0
1989,1,Daytona,31.0,31.0,73.0,Phil Barkdoll,Oldsmobile / Bobby Fisher (Phil Barkdoll),Oldsmobile,143.0,10855.0,crash,2.0,75.0
1989,1,Daytona,32.0,20.0,29.0,Dale Jarrett,Hardee's (Cale Yarborough),Pontiac,131.0,15000.0,running,0.0,67.0
1989,1,Daytona,33.0,5.0,6.0,Mark Martin,Stroh's Light (Jack Roush),Ford,110.0,23445.0,crash,0.0,64.0
1989,1,Daytona,34.0,42.0,67.0,Mickey Gibbs,Alka-Seltzer (Buddy Arrington),Pontiac,76.0,9940.0,engine,0.0,61.0
1989,1,Daytona,35.0,13.0,9.0,Bill Elliott,Coors (Harry Melling),Ford,72.0,24310.0,crash,0.0,58.0
