Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1949,1,Charlotte,1.0,12,34.0,Jim Roper,Mecklenburg Motors (R.B. McIntosh),'49 Lincoln,197,2000.0,running,47.0
1949,1,Charlotte,2.0,5,47.0,Fonty Flock,Grady Cole / Bruce Griffin,'49 Hudson,–,1000.0,running,0.0
1949,1,Charlotte,3.0,3,22.0,Red Byron,Parks Novelty (Raymond Parks),'49 Oldsmobile,–,500.0,running,0.0
1949,1,Charlotte,4.0,14,2.0,Sam Rice,Rice Racing (Sam Rice),'49 Oldsmobile,–,300.0,running,0.0
1949,1,Charlotte,5.0,2,90.0,Tim Flock,Buddy Elliott,'49 Oldsmobile,–,200.0,running,0.0
1949,1,Charlotte,6.0,–,37.0,Archie Smith,Frank Smith,'46 Ford,–,175.0,–,0.0
1949,1,Charlotte,7.0,–,31.0,Sterling Long,Long Racing (Sterling Long),'46 Hudson,–,150.0,–,0.0
1949,1,Charlotte,8.0,–,28.0,Slick Smith,Slick Smith,'49 Oldsmobile,–,125.0,–,0.0
1949,1,Charlotte,9.0,6,41.0,Curtis Turner,Curtis Turner,'46 Buick,–,100.0,–,0.0
1949,1,Charlotte,10.0,–,36.0,Jimmy Thompson,Bruce Thompson,'46 Chrysler,–,75.0,–,0.0
1949,1,Charlotte,11.0,–,87.0,Buck Baker,Penny Mullis,'48 Kaiser,–,50.0,–,0.0
1949,1,Charlotte,12.0,8,44.0,Bill Blair,R.B. McIntosh,'49 Lincoln,150,50.0,overheating,145.0
1949,1,Charlotte,13.0,–,52.0,Jack Smith,Bishop Brothers,'48 Ford,–,50.0,overheating,0.0
1949,1,Charlotte,14.0,13,71.0,Sara Christian,Frank Christian,'47 Ford,–,50.0,overheating,0.0
1949,1,Charlotte,15.0,–,,John Barker,–,'47 Kaiser,–,50.0,–,0.0
1949,1,Charlotte,16.0,–,0.0,Jimmie Lewallen,Jimmie Lewallen,'46 Ford,–,25.0,–,0.0
1949,1,Charlotte,17.0,9,38.0,Lee Petty,Gilmer Goode,'48 Buick,105,25.0,crash,0.0
1949,1,Charlotte,18.0,–,11.0,Skimp Hersey,Skimp Hersey,'47 Ford,–,25.0,–,0.0
1949,1,Charlotte,19.0,–,25.0,Bob Smith,Lane's Motor Co.,'49 Oldsmobile,–,25.0,–,0.0
1949,1,Charlotte,20.0,4,19.0,Otis Martin,Pee Wee Martin,'48 Ford,–,25.0,overheating,0.0
1949,1,Charlotte,21.0,–,37.0,Frank Smith,Smith Racing (Frank Smith),'47 Chrysler,–,,–,0.0
1949,1,Charlotte,22.0,–,16.0,Bill Snowden,Snowden Racing (Bill Snowden),'48 Mercury,–,,overheating,0.0
1949,1,Charlotte,23.0,–,60.0,Jim Paschal,Jim Paschal,'46 Ford,–,,overheating,0.0
1949,1,Charlotte,24.0,–,1.0,B.E. Renfro,B.E. Renfro,'49 Hudson,–,,–,0.0
1949,1,Charlotte,25.0,–,10.0,Fred Johnson,Fred Johnson,'47 Ford,–,,–,0.0
1949,1,Charlotte,26.0,–,88.0,George Mantooth,George Mantooth,'47 Ford,–,,–,0.0
1949,1,Charlotte,27.0,–,5.0,Felix Wilkes,Felix Wilkes,'49 Lincoln,–,,overheating,0.0
1949,1,Charlotte,28.0,10,9.0,Pee Wee Martin,Pee Wee Martin,'49 Oldsmobile,–,,–,0.0
1949,1,Charlotte,29.0,–,93.0,Herb Thomas,Thomas Racing (Herb Thomas),'47 Ford,–,,springs,0.0
1949,1,Charlotte,30.0,–,4.0,Frank Mundy,Sam Rice,'49 Cadillac,–,,rf spindle,0.0
1949,1,Charlotte,31.0,–,29.0,Clarence Benton,Clarence Benton,'49 Ford,–,,–,0.0
1949,1,Charlotte,32.0,1,7.0,Bob Flock,Davis Brothers,'46 Hudson,38,,engine,5.0
1949,1,Charlotte,33.0,7,25.0,Glenn Dunaway,Hubert Westmoreland,'47 Ford,200,,disqualified,0.0
