Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1963,1,Birmingham,1.0,1.0,41.0,Jim Paschal,Petty Enterprises,'62 Plymouth,200.0,1000.0,running,192.0
1963,1,Birmingham,2.0,6.0,43.0,Richard Petty,Petty Enterprises,'62 Plymouth,199.0,600.0,running,8.0
1963,1,Birmingham,3.0,12.0,87.0,Buck Baker,Buck Baker,'62 Chrysler,198.0,400.0,running,0.0
1963,1,Birmingham,4.0,5.0,54.0,Jimmy Pardue,Jimmy Pardue,'62 Pontiac,198.0,300.0,running,0.0
1963,1,Birmingham,5.0,3.0,26.0,Darel Dieringer,Mamie Reynolds,'62 Ford,197.0,275.0,running,0.0
1963,1,Birmingham,6.0,2.0,47.0,Jack Smith,Jack Smith,'62 Pontiac,197.0,240.0,running,0.0
1963,1,Birmingham,7.0,4.0,4.0,Rex White,Louis Clements (Rex White),'62 Chevrolet,197.0,200.0,running,0.0
1963,1,Birmingham,8.0,11.0,8.0,Joe Weatherly,Bud Moore,'62 Pontiac,197.0,375.0,running,0.0
1963,1,Birmingham,9.0,8.0,61.0,Sherman Utsman,Sherman Utsman,'62 Ford,196.0,150.0,running,0.0
1963,1,Birmingham,10.0,10.0,36.0,Larry Thomas,Wade Younts,'62 Dodge,194.0,140.0,running,0.0
1963,1,Birmingham,11.0,7.0,11.0,Ned Jarrett,B.G. Holloway,'62 Chevrolet,188.0,130.0,crash,0.0
1963,1,Birmingham,12.0,17.0,2.0,Bill Foster,Cliff Stewart,'62 Pontiac,187.0,120.0,running,0.0
1963,1,Birmingham,13.0,18.0,18.0,Stick Elliott,Toy Bolton,'62 Pontiac,186.0,110.0,running,0.0
1963,1,Birmingham,14.0,9.0,42.0,Maurice Petty,Petty Enterprises,'62 Plymouth,186.0,100.0,crash,0.0
1963,1,Birmingham,15.0,15.0,19.0,Herman Beam,Herman Beam,'62 Ford,186.0,85.0,running,0.0
1963,1,Birmingham,16.0,13.0,1.0,George Green,Jess Potter,'62 Chevrolet,185.0,75.0,running,0.0
1963,1,Birmingham,17.0,20.0,79.0,T.C. Hunt,Ralph Smith,'62 Chevrolet,184.0,65.0,running,0.0
1963,1,Birmingham,18.0,19.0,30.0,Charley Griffith,E.A. McQuaig,'62 Pontiac,182.0,60.0,running,0.0
1963,1,Birmingham,19.0,14.0,62.0,Curtis Crider,Curtis Crider,'62 Mercury,148.0,50.0,rear end,0.0
1963,1,Birmingham,20.0,16.0,81.0,LeeRoy Yarbrough,Jimmy Baker,'62 Mercury,114.0,50.0,brakes,0.0
1963,1,Birmingham,21.0,21.0,9.0,Cotton Hodges,Wildcat Williams,'62 Ford,9.0,50.0,oil leak,0.0
1963,2,Tampa,1.0,5.0,43,Richard Petty,Petty Enterprises,'62 Plymouth,200.0,780.0,running,158.0
1963,2,Tampa,2.0,2.0,41,Jim Paschal,Petty Enterprises,'62 Plymouth,200.0,490.0,running,1.0
1963,2,Tampa,3.0,7.0,8,Joe Weatherly,Bud Moore,'62 Pontiac,200.0,580.0,running,0.0
1963,2,Tampa,4.0,8.0,54,Jimmy Pardue,Jimmy Pardue,'62 Pontiac,199.0,275.0,running,0.0
