owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Mike Ober,25,0,0.0,16.79,5,43,19.6,5,39,0.0,0,0,,,18385,799,2170,50
Mike Potter,15,0,0.0,31.13,16,39,27.93,16,39,0.0,0,0,79.46,,19945,1330,3335,400
Mike Stolarcyk,1,0,0.0,37.0,37,37,32.0,32,32,0.0,0,0,67.0,,1615,1615,1615,1615
Mike White,9,0,0.0,26.89,16,37,22.44,16,30,0.22,2,2,96.22,,12280,1364,2285,805
Millard Clothier,1,0,0.0,,,,15.0,15,15,0.0,0,0,,,50,50,50,50
Millard Wright,7,0,0.0,19.8,15,22,13.86,8,33,0.0,0,0,,,660,94,150,50
Milt Lunda,34,0,0.0,9.44,2,45,17.35,3,37,0.65,22,10,,,26535,804,2850,100
Monroe Shook,70,2,0.02857,12.28,1,46,12.43,1,46,5.66,396,361,,,32640,495,3125,25
Monte Walden,1,0,0.0,67.0,67,67,50.0,50,50,0.0,0,0,,,200,200,200,200
Monty Myers,2,0,0.0,6.0,6,6,16.5,5,28,5.5,11,11,,,4825,2413,3530,1295
Morgan Shepherd,42,0,0.0,37.1,10,43,36.48,13,43,0.24,10,4,54.17,,1820416,43343,75400,1310
Morris Davis,20,0,0.0,22.55,4,39,29.4,7,48,0.4,8,5,74.67,,28033,1402,4220,215
Mountain Meadows Hotel,1,0,0.0,9.0,9,9,27.0,27,27,0.0,0,0,,,325,325,325,325
Mueller Brothers,39,0,0.0,30.67,5,40,27.67,9,41,0.0,0,0,80.05,,240860,6176,28645,1600
Murrace Walker,2,0,0.0,34.5,33,36,48.0,22,74,0.0,0,0,,,0,,,
Myers Racing,1,0,0.0,36.0,36,36,36.0,36,36,0.0,0,0,,,820,820,820,820
Nace Mattingly,18,0,0.0,21.06,4,60,18.11,5,63,0.0,0,0,,,2190,137,350,25
Nash Dealers of Greater Detroit,1,0,0.0,4.0,4,4,39.0,39,39,0.0,0,0,,,25,25,25,25
Nash Motor Co.,12,1,0.08333,15.0,7,22,20.5,1,47,8.67,104,104,,,1425,238,1000,25
Nat Reeder,1,0,0.0,38.0,38,38,13.0,13,13,0.0,0,0,,,625,625,625,625
Natz Peters,1,0,0.0,31.0,31,31,34.0,34,34,0.0,0,0,61.0,,800,800,800,800
Ned Jarrett,63,7,0.11111,11.22,1,54,12.7,1,59,12.25,772,200,,,24195,424,3275,50
