Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1998,1,Daytona,1.0,4.0,3.0,Dale Earnhardt,GM Goodwrench Service Plus (Richard Childress),Chevrolet,200.0,1059805.0,running,107.0,185.0
1998,1,Daytona,2.0,1.0,18.0,Bobby Labonte,Interstate Batteries / Hot Rod Magazine (Joe Gibbs),Pontiac,200.0,549255.0,running,22.0,175.0
1998,1,Daytona,3.0,13.0,12.0,Jeremy Mayfield,Mobil 1 (Michael Kranefuss),Ford,200.0,375705.0,running,0.0,165.0
1998,1,Daytona,4.0,31.0,33.0,Ken Schrader,Skoal Bandit (Andy Petree),Chevrolet,200.0,313480.0,running,0.0,160.0
1998,1,Daytona,5.0,12.0,2.0,Rusty Wallace,Miller Lite (Roger Penske),Ford,200.0,232705.0,running,4.0,160.0
1998,1,Daytona,6.0,10.0,36.0,Ernie Irvan,Skittles (Nelson Bowers),Pontiac,200.0,205200.0,running,0.0,150.0
1998,1,Daytona,7.0,21.0,97.0,Chad Little,John Deere (Jack Roush),Ford,200.0,127680.0,running,0.0,146.0
1998,1,Daytona,8.0,8.0,31.0,Mike Skinner,Lowe's (Richard Childress),Chevrolet,200.0,135705.0,running,1.0,147.0
1998,1,Daytona,9.0,6.0,21.0,Michael Waltrip,Citgo (Wood Brothers),Ford,200.0,142705.0,running,0.0,138.0
1998,1,Daytona,10.0,19.0,94.0,Bill Elliott,McDonald's (Bill Elliott),Ford,200.0,129155.0,running,0.0,134.0
1998,1,Daytona,11.0,39.0,44.0,Kyle Petty,Hot Wheels / Blues Brothers 2000 (Kyle Petty),Pontiac,200.0,125855.0,running,0.0,130.0
1998,1,Daytona,12.0,22.0,4.0,Bobby Hamilton,Kodak MAX Film (Larry McClure),Chevrolet,200.0,118155.0,running,0.0,127.0
1998,1,Daytona,13.0,2.0,5.0,Terry Labonte,Kellogg's Corn Flakes (Rick Hendrick),Chevrolet,200.0,116705.0,running,2.0,129.0
1998,1,Daytona,14.0,32.0,50.0,Ricky Craven,Budweiser (Rick Hendrick),Chevrolet,200.0,108410.0,running,0.0,121.0
1998,1,Daytona,15.0,7.0,23.0,Jimmy Spencer,Winston / No Bull (Travis Carter),Ford,200.0,116255.0,running,0.0,118.0
1998,1,Daytona,16.0,29.0,24.0,Jeff Gordon,DuPont Refinishes (Rick Hendrick),Chevrolet,200.0,115430.0,running,56.0,120.0
1998,1,Daytona,17.0,16.0,9.0,Lake Speed,Cartoon Network (Harry Melling),Ford,200.0,96705.0,running,0.0,112.0
1998,1,Daytona,18.0,17.0,43.0,John Andretti,STP (Petty Enterprises),Pontiac,200.0,106180.0,running,0.0,109.0
1998,1,Daytona,19.0,38.0,28.0,"Kenny Irwin, Jr.",Texaco / Havoline (Yates Racing),Ford,199.0,107280.0,running,0.0,106.0
1998,1,Daytona,20.0,37.0,16.0,Ted Musgrave,Primestar / Cheerios (Jack Roush),Ford,199.0,101730.0,running,0.0,103.0
1998,1,Daytona,21.0,26.0,13.0,Jerry Nadeau,FirstPlus Loans (Bill Elliott),Ford,199.0,87855.0,running,0.0,100.0
1998,1,Daytona,22.0,3.0,40.0,Sterling Marlin,Coors Light (Felix Sabates),Chevrolet,199.0,122005.0,running,2.0,102.0
1998,1,Daytona,23.0,23.0,73.0,Mike Wallace,X-1R (Phil Barkdoll),Chevrolet,199.0,86105.0,running,0.0,94.0
1998,1,Daytona,24.0,42.0,11.0,Brett Bodine,Paychex (Brett Bodine),Ford,199.0,95555.0,running,0.0,91.0
1998,1,Daytona,25.0,9.0,22.0,Ward Burton,MBNA America (Bill Davis),Pontiac,199.0,98805.0,running,0.0,88.0
1998,1,Daytona,26.0,28.0,42.0,Joe Nemechek,BellSouth (Felix Sabates),Chevrolet,199.0,93080.0,running,6.0,90.0
1998,1,Daytona,27.0,34.0,90.0,Dick Trickle,Heilig-Meyers / Simmons (Junie Donlavey),Ford,198.0,91705.0,running,0.0,82.0
1998,1,Daytona,28.0,41.0,41.0,Steve Grissom,Kodiak (Larry Hedrick),Chevrolet,198.0,90730.0,running,0.0,79.0
1998,1,Daytona,29.0,18.0,95.0,Andy Hillenburg,Shoney's Inns (Sadler Brothers),Chevrolet,198.0,80205.0,running,0.0,76.0
1998,1,Daytona,30.0,27.0,75.0,Rick Mast,Remington Arms (Butch Mock),Ford,197.0,79055.0,running,0.0,73.0
1998,1,Daytona,31.0,25.0,7.0,Geoffrey Bodine,Philips Consumer Communications (Jim Mattei),Ford,197.0,85580.0,running,0.0,70.0
1998,1,Daytona,32.0,30.0,77.0,Robert Pressley,Jasper Engines (Doug Bawel),Ford,197.0,77055.0,running,0.0,67.0
1998,1,Daytona,33.0,43.0,17.0,Darrell Waltrip,Speedblock / Builders Square (Darrell Waltrip),Chevrolet,196.0,82705.0,running,0.0,64.0
1998,1,Daytona,34.0,5.0,88.0,Dale Jarrett,Ford Quality Care Service / Ford Credit (Yates Racing),Ford,196.0,111505.0,running,0.0,61.0
1998,1,Daytona,35.0,36.0,47.0,Billy Standridge,Team Fans Can Race (Billy Standridge),Ford,196.0,74005.0,running,0.0,58.0
1998,1,Daytona,36.0,35.0,71.0,Dave Marcis,RealTree Camouflage (Dave Marcis),Chevrolet,193.0,72930.0,running,0.0,55.0
1998,1,Daytona,37.0,11.0,30.0,Derrike Cope,Gumout (Chuck Rider),Pontiac,191.0,81355.0,running,0.0,52.0
1998,1,Daytona,38.0,15.0,6.0,Mark Martin,Valvoline / Cummins (Jack Roush),Ford,187.0,88255.0,running,0.0,49.0
1998,1,Daytona,39.0,24.0,98.0,Greg Sacks,Thorn Apple Valley (Cale Yarborough),Ford,173.0,78180.0,running,0.0,46.0
1998,1,Daytona,40.0,14.0,99.0,Jeff Burton,Exide Batteries (Jack Roush),Ford,160.0,89955.0,engine,0.0,43.0
1998,1,Daytona,41.0,33.0,1.0,Steve Park,"Pennzoil (Dale Earnhardt, Inc.)",Chevrolet,158.0,70780.0,ignition,0.0,40.0
1998,1,Daytona,42.0,40.0,10.0,Ricky Rudd,Tide (Ricky Rudd),Ford,117.0,87230.0,ignition,0.0,37.0
1998,1,Daytona,43.0,20.0,91.0,Kevin Lepage,First Union Bank (Joe Falk),Chevrolet,78.0,71230.0,engine,0.0,34.0
1998,2,Rockingham,1.0,4.0,24.0,Jeff Gordon,DuPont Refinishes (Rick Hendrick),Chevrolet,393.0,90090.0,running,73.0,180.0
1998,2,Rockingham,2.0,7.0,2.0,Rusty Wallace,Miller Lite (Roger Penske),Ford,393.0,49240.0,running,74.0,175.0
1998,2,Rockingham,3.0,6.0,6.0,Mark Martin,Valvoline / Cummins (Jack Roush),Ford,393.0,51940.0,running,104.0,175.0
1998,2,Rockingham,4.0,28.0,23.0,Jimmy Spencer,Winston No Bull (Travis Carter),Ford,393.0,45120.0,running,0.0,160.0
1998,2,Rockingham,5.0,20.0,7.0,Geoffrey Bodine,Philips Consumer Communications (Jim Mattei),Ford,393.0,39225.0,running,11.0,160.0
1998,2,Rockingham,6.0,16.0,94.0,Bill Elliott,McDonald's (Bill Elliott),Ford,393.0,35225.0,running,3.0,155.0
1998,2,Rockingham,7.0,32.0,88.0,Dale Jarrett,Quality Care / Ford Credit (Yates Racing),Ford,393.0,42500.0,running,7.0,151.0
1998,2,Rockingham,8.0,21.0,5.0,Terry Labonte,Kellogg's Corn Flakes (Rick Hendrick),Chevrolet,393.0,36625.0,running,0.0,142.0
1998,2,Rockingham,9.0,33.0,4.0,Bobby Hamilton,Kodak MAX Film (Larry McClure),Chevrolet,393.0,31825.0,running,1.0,143.0
1998,2,Rockingham,10.0,22.0,50.0,Ricky Craven,Budweiser (Rick Hendrick),Chevrolet,393.0,36025.0,running,6.0,139.0
1998,2,Rockingham,11.0,14.0,22.0,Ward Burton,MBNA America (Bill Davis),Pontiac,393.0,30750.0,running,0.0,130.0
1998,2,Rockingham,12.0,1.0,75.0,Rick Mast,Remington M597 Rifles (Butch Mock),Ford,393.0,33700.0,running,58.0,132.0
