Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2021,1,Daytona,1.0,17.0,34.0,Michael McDowell,Love's Travel Stops / Speedco (Bob Jenkins),Ford,200.0,running,1.0,44.0,5.0
2021,1,Daytona,2.0,12.0,9.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,200.0,running,3.0,42.0,0.0
2021,1,Daytona,3.0,4.0,3.0,Austin Dillon,Bass Pro Shops / Tracker Off Road (Richard Childress),Chevrolet,200.0,running,7.0,48.0,0.0
2021,1,Daytona,4.0,8.0,4.0,Kevin Harvick,Busch Light #TheCrew (Stewart Haas Racing),Ford,200.0,running,17.0,42.0,0.0
2021,1,Daytona,5.0,25.0,11.0,Denny Hamlin,FedEx (Joe Gibbs),Toyota,200.0,running,98.0,52.0,2.0
2021,1,Daytona,6.0,11.0,37.0,Ryan Preece,Cottonelle (JTG-Daugherty Racing),Chevrolet,200.0,running,0.0,40.0,0.0
2021,1,Daytona,7.0,34.0,42.0,Ross Chastain,Clover (Chip Ganassi),Chevrolet,200.0,running,0.0,32.0,0.0
2021,1,Daytona,8.0,19.0,77.0,Jamie McMurray,Advent Health / Bass Pro Shops (Spire Motorsports),Chevrolet,200.0,running,0.0,29.0,0.0
2021,1,Daytona,9.0,16.0,7.0,Corey LaJoie,Youtheory (Spire Motorsports),Chevrolet,200.0,running,0.0,28.0,0.0
2021,1,Daytona,10.0,13.0,5.0,Kyle Larson,Nations Guard (Rick Hendrick),Chevrolet,200.0,running,1.0,37.0,0.0
2021,1,Daytona,11.0,27.0,41.0,Cole Custer,HaasTooling.com (Stewart Haas Racing),Ford,200.0,running,1.0,27.0,0.0
2021,1,Daytona,12.0,9.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,199.0,crash,26.0,33.0,0.0
2021,1,Daytona,13.0,24.0,2.0,Brad Keselowski,Discount Tire (Roger Penske),Ford,199.0,crash,0.0,25.0,0.0
2021,1,Daytona,14.0,10.0,18.0,Kyle Busch,M&M's (Joe Gibbs),Toyota,199.0,crash,0.0,25.0,0.0
2021,1,Daytona,15.0,39.0,33.0,Austin Cindric,Verizon 5G (Roger Penske),Ford,199.0,crash,2.0,0.0,0.0
2021,1,Daytona,16.0,5.0,20.0,Christopher Bell,DeWalt (Joe Gibbs),Toyota,199.0,running,32.0,26.0,0.0
2021,1,Daytona,17.0,6.0,23.0,Bubba Wallace,Door Dash (23XI Racing),Toyota,198.0,crash,1.0,32.0,0.0
2021,1,Daytona,18.0,21.0,47.0,Ricky Stenhouse Jr,Kroger / NOS Energy Drink (JTG-Daugherty Racing),Chevrolet,198.0,running,0.0,19.0,0.0
2021,1,Daytona,19.0,30.0,14.0,Chase Briscoe,HighPoint.com (Stewart Haas Racing),Ford,197.0,running,0.0,18.0,0.0
2021,1,Daytona,20.0,28.0,53.0,Joey Gase,Page Construction / Fox Nation (Rick Ware),Ford,196.0,running,0.0,0.0,0.0
2021,1,Daytona,21.0,35.0,51.0,Cody Ware,Nurtec ODT (Rick Ware),Chevrolet,196.0,running,0.0,16.0,0.0
2021,1,Daytona,22.0,20.0,1.0,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,195.0,running,0.0,15.0,0.0
2021,1,Daytona,23.0,38.0,78.0,B.J. McLeod,NASCAR Heat 5 / Xbox Free Play Days (B.J. McLeod),Ford,195.0,running,0.0,0.0,0.0
2021,1,Daytona,24.0,37.0,52.0,Josh Bilicki,Wisconsin Lightning Lab (Rick Ware),Ford,194.0,running,0.0,13.0,0.0
2021,1,Daytona,25.0,26.0,19.0,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs (Joe Gibbs),Toyota,193.0,running,0.0,12.0,0.0
2021,1,Daytona,26.0,2.0,24.0,William Byron,Axalta (Rick Hendrick),Chevrolet,191.0,running,0.0,11.0,0.0
2021,1,Daytona,27.0,29.0,8.0,Tyler Reddick,Lenovo (Richard Childress),Chevrolet,188.0,running,0.0,10.0,0.0
2021,1,Daytona,28.0,40.0,16.0,Kaz Grala,Hyper Ice (Matthew Kaulig),Chevrolet,115.0,dvp,10.0,9.0,0.0
