Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2018,1,Daytona,1.0,14.0,3.0,Austin Dillon,Dow (Richard Childress),Chevrolet,207.0,running,1.0,42.0,5.0
2018,1,Daytona,2.0,7.0,43.0,Bubba Wallace,Click n' Close (Richard Petty Motorsports),Chevrolet,207.0,running,0.0,39.0,0.0
2018,1,Daytona,3.0,2.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,207.0,running,22.0,35.0,0.0
2018,1,Daytona,4.0,5.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,207.0,running,3.0,41.0,0.0
2018,1,Daytona,5.0,21.0,37.0,Chris Buescher,Kleenex / Cottonelle / Bush's Beans (JTG-Daugherty Racing),Chevrolet,207.0,running,0.0,32.0,0.0
2018,1,Daytona,6.0,16.0,21.0,Paul Menard,Omnicraft Auto Parts / Quick Lane Tire & Auto (Wood Brothers),Ford,207.0,running,1.0,42.0,0.0
2018,1,Daytona,7.0,3.0,12.0,Ryan Blaney,Menards / Peak (Roger Penske),Ford,207.0,running,118.0,48.0,1.0
2018,1,Daytona,8.0,13.0,31.0,Ryan Newman,Bass Pro Shops / Cabela's (Richard Childress),Chevrolet,207.0,running,0.0,29.0,0.0
2018,1,Daytona,9.0,22.0,34.0,Michael McDowell,Love's Travel Stops / Speedco (Bob Jenkins),Ford,207.0,running,0.0,39.0,0.0
2018,1,Daytona,10.0,20.0,47.0,A.J. Allmendinger,Kroger ClickList / Velveeta / Cheerios (JTG-Daugherty Racing),Chevrolet,207.0,running,1.0,27.0,0.0
2018,1,Daytona,11.0,37.0,10.0,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,206.0,running,1.0,33.0,0.0
2018,1,Daytona,12.0,29.0,51.0,Justin Marks,Harry's (Rick Ware),Chevrolet,206.0,running,1.0,0.0,0.0
2018,1,Daytona,13.0,18.0,6.0,Trevor Bayne,AdvoCare 25th Anniversary (Jack Roush),Ford,206.0,running,0.0,28.0,0.0
2018,1,Daytona,14.0,39.0,92.0,David Gilliland,Black's Tire Service / Carquest Auto Parts (Ricky Benton),Ford,206.0,running,0.0,0.0,0.0
2018,1,Daytona,15.0,10.0,14.0,Clint Bowyer,Rush Truck Centers / Mobil 1 (Stewart Haas Racing),Ford,206.0,running,0.0,22.0,0.0
2018,1,Daytona,16.0,19.0,1.0,Jamie McMurray,McDonald's / Cessna (Chip Ganassi),Chevrolet,205.0,running,0.0,21.0,0.0
2018,1,Daytona,17.0,1.0,88.0,Alex Bowman,Nationwide Insurance (Rick Hendrick),Chevrolet,205.0,running,13.0,29.0,0.0
2018,1,Daytona,18.0,24.0,78.0,Martin Truex Jr,Bass Pro Shops / 5-hour Energy (Barney Visser),Toyota,205.0,running,4.0,30.0,0.0
2018,1,Daytona,19.0,38.0,42.0,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,204.0,running,0.0,18.0,0.0
2018,1,Daytona,20.0,34.0,23.0,Gray Gaulding,Earthwater (BK Racing),Toyota,204.0,running,0.0,17.0,0.0
2018,1,Daytona,21.0,27.0,0.0,Jeffrey Earnhardt,VRX Simulators (StarCom Racing),Chevrolet,204.0,running,0.0,16.0,0.0
2018,1,Daytona,22.0,40.0,66.0,Mark Thompson,Phoenix Air Racing (Carl Long),Ford,203.0,running,0.0,15.0,0.0
2018,1,Daytona,23.0,33.0,24.0,William Byron,Axalta (Rick Hendrick),Chevrolet,203.0,running,0.0,14.0,0.0
2018,1,Daytona,24.0,30.0,96.0,D.J. Kennington,Lordco Auto Parts / Castrol (Gaunt Brothers),Toyota,201.0,running,0.0,13.0,0.0
2018,1,Daytona,25.0,12.0,18.0,Kyle Busch,M&M's (Joe Gibbs),Toyota,200.0,running,0.0,12.0,0.0
2018,1,Daytona,26.0,11.0,41.0,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,198.0,crash,16.0,21.0,1.0
2018,1,Daytona,27.0,36.0,32.0,Matt DiBenedetto,The Hurricane Heist (Archie St. Hilaire),Ford,198.0,crash,0.0,10.0,0.0
2018,1,Daytona,28.0,25.0,62.0,Brendan Gaughan,Beard Oil Dist. / South Point Hotel & Casino (Beard Motorsports),Chevrolet,198.0,crash,0.0,9.0,0.0
2018,1,Daytona,29.0,9.0,17.0,Ricky Stenhouse Jr,3M / Fastenal (Jack Roush),Ford,197.0,crash,11.0,15.0,0.0
2018,1,Daytona,30.0,15.0,38.0,David Ragan,Speedco / Love's Travel Stops (Bob Jenkins),Ford,107.0,crash,0.0,7.0,0.0
2018,1,Daytona,31.0,6.0,4.0,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,105.0,crash,0.0,10.0,0.0
2018,1,Daytona,32.0,31.0,2.0,Brad Keselowski,Discount Tire / Bruce Halle 1930-2018 (Roger Penske),Ford,102.0,crash,0.0,5.0,0.0
2018,1,Daytona,33.0,4.0,9.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,101.0,crash,4.0,7.0,0.0
