Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1974,1,Riverside,1.0,2.0,11.0,Cale Yarborough,Kar-Kare (Richard Howard),'74 Chevrolet,191.0,19325.0,running,144.0
1974,1,Riverside,2.0,6.0,43.0,Richard Petty,STP Oil Treatment + Oil Filters (Petty Enterprises),'74 Dodge,191.0,12825.0,running,0.0
1974,1,Riverside,3.0,1.0,21.0,David Pearson,Purolator (Wood Brothers),'71 Mercury,191.0,8525.0,running,9.0
1974,1,Riverside,4.0,8.0,72.0,Benny Parsons,DeWitt Racing (L.G. DeWitt),'74 Chevrolet,188.0,8825.0,running,0.0
1974,1,Riverside,5.0,3.0,12.0,Bobby Allison,Coca-Cola (Bobby Allison),'74 Chevrolet,188.0,6975.0,running,33.0
1974,1,Riverside,6.0,16.0,88.0,Donnie Allison,DiGard Racing (DiGard Racing),'74 Chevrolet,188.0,3025.0,running,0.0
1974,1,Riverside,7.0,5.0,16.0,Gary Bettenhausen,AMC (Roger Penske),'74 Matador,185.0,2275.0,running,0.0
1974,1,Riverside,8.0,13.0,24.0,Cecil Gordon,Gordon Racing (Cecil Gordon),'74 Chevrolet,184.0,2625.0,running,0.0
1974,1,Riverside,9.0,14.0,98.0,Richie Panch,Tuxedo Plumbing (Roy Thornley),'74 Chevrolet,183.0,2025.0,running,0.0
1974,1,Riverside,10.0,10.0,4.0,Hershel McGriff,"Almost Heaven, West Virginia (Petty Enterprises)",'74 Dodge,181.0,1725.0,running,0.0
1974,1,Riverside,11.0,20.0,84.0,J.C. Danielsen,Danielson Co. (Louis Nissen),'71 Mercury,178.0,1425.0,running,0.0
1974,1,Riverside,12.0,23.0,68.0,Sonny Easley,San-Val Roofing (Vic Kurten),'72 Ford,178.0,1375.0,running,0.0
1974,1,Riverside,13.0,27.0,56.0,Carl Adams,Marck Motors (Richard Mummert),'72 Ford,177.0,1350.0,running,0.0
1974,1,Riverside,14.0,25.0,19.0,Dick May,Gray Racing (Henley Gray),'71 Mercury,176.0,1825.0,running,0.0
1974,1,Riverside,15.0,21.0,64.0,Elmo Langley,Langley Racing (Elmo Langley),'71 Mercury,164.0,1800.0,running,0.0
1974,1,Riverside,16.0,34.0,77.0,Charlie Roberts,Roberts Racing (Charlie Roberts),'71 Ford,145.0,1775.0,running,0.0
1974,1,Riverside,17.0,19.0,9.0,Tony Bettenhausen Jr,Vita Fresh Orange Juice (Gordon Van Liew),'72 Chevrolet,144.0,1250.0,engine,0.0
1974,1,Riverside,18.0,4.0,15.0,George Follmer,R.C. Cola (Bud Moore),'72 Ford,143.0,4225.0,brakes,0.0
1974,1,Riverside,19.0,28.0,42.0,Richard White,Barnicle Oil (Dean Barnicle),'71 Ford,139.0,1200.0,rear end,0.0
1974,1,Riverside,20.0,26.0,91.0,Johnny Anderson,Connor Muffler / Adams Machine Shop (Don Nuzum),'72 Chevrolet,129.0,1175.0,engine,0.0
1974,1,Riverside,21.0,12.0,7.0,Jack McCoy,Noble Auto Parts (Ernie Conn),'72 Dodge,123.0,1140.0,transmission,4.0
1974,1,Riverside,22.0,18.0,70.0,J.D. McDuffie,McDuffie Racing (J.D. McDuffie),'72 Chevrolet,123.0,1625.0,engine,0.0
1974,1,Riverside,23.0,7.0,38.0,Jimmy Insolo,Martin's Union 76 (Roger Paquette),'72 Chevrolet,113.0,1100.0,engine,1.0
1974,1,Riverside,24.0,29.0,52.0,Odie Robertson,G.B. Auto Salvage,'71 Chevrolet,89.0,1075.0,suspension,0.0
1974,1,Riverside,25.0,35.0,73.0,Jim Gilliam,Gilliam Racing,'72 Chevrolet,76.0,1025.0,transmission,0.0
1974,1,Riverside,26.0,31.0,94.0,Bill Osborne,Mollicone Racing Engines (Larry Mollicone),'72 Chevrolet,68.0,975.0,engine,0.0
1974,1,Riverside,27.0,24.0,97.0,Harry Jefferson,Nall Precision Engineering (George Jefferson),'71 Ford,60.0,925.0,transmission,0.0
1974,1,Riverside,28.0,17.0,2.0,Dave Marcis,Marcis Racing (Dave Marcis),'72 Dodge,52.0,1375.0,transmission,0.0
1974,1,Riverside,29.0,32.0,60.0,Larry Esau,Esau Supply,'72 Chevrolet,47.0,825.0,clutch,0.0
1974,1,Riverside,30.0,22.0,79.0,Jerry Grant,Earl's Supply,'73 Chevrolet,45.0,775.0,transmission,0.0
1974,1,Riverside,31.0,11.0,2.0,Budd Hagelin,Ober Logging (Budd Hagelin),'72 Dodge,44.0,720.0,engine,0.0
1974,1,Riverside,32.0,30.0,66.0,Don Pruitt,Pruitt Racing (Don Pruitt),'72 Chevrolet,28.0,670.0,oil leak,0.0
1974,1,Riverside,33.0,33.0,29.0,Ross Surgenor,Mercury Marine (Dick Midgley),'72 Chevrolet,15.0,620.0,engine,0.0
1974,1,Riverside,34.0,9.0,96.0,Ray Elder,Olympia Beer (Fred Elder),'73 Dodge,11.0,570.0,transmission,0.0
1974,1,Riverside,35.0,15.0,3.0,Chuck Bown,Rose Auto Wrecking (Dick Bown),'72 Dodge,9.0,520.0,engine,0.0
1974,2,Daytona,1.0,2.0,43.0,Richard Petty,STP Oil Treatment + Oil Filters (Petty Enterprises),'74 Dodge,200.0,39650.0,running,74.0
1974,2,Daytona,2.0,4.0,11.0,Cale Yarborough,Kar-Kare (Richard Howard),'74 Chevrolet,200.0,21250.0,running,9.0
1974,2,Daytona,3.0,12.0,83.0,Ramo Stott,Smithville Farms (Norris Reed),'74 Chevrolet,200.0,11390.0,running,0.0
1974,2,Daytona,4.0,31.0,14.0,Coo Coo Marlin,Cunningham-Kelley (H.B. Cunningham),'73 Chevrolet,200.0,8350.0,running,7.0
1974,2,Daytona,5.0,35.0,50.0,A.J. Foyt,Purolator (A.J. Foyt),'74 Chevrolet,199.0,8465.0,running,6.0
