driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Alon Day,2,0,0.0,33.0,32,34,35.0,32,38,0.0,0,0,3.0,0.0,0,,,
Alton Haddock,4,0,0.0,32.0,6,73,34.75,8,72,0.0,0,0,,,250,63,100,25
Alton Jones,13,0,0.0,30.85,7,54,22.23,5,47,0.0,0,0,138.5,,12010,924,1485,250
Amos Johnson,1,0,0.0,35.0,35,35,13.0,13,13,0.0,0,0,,,1450,1450,1450,1450
Andrew Ranger,1,0,0.0,35.0,35,35,35.0,35,35,0.0,0,0,0.0,,62625,62625,62625,62625
Andy Belmont,12,0,0.0,37.67,35,42,35.33,28,40,0.0,0,0,57.0,,151535,12628,54890,2150
Andy Biddle,1,0,0.0,,,,16.0,16,16,0.0,0,0,,,25,25,25,25
Andy Bruni,1,0,0.0,,,,25.0,25,25,0.0,0,0,,,0,,,
Andy Buffington,1,0,0.0,10.0,10,10,8.0,8,8,0.0,0,0,,,175,175,175,175
Andy Hampton,4,0,0.0,32.0,23,51,17.5,9,26,0.0,0,0,,,5075,1692,2525,50
Andy Hillenburg,16,0,0.0,35.94,18,43,36.69,22,43,0.0,0,0,52.94,,589145,36822,80205,3400
Andy Houston,22,0,0.0,25.77,6,41,32.64,17,43,0.05,1,1,65.32,,992351,45107,120384,22030
Andy Lally,45,0,0.0,36.51,7,43,31.24,18,42,0.27,12,4,21.84,0.0,3417118,89924,282863,64775
Andy Pierce,5,0,0.0,11.0,1,21,27.8,18,33,0.0,0,0,,,100,25,25,25
Andy Pilgrim,1,0,0.0,43.0,43,43,26.0,26,26,0.0,0,0,18.0,,78475,78475,78475,78475
Andy Seuss,1,0,0.0,35.0,35,35,28.0,28,28,0.0,0,0,9.0,0.0,0,,,
Andy Wilson,1,0,0.0,13.0,13,13,19.0,19,19,0.0,0,0,,,50,50,50,50
Andy Winfree,10,0,0.0,21.0,10,27,14.6,7,26,0.0,0,0,,,615,68,150,25
Ann Bunselmeyer,1,0,0.0,,,,18.0,18,18,0.0,0,0,,,0,,,
Ann Chester,2,0,0.0,,,,21.5,21,22,0.0,0,0,,,0,,,
Ann Slaasted,1,0,0.0,,,,22.0,22,22,0.0,0,0,,,0,,,
Ansel Rakestraw,3,0,0.0,23.33,18,26,16.0,14,19,0.0,0,0,,,300,100,100,100
Anthony Alfredo,40,0,0.0,29.38,18,39,27.28,6,39,0.23,9,4,8.8,0.0,0,,,
Anthony Lazzaro,2,0,0.0,34.5,31,38,31.0,28,34,0.0,0,0,70.0,,93860,46930,61595,32265
Archie Nepstad,1,0,0.0,11.0,11,11,25.0,25,25,0.0,0,0,,,25,25,25,25
Archie Smith,2,0,0.0,15.0,15,15,8.0,6,10,0.0,0,0,,,225,113,175,50
Arden Mounts,37,0,0.0,22.76,1,59,20.92,7,70,0.0,0,0,,,2505,72,500,10
Aric Almirola,460,3,0.00652,18.45,1,43,19.08,1,43,2.49,1147,128,26.92,0.07,23525607,131428,377176,67940
Arley Scranton,9,0,0.0,21.56,4,39,29.11,21,46,0.0,0,0,,,780,111,500,25
Armond Holley,5,0,0.0,19.8,6,30,29.4,15,44,0.0,0,0,,,2775,555,850,100
Arnold Bennett,1,0,0.0,26.0,26,26,30.0,30,30,0.0,0,0,,,0,,,
Arnold Denley,1,0,0.0,24.0,24,24,29.0,29,29,0.0,0,0,,,150,150,150,150
Arnold Gardner,4,0,0.0,35.5,11,56,31.5,27,38,0.0,0,0,,,575,192,300,75
Arnold Ladd,1,0,0.0,,,,25.0,25,25,0.0,0,0,,,45,45,45,45
Art Anderson,1,0,0.0,8.0,8,8,22.0,22,22,0.0,0,0,,,50,50,50,50
Art Binkley,5,0,0.0,37.0,27,56,29.6,21,50,0.0,0,0,,,540,135,150,125
Art Brady,2,0,0.0,31.0,19,43,22.5,21,24,0.0,0,0,,,450,225,400,50
Art Dugan,1,0,0.0,11.0,11,11,15.0,15,15,0.0,0,0,,,25,25,25,25
Art Faber,1,0,0.0,,,,29.0,29,29,0.0,0,0,,,10,10,10,10
Art Gill,3,0,0.0,,,,12.0,11,13,0.0,0,0,,,150,50,50,50
Art Hammond,1,0,0.0,,,,19.0,19,19,0.0,0,0,,,0,,,
Art Knoll,1,0,0.0,,,,23.0,23,23,0.0,0,0,,,25,25,25,25
Art Lamey,4,0,0.0,,,,10.25,5,24,0.0,0,0,,,750,250,300,150
Art MacBurney,1,0,0.0,30.0,30,30,16.0,16,16,0.0,0,0,,,175,175,175,175
Art Malone,2,0,0.0,14.0,13,15,9.0,8,10,0.0,0,0,,,1100,550,600,500
Art Plas,2,0,0.0,26.0,26,26,20.0,15,25,0.0,0,0,,,50,25,25,25
Art Watts,19,1,0.05263,8.56,1,20,14.32,1,28,7.21,137,100,,,3760,209,940,25
Arthur Page,1,0,0.0,16.0,16,16,17.0,17,17,0.0,0,0,,,100,100,100,100
Artie Mitchell,1,0,0.0,21.0,21,21,21.0,21,21,0.0,0,0,,,0,,,
Ash Tharrett,1,0,0.0,,,,23.0,23,23,0.0,0,0,,,0,,,
Aubrey Boles,5,0,0.0,24.2,16,36,22.0,9,33,0.0,0,0,,,350,88,140,50
Augie Howerton,1,0,0.0,10.0,10,10,8.0,8,8,0.0,0,0,,,150,150,150,150
Augie Pabst,1,0,0.0,18.0,18,18,35.0,35,35,0.0,0,0,,,250,250,250,250
Augie Walackas,5,0,0.0,11.0,11,11,15.8,3,31,0.0,0,0,,,575,144,450,25
August Sand,1,0,0.0,11.0,11,11,13.0,13,13,0.0,0,0,,,100,100,100,100
Austin Cameron,2,0,0.0,32.0,32,32,40.0,38,42,0.0,0,0,43.0,,104895,52448,57950,46945
Austin Cindric,95,2,0.02105,15.72,1,39,19.71,1,38,2.6,247,53,18.64,0.15,0,,,
Austin Dillon,388,4,0.01031,17.75,1,38,18.37,1,43,0.97,376,55,21.02,0.06,12024781,141468,424674,82850
Austin Hill,8,0,0.0,31.38,26,34,27.38,14,38,0.13,1,1,0.0,0.0,0,,,
Austin Theriault,5,0,0.0,33.4,29,37,33.6,32,35,0.2,1,1,3.4,0.0,0,,,
Axel Anderson,5,0,0.0,35.75,17,48,23.6,14,45,0.0,0,0,,,380,95,150,70
B. Fisher,1,0,0.0,,,,38.0,38,38,0.0,0,0,,,0,,,
B.E. Renfro,2,0,0.0,,,,20.5,17,24,0.0,0,0,,,25,25,25,25
B.J. McLeod,140,0,0.0,34.49,21,40,30.91,7,40,0.11,15,5,1.76,0.0,79190,79190,79190,79190
Bailey Wynkoop,2,0,0.0,14.0,13,15,17.0,12,22,0.0,0,0,,,170,85,120,50
Baldy Wilson,1,0,0.0,,,,12.0,12,12,0.0,0,0,,,75,75,75,75
