Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
2000,1,Daytona,1.0,1.0,88.0,Dale Jarrett,Quality Care / Ford Credit (Yates Racing),Ford,200.0,1277975.0,running,89.0,185.0
2000,1,Daytona,2.0,14.0,99.0,Jeff Burton,Exide Batteries (Jack Roush),Ford,200.0,840825.0,running,0.0,170.0
2000,1,Daytona,3.0,3.0,94.0,Bill Elliott,McDonald's (Bill Elliott),Ford,200.0,526475.0,running,1.0,170.0
2000,1,Daytona,4.0,5.0,2.0,Rusty Wallace,Miller Lite (Roger Penske),Ford,200.0,420775.0,running,0.0,160.0
2000,1,Daytona,5.0,9.0,6.0,Mark Martin,Valvoline / Cummins (Jack Roush),Ford,200.0,326175.0,running,65.0,160.0
2000,1,Daytona,6.0,13.0,18.0,Bobby Labonte,Interstate Batteries (Joe Gibbs),Pontiac,200.0,228275.0,running,0.0,150.0
2000,1,Daytona,7.0,25.0,5.0,Terry Labonte,Kellogg's (Rick Hendrick),Chevrolet,200.0,198625.0,running,0.0,146.0
2000,1,Daytona,8.0,6.0,22.0,Ward Burton,Caterpillar (Bill Davis),Pontiac,200.0,166775.0,running,0.0,142.0
2000,1,Daytona,9.0,23.0,36.0,Ken Schrader,"M&M's ""Keep Back New Driver"" (Nelson Bowers)",Pontiac,200.0,143975.0,running,0.0,138.0
2000,1,Daytona,10.0,24.0,17.0,Matt Kenseth,DeWalt Tools (Jack Roush),Ford,200.0,182875.0,running,0.0,134.0
2000,1,Daytona,11.0,19.0,12.0,Jeremy Mayfield,Mobil 1 (Michael Kranefuss),Ford,200.0,129075.0,running,0.0,130.0
2000,1,Daytona,12.0,27.0,10.0,"Johnny Benson, Jr.",Lycos.com (Tim Beverley),Pontiac,200.0,119975.0,running,39.0,132.0
2000,1,Daytona,13.0,8.0,8.0,"Dale Earnhardt, Jr.","Budweiser (Dale Earnhardt, Inc.)",Chevrolet,200.0,107775.0,running,0.0,124.0
2000,1,Daytona,14.0,18.0,42.0,"Kenny Irwin, Jr.",BellSouth (Felix Sabates),Chevrolet,200.0,120025.0,running,0.0,121.0
2000,1,Daytona,15.0,2.0,28.0,Ricky Rudd,Texaco / Havoline (Yates Racing),Ford,200.0,119475.0,running,1.0,123.0
2000,1,Daytona,16.0,4.0,31.0,Mike Skinner,Lowe's (Richard Childress),Chevrolet,200.0,112225.0,running,3.0,120.0
2000,1,Daytona,17.0,7.0,20.0,Tony Stewart,Home Depot (Joe Gibbs),Pontiac,200.0,118875.0,running,0.0,112.0
2000,1,Daytona,18.0,17.0,13.0,Robby Gordon,Turtle Wax / Ingersoll Rand (John Menard),Ford,200.0,99725.0,running,0.0,109.0
2000,1,Daytona,19.0,15.0,32.0,Scott Pruett,Tide (Cal Wells),Ford,200.0,98475.0,running,0.0,106.0
2000,1,Daytona,20.0,32.0,77.0,Robert Pressley,Jasper Engines (Doug Bawel),Ford,200.0,102825.0,running,0.0,103.0
2000,1,Daytona,21.0,21.0,3.0,Dale Earnhardt,GM Goodwrench Service / Tazmanian Devil (Richard Childress),Chevrolet,200.0,116075.0,running,0.0,100.0
2000,1,Daytona,22.0,30.0,43.0,John Andretti,STP / Cheerios (Petty Enterprises),Pontiac,200.0,113725.0,running,0.0,97.0
2000,1,Daytona,23.0,29.0,97.0,Chad Little,John Deere (Jack Roush),Ford,200.0,105375.0,running,2.0,99.0
2000,1,Daytona,24.0,38.0,40.0,Sterling Marlin,Coors Light (Felix Sabates),Chevrolet,199.0,104325.0,running,0.0,91.0
2000,1,Daytona,25.0,42.0,44.0,Kyle Petty,Hot Wheels (Petty Enterprises),Pontiac,199.0,108175.0,running,0.0,88.0
2000,1,Daytona,26.0,33.0,9.0,Stacy Compton,Kodiak (Mark Melling),Ford,199.0,94225.0,running,0.0,85.0
2000,1,Daytona,27.0,31.0,93.0,Dave Blaney,Amoco (Bill Davis),Pontiac,199.0,89625.0,running,0.0,82.0
2000,1,Daytona,28.0,28.0,41.0,Rick Mast,Big Daddy's BBQ Sauce (Larry Hedrick),Chevrolet,199.0,92075.0,running,0.0,79.0
2000,1,Daytona,29.0,39.0,55.0,Kenny Wallace,Square D (Andy Petree),Chevrolet,199.0,99275.0,running,0.0,76.0
2000,1,Daytona,30.0,22.0,26.0,Jimmy Spencer,Big Kmart (Travis Carter),Ford,197.0,99225.0,running,0.0,73.0
2000,1,Daytona,31.0,36.0,1.0,Steve Park,"Pennzoil (Dale Earnhardt, Inc.)",Chevrolet,197.0,98275.0,running,0.0,70.0
2000,1,Daytona,32.0,43.0,66.0,Darrell Waltrip,Big Kmart / Route 66 (Travis Carter),Ford,197.0,89325.0,running,0.0,67.0
2000,1,Daytona,33.0,35.0,14.0,Mike Bliss,Conseco (A.J. Foyt),Pontiac,197.0,88875.0,running,0.0,64.0
2000,1,Daytona,34.0,11.0,24.0,Jeff Gordon,DuPont Automotive Finishes / NASCAR 2000 (Rick Hendrick),Chevrolet,195.0,106100.0,running,0.0,61.0
2000,1,Daytona,35.0,20.0,25.0,Jerry Nadeau,Michael Holigan.com (Rick Hendrick),Chevrolet,195.0,93450.0,running,0.0,58.0
2000,1,Daytona,36.0,41.0,16.0,Kevin Lepage,NorthernLight.com (Jack Roush),Ford,195.0,93000.0,running,0.0,55.0
2000,1,Daytona,37.0,26.0,90.0,Ed Berrier,Hills Brothers Coffee (Junie Donlavey),Ford,193.0,84550.0,track bar,0.0,52.0
2000,1,Daytona,38.0,40.0,21.0,Elliott Sadler,Citgo (Wood Brothers),Ford,192.0,92100.0,crash,0.0,49.0
2000,1,Daytona,39.0,10.0,7.0,Michael Waltrip,NationsRent (Jim Mattei),Chevrolet,192.0,91650.0,crash,0.0,46.0
2000,1,Daytona,40.0,34.0,75.0,"Wally Dallenbach, Jr.",Turner Broadcasting / Powerpuff Girls (Darwin Oordt),Ford,174.0,83200.0,handling,0.0,43.0
2000,1,Daytona,41.0,12.0,15.0,Derrike Cope,Fenley-Moore Motorsports (Bud Moore),Ford,169.0,82750.0,engine,0.0,40.0
2000,1,Daytona,42.0,16.0,33.0,Joe Nemechek,Oakwood Homes (Andy Petree),Chevrolet,131.0,90300.0,oil pressure,0.0,37.0
2000,1,Daytona,43.0,37.0,4.0,Bobby Hamilton,Kodak (Larry McClure),Chevrolet,68.0,90100.0,engine,0.0,34.0
2000,2,Rockingham,1.0,3.0,18.0,Bobby Labonte,Interstate Batteries (Joe Gibbs),Pontiac,393.0,131385.0,running,134.0,185.0
2000,2,Rockingham,2.0,4.0,3.0,Dale Earnhardt,GM Goodwrench Service (Richard Childress),Chevrolet,393.0,78610.0,running,1.0,175.0
2000,2,Rockingham,3.0,11.0,22.0,Ward Burton,Caterpillar (Bill Davis),Pontiac,393.0,70410.0,running,100.0,170.0
2000,2,Rockingham,4.0,15.0,20.0,Tony Stewart,Home Depot (Joe Gibbs),Pontiac,393.0,65120.0,running,0.0,160.0
2000,2,Rockingham,5.0,23.0,88.0,Dale Jarrett,Quality Care / Ford Credit (Yates Racing),Ford,392.0,64060.0,running,0.0,155.0
2000,2,Rockingham,6.0,2.0,28.0,Ricky Rudd,Texaco / Havoline (Yates Racing),Ford,392.0,47010.0,running,0.0,150.0
2000,2,Rockingham,7.0,27.0,12.0,Jeremy Mayfield,Mobil 1 (Michael Kranefuss),Ford,392.0,42710.0,running,0.0,146.0
2000,2,Rockingham,8.0,33.0,6.0,Mark Martin,Valvoline / Cummins (Jack Roush),Ford,392.0,52285.0,running,26.0,147.0
2000,2,Rockingham,9.0,18.0,1.0,Steve Park,"Pennzoil (Dale Earnhardt, Inc.)",Chevrolet,392.0,42010.0,running,34.0,143.0
