Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1991,1,Daytona,1.0,2.0,4.0,Ernie Irvan,Kodak Film (Larry McClure),Chevrolet,200.0,233000.0,running,29.0,180.0
1991,1,Daytona,2.0,12.0,22.0,Sterling Marlin,Maxwell House Coffee (Junior Johnson),Ford,200.0,133925.0,running,7.0,175.0
1991,1,Daytona,3.0,14.0,75.0,Joe Ruttman,Dinner Bell Foods (Rahmoc Enterprises),Oldsmobile,200.0,111450.0,running,11.0,170.0
1991,1,Daytona,4.0,7.0,1.0,Rick Mast,Skoal Classic (Richard Jackson),Oldsmobile,200.0,100900.0,running,14.0,165.0
1991,1,Daytona,5.0,4.0,3.0,Dale Earnhardt,GM Goodwrench (Richard Childress),Chevrolet,200.0,113850.0,running,46.0,160.0
1991,1,Daytona,6.0,17.0,21.0,Dale Jarrett,Citgo (Wood Brothers),Ford,199.0,74900.0,running,0.0,150.0
1991,1,Daytona,7.0,36.0,27.0,"Bobby Hillin, Jr.",Rob Moroso Memorial (Dick Moroso),Oldsmobile,199.0,50925.0,running,0.0,146.0
1991,1,Daytona,8.0,27.0,7.0,Alan Kulwicki,U.S. Army (Alan Kulwicki),Ford,199.0,52450.0,running,0.0,142.0
1991,1,Daytona,9.0,9.0,5.0,Ricky Rudd,Tide (Rick Hendrick),Chevrolet,199.0,52600.0,running,0.0,138.0
1991,1,Daytona,10.0,20.0,68.0,Bobby Hamilton,Country Time Drink Mix (Mark Smith),Oldsmobile,199.0,43500.0,running,0.0,134.0
1991,1,Daytona,11.0,28.0,66.0,Dick Trickle,TropArtic (Cale Yarborough),Pontiac,199.0,39525.0,running,0.0,130.0
1991,1,Daytona,12.0,40.0,23.0,Eddie Bierschwale,Auto Finders (Don Bierschwale),Oldsmobile,199.0,31550.0,running,0.0,127.0
1991,1,Daytona,13.0,31.0,94.0,Terry Labonte,Sunoco (Billy Hagan),Oldsmobile,198.0,34355.0,running,0.0,124.0
1991,1,Daytona,14.0,30.0,19.0,Chad Little,Bull's Eye Barbecue Sauce (Chuck Little),Ford,198.0,29540.0,running,0.0,121.0
1991,1,Daytona,15.0,1.0,28.0,Davey Allison,Havoline (Yates Racing),Ford,197.0,77350.0,running,26.0,123.0
1991,1,Daytona,16.0,6.0,42.0,Kyle Petty,Mello Yello (Felix Sabates),Pontiac,197.0,41580.0,crash,51.0,125.0
1991,1,Daytona,17.0,38.0,24.0,Mickey Gibbs,U.S. Air Force (Sam McMahon),Pontiac,197.0,24560.0,running,0.0,112.0
1991,1,Daytona,18.0,35.0,90.0,Robby Gordon,Publix Supermarkets (Junie Donlavey),Ford,196.0,23740.0,running,0.0,109.0
1991,1,Daytona,19.0,3.0,43.0,Richard Petty,STP (Petty Enterprises),Pontiac,195.0,43120.0,running,0.0,106.0
1991,1,Daytona,20.0,29.0,73.0,Phil Barkdoll,X-1R / Metal Center (Phil Barkdoll),Oldsmobile,194.0,24160.0,running,0.0,103.0
1991,1,Daytona,21.0,18.0,6.0,Mark Martin,Folger's Coffee (Jack Roush),Ford,193.0,31955.0,running,0.0,100.0
1991,1,Daytona,22.0,41.0,26.0,Brett Bodine,Quaker State (Kenny Bernstein),Buick,193.0,23400.0,running,0.0,97.0
1991,1,Daytona,23.0,21.0,89.0,Jim Sauter,Tiki Tan / Evinrude (Mueller Brothers),Pontiac,192.0,21845.0,running,0.0,94.0
1991,1,Daytona,24.0,10.0,17.0,Darrell Waltrip,Western Auto (Darrell Waltrip),Chevrolet,190.0,25540.0,crash,13.0,96.0
1991,1,Daytona,25.0,11.0,33.0,Harry Gant,Skoal Bandit (Leo Jackson),Oldsmobile,190.0,26385.0,crash,0.0,88.0
1991,1,Daytona,26.0,33.0,10.0,Derrike Cope,Purolator (Bob Whitcomb),Chevrolet,189.0,28180.0,crash,0.0,85.0
1991,1,Daytona,27.0,8.0,2.0,Rusty Wallace,Miller Genuine Draft (Roger Penske),Pontiac,188.0,26425.0,crash,3.0,87.0
1991,1,Daytona,28.0,15.0,9.0,Bill Elliott,Coors Light (Harry Melling),Ford,188.0,28670.0,running,0.0,79.0
1991,1,Daytona,29.0,5.0,12.0,Hut Stricklin,Raybestos Brakes (Bobby Allison),Buick,185.0,33865.0,crash,0.0,76.0
1991,1,Daytona,30.0,37.0,55.0,Ted Musgrave,Mr. Rooter (D.K. Ulrich),Pontiac,180.0,18710.0,running,0.0,73.0
1991,1,Daytona,31.0,24.0,25.0,Ken Schrader,Kodiak (Rick Hendrick),Chevrolet,176.0,22330.0,running,0.0,70.0
1991,1,Daytona,32.0,19.0,11.0,Geoffrey Bodine,Budweiser (Junior Johnson),Ford,150.0,28150.0,oil leak,0.0,67.0
1991,1,Daytona,33.0,26.0,8.0,Rick Wilson,Snickers (Stavola Brothers),Buick,137.0,21545.0,running,0.0,64.0
1991,1,Daytona,34.0,34.0,15.0,Morgan Shepherd,Motorcraft (Bud Moore),Ford,70.0,23490.0,piston,0.0,61.0
1991,1,Daytona,35.0,42.0,71.0,Dave Marcis,U.S. Coast Guard (Dave Marcis),Chevrolet,40.0,19185.0,valve,0.0,58.0
1991,1,Daytona,36.0,22.0,51.0,Jeff Purvis,Plasti-Kote (James Finch),Oldsmobile,37.0,18360.0,overheating,0.0,55.0
1991,1,Daytona,37.0,16.0,88.0,Buddy Baker,U.S. Marines (Rod Osterlund),Pontiac,35.0,18800.0,engine,0.0,52.0
1991,1,Daytona,38.0,13.0,30.0,Michael Waltrip,Pennzoil (Chuck Rider),Pontiac,35.0,21520.0,piston,0.0,49.0
1991,1,Daytona,39.0,39.0,52.0,Jimmy Means,Alka-Seltzer (Jimmy Means),Pontiac,29.0,17660.0,crash,0.0,46.0
1991,1,Daytona,40.0,23.0,98.0,Jimmy Spencer,Banquet Frozen Foods (Travis Carter),Chevrolet,29.0,20200.0,fire,0.0,43.0
1991,1,Daytona,41.0,32.0,20.0,Sammy Swindell,Glad Bag (Dick Moroso),Oldsmobile,28.0,16500.0,crash,0.0,40.0
1991,1,Daytona,42.0,25.0,18.0,Greg Sacks,U.S. Navy (Greg Sacks),Chevrolet,20.0,17450.0,crash,0.0,37.0
1991,2,Richmond,1.0,19.0,3.0,Dale Earnhardt,GM Goodwrench (Richard Childress),Chevrolet,400.0,67950.0,running,150.0,180.0
1991,2,Richmond,2.0,4.0,5.0,Ricky Rudd,Tide (Rick Hendrick),Chevrolet,400.0,45675.0,running,154.0,180.0
1991,2,Richmond,3.0,6.0,33.0,Harry Gant,Skoal Bandit (Leo Jackson),Oldsmobile,400.0,25500.0,running,3.0,170.0
1991,2,Richmond,4.0,20.0,2.0,Rusty Wallace,Miller Genuine Draft (Roger Penske),Pontiac,400.0,13050.0,running,3.0,165.0
1991,2,Richmond,5.0,2.0,7.0,Alan Kulwicki,Kulwicki Racing (Alan Kulwicki),Ford,400.0,19025.0,running,48.0,160.0
1991,2,Richmond,6.0,14.0,6.0,Mark Martin,Folger's Coffee (Jack Roush),Ford,400.0,15450.0,running,0.0,150.0
1991,2,Richmond,7.0,17.0,17.0,Darrell Waltrip,Western Auto (Darrell Waltrip),Chevrolet,400.0,5650.0,running,4.0,151.0
1991,2,Richmond,8.0,21.0,15.0,Morgan Shepherd,Motorcraft (Bud Moore),Ford,399.0,11550.0,running,0.0,142.0
1991,2,Richmond,9.0,11.0,22.0,Sterling Marlin,Maxwell House Coffee (Junior Johnson),Ford,398.0,5150.0,running,0.0,138.0
1991,2,Richmond,10.0,5.0,25.0,Ken Schrader,Kodiak (Rick Hendrick),Chevrolet,398.0,11700.0,running,0.0,134.0
1991,2,Richmond,11.0,23.0,43.0,Richard Petty,STP (Petty Enterprises),Pontiac,398.0,7750.0,running,0.0,130.0
1991,2,Richmond,12.0,1.0,28.0,Davey Allison,Havoline (Yates Racing),Ford,398.0,15350.0,running,38.0,132.0
1991,2,Richmond,13.0,7.0,11.0,Geoffrey Bodine,Budweiser (Junior Johnson),Ford,397.0,11500.0,running,0.0,124.0
1991,2,Richmond,14.0,18.0,94.0,Terry Labonte,Sunoco (Billy Hagan),Oldsmobile,397.0,7200.0,running,0.0,121.0
1991,2,Richmond,15.0,10.0,66.0,Dick Trickle,TropArtic (Cale Yarborough),Pontiac,396.0,7660.0,running,0.0,118.0
1991,2,Richmond,16.0,29.0,19.0,Chad Little,Bull's Eye Barbecue Sauce (Chuck Little),Ford,395.0,5225.0,running,0.0,115.0
1991,2,Richmond,17.0,15.0,30.0,Michael Waltrip,Pennzoil (Chuck Rider),Pontiac,394.0,6525.0,running,0.0,112.0
1991,2,Richmond,18.0,22.0,8.0,Rick Wilson,Snickers (Stavola Brothers),Buick,394.0,6375.0,running,0.0,109.0
1991,2,Richmond,19.0,33.0,55.0,Ted Musgrave,U.S. Racing (D.K. Ulrich),Pontiac,393.0,5500.0,running,0.0,106.0
1991,2,Richmond,20.0,28.0,20.0,"Bobby Hillin, Jr.",Moroso Racing (Dick Moroso),Oldsmobile,392.0,5525.0,running,0.0,103.0
1991,2,Richmond,21.0,13.0,21.0,Dale Jarrett,Citgo (Wood Brothers),Ford,392.0,5825.0,running,0.0,100.0
1991,2,Richmond,22.0,26.0,12.0,Hut Stricklin,Raybestos Brakes (Bobby Allison),Buick,391.0,5750.0,crash,0.0,97.0
1991,2,Richmond,23.0,25.0,24.0,Mickey Gibbs,Team III Racing (Sam McMahon),Pontiac,391.0,3375.0,running,0.0,94.0
1991,2,Richmond,24.0,3.0,26.0,Brett Bodine,Quaker State (Kenny Bernstein),Buick,390.0,6575.0,crash,0.0,91.0
1991,2,Richmond,25.0,9.0,42.0,Kyle Petty,Mello Yello (Felix Sabates),Pontiac,390.0,5475.0,running,0.0,88.0
1991,2,Richmond,26.0,35.0,90.0,Robby Gordon,Fletcher's Body Shop (Junie Donlavey),Ford,388.0,3525.0,running,0.0,85.0
