Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1964,1,Concord,1.0,3.0,11.0,Ned Jarrett,Burton-Robinson (Charles Robinson),'63 Ford,250.0,1350.0,running,114.0
1964,1,Concord,2.0,6.0,8.0,Joe Weatherly,Bud Moore,'63 Pontiac,250.0,1000.0,running,84.0
1964,1,Concord,3.0,4.0,42.0,Richard Petty,Petty Enterprises,'63 Plymouth,248.0,650.0,running,13.0
1964,1,Concord,4.0,1.0,5.0,David Pearson,Cotton Owens,'63 Dodge,241.0,500.0,running,39.0
1964,1,Concord,5.0,12.0,41.0,Maurice Petty,Petty Enterprises,'63 Plymouth,241.0,400.0,running,0.0
1964,1,Concord,6.0,16.0,20.0,Jack Anderson,Jack Anderson,'63 Ford,233.0,300.0,running,0.0
1964,1,Concord,7.0,18.0,16.0,Larry Thomas,Wade Younts,'62 Dodge,230.0,250.0,running,0.0
1964,1,Concord,8.0,14.0,9.0,Larry Manning,Bob Adams,'62 Chevrolet,229.0,200.0,running,0.0
1964,1,Concord,9.0,22.0,62.0,Curtis Crider,Curtis Crider,'63 Mercury,221.0,165.0,running,0.0
1964,1,Concord,10.0,7.0,32.0,Tiny Lund,Dave Kent,'63 Ford,215.0,150.0,running,0.0
1964,1,Concord,11.0,20.0,2.0,Doug Cooper,Bob Cooper,'62 Pontiac,213.0,140.0,running,0.0
1964,1,Concord,12.0,21.0,87.0,Buck Baker,Buck Baker,'63 Pontiac,205.0,130.0,fuel tank,0.0
1964,1,Concord,13.0,23.0,9.0,Roy Tyner,Roy Tyner,'62 Chevrolet,201.0,120.0,running,0.0
1964,1,Concord,14.0,17.0,83.0,Worth McMillion,Worth McMillion,'62 Pontiac,194.0,110.0,running,0.0
1964,1,Concord,15.0,8.0,6.0,Billy Wade,Cotton Owens,'63 Dodge,185.0,100.0,oil pressure,0.0
1964,1,Concord,16.0,15.0,23.0,Bill Widenhouse,Leland Colvin,'62 Plymouth,153.0,90.0,engine,0.0
1964,1,Concord,17.0,19.0,34.0,Wendell Scott,Wendell Scott,'62 Chevrolet,134.0,80.0,crash,0.0
1964,1,Concord,18.0,13.0,67.0,Jimmy Pardue,–,'62 Pontiac,111.0,70.0,rear end,0.0
1964,1,Concord,19.0,2.0,3.0,Junior Johnson,Holly Farms (Ray Fox),'63 Chevrolet,109.0,55.0,overheating,0.0
1964,1,Concord,20.0,9.0,75.0,G.C. Spencer,Paul Clayton,'62 Pontiac,95.0,50.0,rear end,0.0
1964,1,Concord,21.0,5.0,48.0,Jack Smith,Jack Smith,'63 Plymouth,57.0,50.0,a frame,0.0
1964,1,Concord,22.0,10.0,14.0,Darel Dieringer,Pete Stewart,'63 Ford,57.0,50.0,transmission,0.0
1964,1,Concord,23.0,24.0,18.0,Toy Bolton,Toy Bolton,'61 Pontiac,48.0,,rear end,0.0
1964,1,Concord,24.0,25.0,86.0,Neil Castles,Buck Baker,'62 Chrysler,27.0,,engine,0.0
1964,1,Concord,25.0,26.0,68.0,Ed Livingston,Ed Livingston,'61 Ford,13.0,,overheating,0.0
1964,1,Concord,26.0,11.0,96.0,Jimmy Massey,Hubert Westmoreland,'62 Chevrolet,0.0,,crash,0.0
1964,2,Augusta,1.0,2.0,22,Fireball Roberts,Young Ford (Holman-Moody Racing),'63 Ford,139.0,13190.0,running,14.0
1964,2,Augusta,2.0,11.0,29,Dave MacDonald,Ron's Ford Sales (Holman-Moody Racing),'63 Ford,138.0,6745.0,running,0.0
1964,2,Augusta,3.0,7.0,5,Billy Wade,Cotton Owens,'63 Dodge,137.0,3730.0,running,0.0
1964,2,Augusta,4.0,8.0,26,Joe Weatherly,Bill Stroppe,'63 Mercury,137.0,2650.0,running,0.0
1964,2,Augusta,5.0,6.0,11,Ned Jarrett,Burton-Robinson (Charles Robinson),'63 Ford,132.0,1675.0,running,0.0
1964,2,Augusta,6.0,22.0,2,Jimmy Pardue,Cliff Stewart,'63 Pontiac,132.0,1800.0,running,0.0
1964,2,Augusta,7.0,16.0,36,Larry Thomas,Wade Younts,'62 Dodge,130.0,1250.0,running,0.0
1964,2,Augusta,8.0,19.0,62,Curtis Crider,Curtis Crider,'63 Ford,129.0,1100.0,running,0.0
1964,2,Augusta,9.0,3.0,21,Marvin Panch,Wood Brothers,'63 Ford,128.0,1220.0,transmission,35.0
1964,2,Augusta,10.0,26.0,87,Buddy Baker,Buck Baker,'63 Pontiac,127.0,1050.0,running,0.0
1964,2,Augusta,11.0,14.0,12,Graham Shaw,Graham Shaw,'61 Ford,126.0,900.0,running,0.0
1964,2,Augusta,12.0,36.0,32,Tiny Lund,Dave Kent,'63 Ford,125.0,800.0,running,0.0
1964,2,Augusta,13.0,17.0,80,Frank Warren,–,'61 Pontiac,125.0,625.0,running,0.0
1964,2,Augusta,14.0,18.0,20,Jack Anderson,Jack Anderson,'63 Ford,120.0,775.0,running,0.0
1964,2,Augusta,15.0,24.0,19,Cale Yarborough,Herman Beam,'63 Ford,119.0,650.0,running,0.0
1964,2,Augusta,16.0,28.0,02,Doug Cooper,Bob Cooper,'62 Pontiac,117.0,575.0,running,0.0
1964,2,Augusta,17.0,4.0,6,David Pearson,Cotton Owens,'63 Dodge,115.0,670.0,engine,19.0
1964,2,Augusta,18.0,30.0,34,Wendell Scott,Wendell Scott,'62 Chevrolet,115.0,525.0,running,0.0
1964,2,Augusta,19.0,15.0,43,Richard Petty,Petty Enterprises,'63 Plymouth,94.0,820.0,pinion g,56.0
1964,2,Augusta,20.0,23.0,92,Johnny Allen,Ray Osborne,'63 Ford,66.0,700.0,engine,0.0
