Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1960,1,Charlotte,1.0,3.0,47.0,Jack Smith,Jack Smith,'59 Chevrolet,200.0,800.0,running,67.0
1960,1,Charlotte,2.0,8.0,22.0,Bob Welborn,Ogden-Ridgeway (W.J. Ridgeway),'59 Chevrolet,199.0,525.0,running,76.0
1960,1,Charlotte,3.0,1.0,87.0,Buck Baker,Lynton Tyson,'59 Chevrolet,198.0,375.0,running,35.0
1960,1,Charlotte,4.0,14.0,9.0,Roy Tyner,Roy Tyner,'57 Chevrolet,196.0,275.0,running,0.0
1960,1,Charlotte,5.0,19.0,2.0,Speedy Thompson,Bruce Thompson,'57 Chevrolet,193.0,250.0,running,0.0
1960,1,Charlotte,6.0,18.0,31.0,Brownie King,Jess Potter,'57 Chevrolet,189.0,215.0,running,0.0
1960,1,Charlotte,7.0,10.0,42.0,Lee Petty,Petty Enterprises,'59 Plymouth,188.0,175.0,running,0.0
1960,1,Charlotte,8.0,23.0,62.0,Buck Brigance,Buck Brigance,'57 Chevrolet,187.0,150.0,running,0.0
1960,1,Charlotte,9.0,7.0,20.0,Tiny Lund,Spook Crawford,'58 Ford,187.0,140.0,running,0.0
1960,1,Charlotte,10.0,4.0,59.0,Tom Pistone,Rupert Safety Belt (Carl Rupert),'59 T-Bird,183.0,130.0,engine,0.0
1960,1,Charlotte,11.0,20.0,34.0,G.C. Spencer,G.C. Spencer,'57 Chevrolet,177.0,125.0,running,0.0
1960,1,Charlotte,12.0,13.0,43.0,Richard Petty,Petty Enterprises,'59 Plymouth,174.0,110.0,axle,0.0
1960,1,Charlotte,13.0,15.0,77.0,Joe Lee Johnson,Honest Charley (Joe Lee Johnson),'59 Chevrolet,172.0,100.0,rear end,0.0
1960,1,Charlotte,14.0,27.0,15.0,Rex White,Beau Morgan,'57 Ford,172.0,85.0,running,0.0
1960,1,Charlotte,15.0,24.0,32.0,Richard Riley,Jess Potter,'57 Chevrolet,172.0,70.0,running,0.0
1960,1,Charlotte,16.0,17.0,64.0,Shep Langdon,Shep Langdon,'58 Ford,168.0,60.0,engine,0.0
1960,1,Charlotte,17.0,11.0,45.0,Bobby Waddell,Bobby Waddell,'57 Pontiac,168.0,50.0,running,0.0
1960,1,Charlotte,18.0,21.0,3.0,Scotty Cain,Scotty Cain,'59 T-Bird,99.0,50.0,engine fire,0.0
1960,1,Charlotte,19.0,28.0,49.0,Jim Paschal,Bob Welborn,'57 Chevrolet,98.0,50.0,overheating,0.0
1960,1,Charlotte,20.0,25.0,46.0,Barney Shore,Barney Shore,'57 Chevrolet,93.0,50.0,crash,0.0
1960,1,Charlotte,21.0,6.0,36.0,Tommy Irwin,Tommy Irwin,'59 T-Bird,84.0,50.0,rear end,0.0
1960,1,Charlotte,22.0,2.0,98.0,Marvin Panch,Tom Vernon,'59 Ford,66.0,50.0,crash,22.0
1960,1,Charlotte,23.0,16.0,5.0,Bunk Moore,Tiny Lund,'57 Chevrolet,66.0,,engine,0.0
1960,1,Charlotte,24.0,26.0,68.0,Bud Parnell,R.L. Baird,'58 Plymouth,57.0,,axle,0.0
1960,1,Charlotte,25.0,22.0,17.0,Fred Harb,Fred Harb,'57 Ford,56.0,,crash,0.0
1960,1,Charlotte,26.0,9.0,38.0,Ned Jarrett,Ned Jarrett,'57 Ford,50.0,,rear end,0.0
1960,1,Charlotte,27.0,12.0,88.0,Buddy Baker,Lynton Tyson,'59 Chevrolet,34.0,,fuel tank,0.0
1960,1,Charlotte,28.0,5.0,11.0,Junior Johnson,Paul Spaulding,'59 Dodge,11.0,,overheating,0.0
1960,2,Columbia,1.0,3.0,38.0,Ned Jarrett,Ned Jarrett,'57 Ford,200.0,800.0,running,–
1960,2,Columbia,2.0,7.0,47.0,Jack Smith,Jack Smith,'59 Chevrolet,200.0,525.0,running,–
1960,2,Columbia,3.0,2.0,77.0,Joe Lee Johnson,Honest Charley (Joe Lee Johnson),'59 Chevrolet,200.0,375.0,running,–
1960,2,Columbia,4.0,5.0,42.0,Lee Petty,Petty Enterprises,'59 Plymouth,200.0,275.0,running,–
1960,2,Columbia,5.0,13.0,72.0,Bobby Johns,Shorty Johns,'57 Chevrolet,195.0,250.0,running,–
1960,2,Columbia,6.0,6.0,43.0,Richard Petty,Petty Enterprises,'59 Plymouth,190.0,215.0,running,–
