Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
2009,1,Daytona,1.0,39.0,17.0,Matt Kenseth,DeWalt (Jack Roush),Ford,152.0,1530388.0,running,7.0,190.0
2009,1,Daytona,2.0,32.0,29.0,Kevin Harvick,Shell / Pennzoil (Richard Childress),Chevrolet,152.0,1115724.0,running,0.0,170.0
2009,1,Daytona,3.0,20.0,44.0,A.J. Allmendinger,Valvoline (Richard Petty Motorsports),Dodge,152.0,786563.0,running,0.0,165.0
2009,1,Daytona,4.0,22.0,33.0,Clint Bowyer,Cheerios / Hamburger Helper (Richard Childress),Chevrolet,152.0,632013.0,running,0.0,160.0
2009,1,Daytona,5.0,30.0,19.0,Elliott Sadler,Stanley (Richard Petty Motorsports),Dodge,152.0,515113.0,running,24.0,160.0
2009,1,Daytona,6.0,33.0,6.0,David Ragan,UPS (Jack Roush),Ford,152.0,412163.0,running,0.0,150.0
2009,1,Daytona,7.0,27.0,55.0,Michael Waltrip,NAPA Auto Parts (Michael Waltrip),Toyota,152.0,371238.0,running,0.0,146.0
2009,1,Daytona,8.0,5.0,14.0,Tony Stewart,Office Depot / Old Spice (Stewart Haas Racing),Chevrolet,152.0,371371.0,running,15.0,147.0
2009,1,Daytona,9.0,34.0,43.0,Reed Sorenson,McDonald's (Richard Petty Motorsports),Dodge,152.0,362324.0,running,0.0,138.0
2009,1,Daytona,10.0,13.0,2.0,Kurt Busch,Miller Lite (Roger Penske),Dodge,152.0,325713.0,running,0.0,134.0
2009,1,Daytona,11.0,1.0,1.0,Martin Truex Jr,Bass Pro Shops / Tracker Boats (Earnhardt Ganassi Racing),Chevrolet,152.0,350663.0,running,1.0,135.0
2009,1,Daytona,12.0,28.0,0.0,David Reutimann,Aaron's Dream Machine (Michael Waltrip),Toyota,152.0,316646.0,running,0.0,127.0
2009,1,Daytona,13.0,3.0,24.0,Jeff Gordon,DuPont (Rick Hendrick),Chevrolet,152.0,356935.0,running,14.0,129.0
2009,1,Daytona,14.0,8.0,42.0,Juan Pablo Montoya,Target (Earnhardt Ganassi Racing),Chevrolet,152.0,325546.0,running,0.0,121.0
2009,1,Daytona,15.0,25.0,7.0,Casey Mears,Jack Daniel's (Richard Childress),Chevrolet,152.0,298838.0,running,0.0,118.0
2009,1,Daytona,16.0,2.0,5.0,Mark Martin,Kellogg's / Carquest (Rick Hendrick),Chevrolet,152.0,313588.0,running,1.0,120.0
2009,1,Daytona,17.0,23.0,47.0,Marcos Ambrose,Little Debbie / Kingsford / Clorox (JTG-Daugherty Racing),Toyota,152.0,295246.0,running,0.0,112.0
2009,1,Daytona,18.0,16.0,99.0,Carl Edwards,Aflac (Jack Roush),Ford,152.0,326454.0,running,0.0,109.0
2009,1,Daytona,19.0,37.0,34.0,John Andretti,Window World (Bob Jenkins),Chevrolet,152.0,287668.0,running,0.0,106.0
2009,1,Daytona,20.0,35.0,16.0,Greg Biffle,3M (Jack Roush),Ford,152.0,297863.0,running,0.0,103.0
2009,1,Daytona,21.0,42.0,78.0,Regan Smith,Furniture Row (Barney Visser),Chevrolet,152.0,287696.0,running,0.0,100.0
2009,1,Daytona,22.0,12.0,96.0,Bobby Labonte,Ask.com (Jeff Moorad),Ford,152.0,308352.0,running,1.0,102.0
2009,1,Daytona,23.0,40.0,21.0,Bill Elliott,Motorcraft (Wood Brothers),Ford,152.0,288160.0,running,0.0,94.0
2009,1,Daytona,24.0,43.0,66.0,Terry Labonte,Window World (Phil Parsons),Toyota,152.0,273963.0,running,0.0,91.0
2009,1,Daytona,25.0,17.0,36.0,Scott Riggs,"Red Bank Outfitters (Tommy Baldwin, Jr.)",Toyota,152.0,273513.0,running,0.0,88.0
2009,1,Daytona,26.0,10.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,152.0,295963.0,running,0.0,85.0
2009,1,Daytona,27.0,14.0,88.0,"Dale Earnhardt, Jr.",AMP Energy / National Guard (Rick Hendrick),Chevrolet,152.0,291063.0,running,1.0,87.0
2009,1,Daytona,28.0,26.0,31.0,Jeff Burton,Caterpillar (Richard Childress),Chevrolet,152.0,317654.0,running,0.0,79.0
2009,1,Daytona,29.0,15.0,9.0,Kasey Kahne,Budweiser (Richard Petty Motorsports),Dodge,152.0,313846.0,running,0.0,76.0
2009,1,Daytona,30.0,11.0,8.0,Aric Almirola,Guitar Hero (Earnhardt Ganassi Racing),Chevrolet,152.0,286288.0,running,0.0,73.0
2009,1,Daytona,31.0,7.0,48.0,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,152.0,336149.0,running,0.0,70.0
2009,1,Daytona,32.0,29.0,77.0,"Sam Hornish, Jr.",Mobil 1 (Roger Penske),Dodge,151.0,289933.0,running,0.0,67.0
2009,1,Daytona,33.0,24.0,12.0,David Stremme,Penske Racing (Roger Penske),Dodge,151.0,300763.0,running,0.0,64.0
2009,1,Daytona,34.0,31.0,7.0,Robby Gordon,Jim Beam (Robby Gordon),Toyota,151.0,287158.0,running,0.0,61.0
2009,1,Daytona,35.0,38.0,82.0,Scott Speed,Red Bull (Dietrich Mateschitz),Toyota,151.0,268763.0,running,0.0,58.0
2009,1,Daytona,36.0,36.0,39.0,Ryan Newman,U.S. Army (Stewart Haas Racing),Chevrolet,150.0,295252.0,running,0.0,55.0
2009,1,Daytona,37.0,21.0,26.0,Jamie McMurray,Crown Royal (Jack Roush),Ford,139.0,274713.0,running,0.0,52.0
2009,1,Daytona,38.0,19.0,98.0,Paul Menard,Menards / Quaker State (Yates Racing),Ford,138.0,296229.0,crash,0.0,49.0
2009,1,Daytona,39.0,6.0,83.0,Brian Vickers,Red Bull (Dietrich Mateschitz),Toyota,134.0,305171.0,crash,0.0,46.0
2009,1,Daytona,40.0,18.0,41.0,Jeremy Mayfield,All Sport (Jeremy Mayfield),Toyota,126.0,265238.0,running,0.0,43.0
2009,1,Daytona,41.0,4.0,18.0,Kyle Busch,M&M's (Joe Gibbs),Toyota,123.0,349182.0,crash,88.0,50.0
