Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
2015,1,Daytona,1.0,5.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,203.0,1586503.0,running,31.0,47.0
2015,1,Daytona,2.0,11.0,4.0,Kevin Harvick,Budweiser (Stewart Haas Racing),Chevrolet,203.0,1157195.0,running,0.0,42.0
2015,1,Daytona,3.0,3.0,88.0,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,203.0,855720.0,running,32.0,42.0
2015,1,Daytona,4.0,42.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,203.0,680483.0,running,4.0,41.0
2015,1,Daytona,5.0,2.0,48.0,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,203.0,615932.0,running,39.0,40.0
2015,1,Daytona,6.0,41.0,13.0,Casey Mears,GEICO (Germain Racing),Chevrolet,203.0,470178.0,running,1.0,39.0
2015,1,Daytona,7.0,9.0,15.0,Clint Bowyer,5-hour Energy (Michael Waltrip),Toyota,203.0,437178.0,running,0.0,37.0
2015,1,Daytona,8.0,10.0,78.0,Martin Truex Jr,Furniture Row / Denver Mattress (Barney Visser),Chevrolet,203.0,404153.0,running,1.0,37.0
2015,1,Daytona,9.0,13.0,5.0,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,203.0,375045.0,running,0.0,35.0
2015,1,Daytona,10.0,8.0,16.0,Greg Biffle,Ortho Bug-B-Gon (Jack Roush),Ford,203.0,387991.0,running,2.0,35.0
2015,1,Daytona,11.0,26.0,38.0,David Gilliland,Love's Travel Stops (Bob Jenkins),Ford,203.0,364341.0,running,0.0,33.0
2015,1,Daytona,12.0,38.0,9.0,"Sam Hornish, Jr.",Twisted Tea (Richard Petty Motorsports),Ford,203.0,366678.0,running,0.0,32.0
2015,1,Daytona,13.0,27.0,46.0,Michael Annett,"Pilot / Flying J (Harry Scott, Jr.)",Chevrolet,203.0,330945.0,running,1.0,32.0
