Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1952,1,W. Palm Beach,1.0,1.0,91,Tim Flock,Ted Chester,'51 Hudson,200,1025.0,running,194.0
1952,1,W. Palm Beach,2.0,10.0,42,Lee Petty,Petty Special (Petty Enterprises),'51 Plymouth,199,700.0,running,0.0
1952,1,W. Palm Beach,3.0,8.0,14,Fonty Flock,Air Lift (Frank Christian),'51 Oldsmobile,199,450.0,running,6.0
1952,1,W. Palm Beach,4.0,3.0,88,Frankie Schneider,ROCKET (Clark-Warwick),'51 Oldsmobile,197,360.0,running,0.0
1952,1,W. Palm Beach,5.0,6.0,17,Buddy Shuman,Buddy Shuman,'51 Ford,197,210.0,running,0.0
1952,1,W. Palm Beach,6.0,11.0,7,Frank Mundy,Gray Ghost (Ted Chester),'51 Oldsmobile,–,125.0,running,0.0
1952,1,W. Palm Beach,7.0,14.0,787,Jim Millard,Ed Huegele,'50 Mercury,–,100.0,running,0.0
1952,1,W. Palm Beach,8.0,16.0,86,Bill Davis,Joe Mangini,'51 Chevrolet,–,75.0,running,0.0
1952,1,W. Palm Beach,9.0,4.0,9,Ed Samples,Northern Car Co. (Claude Alexander),'51 Oldsmobile,–,60.0,running,0.0
1952,1,W. Palm Beach,10.0,26.0,36,Al Funderburk,Boyce Gillette,'51 Plymouth,–,50.0,running,0.0
1952,1,W. Palm Beach,11.0,22.0,3,Allan Clarke,Allan Clarke,'50 Chevrolet,–,25.0,running,0.0
1952,1,W. Palm Beach,12.0,25.0,81,Pappy Hough,Pappy Hough,'51 Ford,185,25.0,engine,0.0
1952,1,W. Palm Beach,13.0,20.0,15,Harvey Henderson,Harvey Henderson,'50 Ford,–,25.0,running,0.0
1952,1,W. Palm Beach,14.0,19.0,4jr,Leo Caldwell,Bud Barry,'50 Mercury,–,25.0,running,0.0
1952,1,W. Palm Beach,15.0,15.0,182,Leo Richards,Leo Richards,'51 Mercury,–,25.0,running,0.0
1952,1,W. Palm Beach,16.0,13.0,23,Al Keller,Perry Smith,'51 Studebaker,–,25.0,broken chain,0.0
1952,1,W. Palm Beach,17.0,7.0,2,Bill Blair,George Hutchens,'51 Ford,–,25.0,–,0.0
1952,1,W. Palm Beach,18.0,17.0,1,Dick Eagan,Dick Eagan,'51 Plymouth,162,25.0,crash,0.0
1952,1,W. Palm Beach,19.0,23.0,888,Iggy Katona,Jolley Cartage (Iggy Katona),'51 Oldsmobile,–,25.0,running,0.0
1952,1,W. Palm Beach,20.0,2.0,44,Jack Smith,Jack Smith,'51 Hudson,150,25.0,crash,0.0
1952,1,W. Palm Beach,21.0,24.0,18,Jimmy Florian,Jimmy Florian,'51 Oldsmobile,–,25.0,–,0.0
1952,1,W. Palm Beach,22.0,21.0,82,Tom Gifford,Tom Gifford,'51 Studebaker,–,25.0,–,0.0
1952,1,W. Palm Beach,23.0,18.0,47,Jim Reed,Jim Reed,'51 Lincoln,–,25.0,–,0.0
1952,1,W. Palm Beach,24.0,9.0,94,Pancho Alvarez,Pancho Alvarez,'51 Oldsmobile,112,25.0,crash,0.0
1952,1,W. Palm Beach,25.0,12.0,77,Chuck Mahoney,Ken Swihart,'51 Hudson,14,25.0,crash,0.0
