Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1996,1,Daytona,1.0,7.0,88.0,Dale Jarrett,Quality Care / Ford Credit (Yates Racing),Ford,200.0,360775.0,running,40.0,180.0
1996,1,Daytona,2.0,1.0,3.0,Dale Earnhardt,GM Goodwrench Service (Richard Childress),Chevrolet,200.0,215065.0,running,32.0,175.0
1996,1,Daytona,3.0,4.0,25.0,Ken Schrader,Budweiser (Rick Hendrick),Chevrolet,200.0,169547.0,running,12.0,170.0
1996,1,Daytona,4.0,15.0,6.0,Mark Martin,Valvoline (Jack Roush),Ford,200.0,118840.0,running,0.0,160.0
1996,1,Daytona,5.0,16.0,99.0,Jeff Burton,Exide Batteries (Jack Roush),Ford,200.0,91702.0,running,0.0,155.0
1996,1,Daytona,6.0,9.0,15.0,"Wally Dallenbach, Jr.",Hayes Modems (Bud Moore),Ford,200.0,96720.0,running,0.0,150.0
1996,1,Daytona,7.0,20.0,16.0,Ted Musgrave,Family Channel / Primestar (Jack Roush),Ford,200.0,82712.0,running,0.0,146.0
1996,1,Daytona,8.0,21.0,94.0,Bill Elliott,McDonald's (Bill Elliott),Ford,200.0,78155.0,running,29.0,147.0
1996,1,Daytona,9.0,10.0,10.0,Ricky Rudd,Tide (Ricky Rudd),Ford,200.0,79987.0,running,0.0,138.0
1996,1,Daytona,10.0,11.0,21.0,Michael Waltrip,Citgo (Wood Brothers),Ford,200.0,74255.0,running,1.0,139.0
1996,1,Daytona,11.0,19.0,23.0,Jimmy Spencer,Camel Cigarettes (Travis Carter),Ford,200.0,66105.0,running,1.0,135.0
1996,1,Daytona,12.0,34.0,44.0,Jeff Purvis,David Lee Murphy / MCA Records (James Finch),Chevrolet,200.0,52262.0,running,0.0,127.0
1996,1,Daytona,13.0,36.0,41.0,Ricky Craven,Kodiak / Circle K (Larry Hedrick),Chevrolet,200.0,63167.0,running,6.0,129.0
1996,1,Daytona,14.0,32.0,9.0,Lake Speed,Spam (Harry Melling),Ford,200.0,60445.0,running,0.0,121.0
