Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,1.0,7.0,42,Lee Petty,Petty Enterprises,'53 Dodge,200.0,1000.0,running,152.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,2.0,9.0,41,Jimmie Lewallen,Petty Enterprises,'52 Plymouth,198.0,700.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,3.0,4.0,91,Tim Flock,Ted Chester,'52 Hudson,197.0,450.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,4.0,12.0,1,Herschel Buchanan,Herschel Buchanan,'52 Nash,192.0,350.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,5.0,10.0,86,Don Oldenberg,Bill House,'53 Lincoln,186.0,200.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,6.0,11.0,55,Bub King,Bub King,'52 Hudson,185.0,150.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,7.0,22.0,60,Dub Livingston,Dub Livingston,'53 Dodge,183.0,125.0,crash,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,8.0,5.0,13,Pop McGinnis,Irving Frye,'52 Hudson,182.0,100.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,9.0,6.0,9,Donald Thomas,Fabulous Hudson Hornet (Herb Thomas),'52 Hudson,181.0,75.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,10.0,20.0,67,Sam DiRusso,Sam DiRusso,'52 Plymouth,180.0,50.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,11.0,2.0,14,Fonty Flock,Frank Christian,'52 Oldsmobile,174.0,25.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,12.0,13.0,51,Gober Sosebee,Cherokee Garage (Sam Knox),'52 Chrysler,172.0,25.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,13.0,19.0,102,Marion Edwards,–,'50 Dodge,166.0,25.0,running,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,14.0,16.0,167,Elton Hildreth,Hildreth Motors (Elton Hildreth),'51 Nash,159.0,25.0,crash,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,15.0,21.0,57,Jack Culpepper,–,'49 Ford,119.0,25.0,overheating,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,16.0,14.0,T-2,Herb Tillman,Herb Tillman,'50 Oldsmobile,104.0,25.0,overheating,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,17.0,18.0,,Jack Lawrence,Jack Lawrence,'53 Dodge,101.0,25.0,rf hub,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,18.0,17.0,,Allan Clarke,–,'50 Chevrolet,76.0,25.0,ignition,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,19.0,8.0,31,Al Keller,George Miller,'50 Oldsmobile,73.0,25.0,crash,0.0
1953,1,W. Palm Beach,Palm Beach Speedway,0.5,dirt track,20.0,15.0,37,Hank Ribet,Norm Johnson,'50 Ford,68.0,25.0,wheel,0.0
