Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1962,1,Concord,1.0,2.0,46.0,Jack Smith,Jack Smith,'61 Pontiac,200.0,800.0,running,93.0
1962,1,Concord,2.0,1.0,8.0,Joe Weatherly,Bud Moore,'61 Pontiac,200.0,525.0,running,66.0
1962,1,Concord,3.0,7.0,6.0,Cotton Owens,Cotton Owens,'61 Pontiac,198.0,375.0,running,0.0
1962,1,Concord,4.0,4.0,4.0,Rex White,White-Clements (Rex White),'61 Chevrolet,198.0,275.0,running,0.0
1962,1,Concord,5.0,8.0,11.0,Ned Jarrett,B.G. Holloway,'61 Chevrolet,196.0,350.0,running,41.0
1962,1,Concord,6.0,13.0,23.0,Doug Yates,Raeford Johnson,'61 Plymouth,183.0,215.0,running,0.0
1962,1,Concord,7.0,18.0,62.0,Curtis Crider,Curtis Crider,'61 Mercury,183.0,175.0,running,0.0
1962,1,Concord,8.0,14.0,93.0,Lee Reitzel,Lee Reitzel,'60 Ford,183.0,150.0,running,0.0
1962,1,Concord,9.0,21.0,36.0,Larry Thomas,Wade Younts,'60 Ford,178.0,140.0,running,0.0
1962,1,Concord,10.0,22.0,19.0,Herman Beam,Herman Beam,'60 Ford,169.0,130.0,running,0.0
1962,1,Concord,11.0,25.0,68.0,Ed Livingston,Curtis Crider,'60 Ford,157.0,125.0,running,0.0
1962,1,Concord,12.0,11.0,48.0,G.C. Spencer,G.C. Spencer,'60 Chevrolet,156.0,110.0,running,0.0
1962,1,Concord,13.0,6.0,42.0,Richard Petty,Petty Enterprises,'61 Plymouth,152.0,100.0,rear end,0.0
1962,1,Concord,14.0,23.0,34.0,Wendell Scott,Wendell Scott,'60 Chevrolet,145.0,85.0,a frame,0.0
1962,1,Concord,15.0,5.0,86.0,Buck Baker,Buck Baker,'61 Chrysler,139.0,70.0,axle,0.0
1962,1,Concord,16.0,12.0,85.0,Tommy Irwin,Monroe Shook,'60 Chevrolet,137.0,60.0,running,0.0
1962,1,Concord,17.0,20.0,1.0,George Green,Jess Potter,'60 Chevrolet,136.0,50.0,running,0.0
1962,1,Concord,18.0,15.0,89.0,Mark Hurley,–,'59 Pontiac,129.0,50.0,rear end,0.0
1962,1,Concord,19.0,16.0,97.0,Harry Leake,Harry Leake,'60 Chevrolet,98.0,50.0,running,0.0
1962,1,Concord,20.0,10.0,59.0,Ralph Earnhardt,B.G. Holloway,'61 Pontiac,94.0,50.0,oil leak,0.0
1962,1,Concord,21.0,24.0,77.0,Joe Jones,Joe Jones,'60 Ford,82.0,50.0,axle,0.0
1962,1,Concord,22.0,26.0,54.0,Jimmy Pardue,Jimmy Pardue,'60 Chevrolet,59.0,50.0,a frame,0.0
1962,1,Concord,23.0,19.0,74.0,L.D. Austin,L.D. Austin,'61 Chevrolet,53.0,,a frame,0.0
1962,1,Concord,24.0,3.0,27.0,Junior Johnson,Holly Farms (Rex Lovette),'61 Pontiac,42.0,,engine,0.0
1962,1,Concord,25.0,9.0,17.0,Fred Harb,Fred Harb,'61 Ford,38.0,,engine,0.0
1962,1,Concord,26.0,17.0,43.0,Maurice Petty,Petty Enterprises,'61 Plymouth,16.0,,fuel tank,0.0
1962,2,Weaverville,1.0,5.0,4.0,Rex White,White-Clements (Rex White),'61 Chevrolet,200.0,800.0,running,123.0
1962,2,Weaverville,2.0,12.0,86.0,Buck Baker,Buck Baker,'61 Chrysler,200.0,525.0,running,6.0
1962,2,Weaverville,3.0,1.0,8.0,Joe Weatherly,Bud Moore,'61 Pontiac,200.0,375.0,running,16.0
1962,2,Weaverville,4.0,6.0,46.0,Jack Smith,Jack Smith,'61 Pontiac,200.0,275.0,running,0.0
1962,2,Weaverville,5.0,4.0,11.0,Ned Jarrett,B.G. Holloway,'61 Chevrolet,200.0,350.0,running,0.0
1962,2,Weaverville,6.0,3.0,85.0,Tommy Irwin,Monroe Shook,'61 Chevrolet,200.0,215.0,running,0.0
1962,2,Weaverville,7.0,8.0,43.0,Richard Petty,Petty Enterprises,'61 Plymouth,199.0,175.0,running,0.0
1962,2,Weaverville,8.0,9.0,44.0,Jim Paschal,Julian Petty,'61 Pontiac,198.0,150.0,running,55.0
